From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        0.10 MFlops    0.000010 sec
      2 :         inf MFlops    0.000000 sec
      3 :         inf MFlops    0.000000 sec
      4 :         inf MFlops    0.000000 sec
      5 :         inf MFlops    0.000000 sec
      6 :         inf MFlops    0.000000 sec
      7 :      343.00 MFlops    0.000001 sec
      8 :      512.00 MFlops    0.000001 sec
      9 :      729.00 MFlops    0.000001 sec
     10 :         inf MFlops    0.000000 sec
     11 :     1331.00 MFlops    0.000001 sec
     12 :     1728.00 MFlops    0.000001 sec
     13 :     2197.00 MFlops    0.000001 sec
     14 :     2744.00 MFlops    0.000001 sec
     15 :     3375.00 MFlops    0.000001 sec
     16 :     4096.00 MFlops    0.000001 sec
     17 :     4913.00 MFlops    0.000001 sec
     18 :     5832.00 MFlops    0.000001 sec
     19 :     6859.00 MFlops    0.000001 sec
     20 :     8000.00 MFlops    0.000001 sec
     21 :     9261.00 MFlops    0.000001 sec
     22 :    10648.00 MFlops    0.000001 sec
     23 :     6083.50 MFlops    0.000002 sec
     24 :     4608.00 MFlops    0.000003 sec
     25 :     7812.50 MFlops    0.000002 sec
     26 :     8788.00 MFlops    0.000002 sec
     27 :     9841.50 MFlops    0.000002 sec
     28 :     7317.33 MFlops    0.000003 sec
     29 :     8129.67 MFlops    0.000003 sec
     30 :    13500.00 MFlops    0.000002 sec
     31 :     9930.33 MFlops    0.000003 sec
     32 :      574.88 MFlops    0.000057 sec
     33 :     1996.50 MFlops    0.000018 sec
     34 :     2183.56 MFlops    0.000018 sec
     35 :     3298.08 MFlops    0.000013 sec
     36 :     3110.40 MFlops    0.000015 sec
     37 :     3618.07 MFlops    0.000014 sec
     38 :     1524.22 MFlops    0.000036 sec
     39 :     3122.05 MFlops    0.000019 sec
     40 :     2370.37 MFlops    0.000027 sec
     41 :     3627.42 MFlops    0.000019 sec
     42 :     3899.37 MFlops    0.000019 sec
     43 :     3456.83 MFlops    0.000023 sec
     44 :     3872.00 MFlops    0.000022 sec
     45 :     3961.96 MFlops    0.000023 sec
     46 :     3605.04 MFlops    0.000027 sec
     47 :     4719.23 MFlops    0.000022 sec
     48 :     5266.29 MFlops    0.000021 sec
     49 :     5347.68 MFlops    0.000022 sec
     50 :     5000.00 MFlops    0.000025 sec
     51 :     2601.00 MFlops    0.000051 sec
     52 :     5021.71 MFlops    0.000028 sec
     53 :     7089.38 MFlops    0.000021 sec
     54 :     7157.45 MFlops    0.000022 sec
     55 :     4753.57 MFlops    0.000035 sec
     56 :     6055.72 MFlops    0.000029 sec
     57 :     7122.81 MFlops    0.000026 sec
     58 :     8483.13 MFlops    0.000023 sec
     59 :     7606.63 MFlops    0.000027 sec
     60 :     7200.00 MFlops    0.000030 sec
     61 :     8106.46 MFlops    0.000028 sec
     62 :     8826.96 MFlops    0.000027 sec
     63 :     8622.31 MFlops    0.000029 sec
     64 :     6721.64 MFlops    0.000039 sec
     65 :     8582.03 MFlops    0.000032 sec
     66 :     9913.66 MFlops    0.000029 sec
     67 :     9702.03 MFlops    0.000031 sec
     68 :     8983.77 MFlops    0.000035 sec
     69 :     9385.97 MFlops    0.000035 sec
     70 :    10393.94 MFlops    0.000033 sec
     71 :     9941.97 MFlops    0.000036 sec
     72 :     9570.46 MFlops    0.000039 sec
     73 :    10237.29 MFlops    0.000038 sec
     74 :    10952.00 MFlops    0.000037 sec
     75 :    10546.88 MFlops    0.000040 sec
     76 :    10208.74 MFlops    0.000043 sec
     77 :    10869.83 MFlops    0.000042 sec
     78 :    10785.27 MFlops    0.000044 sec
     79 :     9667.43 MFlops    0.000051 sec
     80 :    11636.36 MFlops    0.000044 sec
     81 :    11307.26 MFlops    0.000047 sec
     82 :    10811.14 MFlops    0.000051 sec
     83 :    12165.68 MFlops    0.000047 sec
     84 :    12096.00 MFlops    0.000049 sec
     85 :    11810.10 MFlops    0.000052 sec
     86 :    10966.48 MFlops    0.000058 sec
     87 :    11972.78 MFlops    0.000055 sec
     88 :    11171.67 MFlops    0.000061 sec
     89 :    11556.87 MFlops    0.000061 sec
     90 :    11215.38 MFlops    0.000065 sec
     91 :     9538.87 MFlops    0.000079 sec
     92 :    12559.48 MFlops    0.000062 sec
     93 :    12374.72 MFlops    0.000065 sec
     94 :    11535.89 MFlops    0.000072 sec
     95 :    13396.48 MFlops    0.000064 sec
     96 :    12639.09 MFlops    0.000070 sec
     97 :     8692.12 MFlops    0.000105 sec
     98 :    13640.46 MFlops    0.000069 sec
     99 :    14062.30 MFlops    0.000069 sec
    100 :    12195.12 MFlops    0.000082 sec
    101 :    13208.99 MFlops    0.000078 sec
    102 :    12633.43 MFlops    0.000084 sec
    103 :    13490.46 MFlops    0.000081 sec
    104 :    12929.47 MFlops    0.000087 sec
    105 :    13306.03 MFlops    0.000087 sec
    106 :    13534.27 MFlops    0.000088 sec
    107 :    13462.01 MFlops    0.000091 sec
    108 :    14314.91 MFlops    0.000088 sec
    109 :    13489.89 MFlops    0.000096 sec
    110 :    14010.53 MFlops    0.000095 sec
    111 :    13955.42 MFlops    0.000098 sec
    112 :    13910.18 MFlops    0.000101 sec
    113 :    14146.05 MFlops    0.000102 sec
    114 :    13592.15 MFlops    0.000109 sec
    115 :    14484.52 MFlops    0.000105 sec
    116 :    14189.96 MFlops    0.000110 sec
    117 :    11952.34 MFlops    0.000134 sec
    118 :    13039.94 MFlops    0.000126 sec
    119 :    14782.10 MFlops    0.000114 sec
    120 :    14048.78 MFlops    0.000123 sec
    121 :    14887.07 MFlops    0.000119 sec
    122 :    14411.49 MFlops    0.000126 sec
    123 :    13887.07 MFlops    0.000134 sec
    124 :    16022.05 MFlops    0.000119 sec
    125 :    10172.53 MFlops    0.000192 sec
    126 :    14391.19 MFlops    0.000139 sec
    127 :    15518.05 MFlops    0.000132 sec
    128 :    14563.56 MFlops    0.000144 sec
    129 :    15443.81 MFlops    0.000139 sec
    130 :    25252.87 MFlops    0.000087 sec
    131 :    31223.49 MFlops    0.000072 sec
    132 :    31506.41 MFlops    0.000073 sec
    133 :    32227.90 MFlops    0.000073 sec
    134 :    29704.99 MFlops    0.000081 sec
    135 :    28280.17 MFlops    0.000087 sec
    136 :    29945.90 MFlops    0.000084 sec
    137 :    28891.61 MFlops    0.000089 sec
    138 :    28879.91 MFlops    0.000091 sec
    139 :    30175.49 MFlops    0.000089 sec
    140 :    30488.89 MFlops    0.000090 sec
    141 :    30804.63 MFlops    0.000091 sec
    142 :    28922.10 MFlops    0.000099 sec
    143 :    28952.54 MFlops    0.000101 sec
    144 :    30783.34 MFlops    0.000097 sec
    145 :    31108.42 MFlops    0.000098 sec
