From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        0.07 MFlops    0.000015 sec
      2 :        8.00 MFlops    0.000001 sec
      3 :       27.00 MFlops    0.000001 sec
      4 :         inf MFlops    0.000000 sec
      5 :      125.00 MFlops    0.000001 sec
      6 :      216.00 MFlops    0.000001 sec
      7 :      343.00 MFlops    0.000001 sec
      8 :         inf MFlops    0.000000 sec
      9 :      729.00 MFlops    0.000001 sec
     10 :         inf MFlops    0.000000 sec
     11 :         inf MFlops    0.000000 sec
     12 :     1728.00 MFlops    0.000001 sec
     13 :     2197.00 MFlops    0.000001 sec
     14 :     2744.00 MFlops    0.000001 sec
     15 :         inf MFlops    0.000000 sec
     16 :         inf MFlops    0.000000 sec
     17 :     4913.00 MFlops    0.000001 sec
     18 :         inf MFlops    0.000000 sec
     19 :     6859.00 MFlops    0.000001 sec
     20 :     8000.00 MFlops    0.000001 sec
     21 :     9261.00 MFlops    0.000001 sec
     22 :    10648.00 MFlops    0.000001 sec
     23 :    12167.00 MFlops    0.000001 sec
     24 :    13824.00 MFlops    0.000001 sec
     25 :     7812.50 MFlops    0.000002 sec
     26 :    17576.00 MFlops    0.000001 sec
     27 :     9841.50 MFlops    0.000002 sec
     28 :    10976.00 MFlops    0.000002 sec
     29 :     8129.67 MFlops    0.000003 sec
     30 :     9000.00 MFlops    0.000003 sec
     31 :     9930.33 MFlops    0.000003 sec
     32 :    16384.00 MFlops    0.000002 sec
     33 :     8984.25 MFlops    0.000004 sec
     34 :    13101.33 MFlops    0.000003 sec
     35 :    10718.75 MFlops    0.000004 sec
     36 :    11664.00 MFlops    0.000004 sec
     37 :    10130.60 MFlops    0.000005 sec
     38 :    10974.40 MFlops    0.000005 sec
     39 :     9886.50 MFlops    0.000006 sec
     40 :    12800.00 MFlops    0.000005 sec
     41 :    11486.83 MFlops    0.000006 sec
     42 :    12348.00 MFlops    0.000006 sec
     43 :    11358.14 MFlops    0.000007 sec
     44 :    14197.33 MFlops    0.000006 sec
     45 :    11390.62 MFlops    0.000008 sec
     46 :    12167.00 MFlops    0.000008 sec
     47 :    11535.89 MFlops    0.000009 sec
     48 :    12288.00 MFlops    0.000009 sec
     49 :    11764.90 MFlops    0.000010 sec
     50 :    12500.00 MFlops    0.000010 sec
     51 :    11054.25 MFlops    0.000012 sec
     52 :    12782.55 MFlops    0.000011 sec
     53 :    11452.08 MFlops    0.000013 sec
     54 :    13122.00 MFlops    0.000012 sec
     55 :    11883.93 MFlops    0.000014 sec
     56 :    12544.00 MFlops    0.000014 sec
     57 :    11574.56 MFlops    0.000016 sec
     58 :    12194.50 MFlops    0.000016 sec
     59 :    11409.94 MFlops    0.000018 sec
     60 :    12000.00 MFlops    0.000018 sec
     61 :    11349.05 MFlops    0.000020 sec
     62 :    11916.40 MFlops    0.000020 sec
     63 :    11907.00 MFlops    0.000021 sec
     64 :    11915.64 MFlops    0.000022 sec
     65 :     1830.83 MFlops    0.000150 sec
     66 :     8455.76 MFlops    0.000034 sec
     67 :    11139.37 MFlops    0.000027 sec
     68 :    10481.07 MFlops    0.000030 sec
     69 :    10950.30 MFlops    0.000030 sec
     70 :    12703.70 MFlops    0.000027 sec
     71 :    13255.96 MFlops    0.000027 sec
     72 :    13824.00 MFlops    0.000027 sec
     73 :    13893.46 MFlops    0.000028 sec
     74 :    14472.29 MFlops    0.000028 sec
     75 :    14547.41 MFlops    0.000029 sec
     76 :    15677.71 MFlops    0.000028 sec
     77 :    15742.52 MFlops    0.000029 sec
     78 :    16948.29 MFlops    0.000028 sec
     79 :    17608.54 MFlops    0.000028 sec
     80 :    17066.67 MFlops    0.000030 sec
     81 :    17714.70 MFlops    0.000030 sec
     82 :    17230.25 MFlops    0.000032 sec
     83 :    19059.57 MFlops    0.000030 sec
     84 :    19756.80 MFlops    0.000030 sec
     85 :    19810.48 MFlops    0.000031 sec
     86 :    20517.94 MFlops    0.000031 sec
     87 :    19367.74 MFlops    0.000034 sec
