From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U Loops = 1
   SIZE       Flops
      1 :        0.08 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :      125.00 MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :     2744.00 MFlops
     15 :     3375.00 MFlops
     16 :         inf MFlops
     17 :     4913.00 MFlops
     18 :     5832.00 MFlops
     19 :     6859.00 MFlops
     20 :     8000.00 MFlops
     21 :     9261.00 MFlops
     22 :    10648.00 MFlops
     23 :     2433.40 MFlops
     24 :     6912.00 MFlops
     25 :     7812.50 MFlops
     26 :     8788.00 MFlops
     27 :     9841.50 MFlops
     28 :     7317.33 MFlops
     29 :     8129.67 MFlops
     30 :     9000.00 MFlops
     31 :     9930.33 MFlops
     32 :      762.05 MFlops
     33 :     2764.38 MFlops
     34 :     2807.43 MFlops
     35 :     2858.33 MFlops
     36 :     2221.71 MFlops
     37 :     3165.81 MFlops
     38 :     3429.50 MFlops
     39 :     3954.60 MFlops
     40 :     3047.62 MFlops
     41 :     4054.18 MFlops
     42 :     4939.20 MFlops
     43 :     4417.06 MFlops
     44 :     4732.44 MFlops
     45 :     5062.50 MFlops
     46 :     4055.67 MFlops
     47 :     5464.37 MFlops
     48 :     6144.00 MFlops
     49 :     5882.45 MFlops
     50 :     6250.00 MFlops
     51 :     5101.96 MFlops
     52 :     6113.39 MFlops
     53 :     6767.14 MFlops
     54 :     6298.56 MFlops
     55 :     6932.29 MFlops
     56 :     6055.72 MFlops
     57 :     7122.81 MFlops
     58 :     7226.37 MFlops
     59 :     7899.19 MFlops
     60 :     6750.00 MFlops
     61 :     7566.03 MFlops
     62 :     5958.20 MFlops
     63 :     8622.31 MFlops
     64 :     6721.64 MFlops
     65 :     9154.17 MFlops
     66 :     9274.06 MFlops
     67 :     9114.03 MFlops
     68 :     7669.07 MFlops
     69 :     9385.97 MFlops
     70 :     9527.78 MFlops
     71 :     9418.71 MFlops
