From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U Loops = 1
   SIZE       Flops
      1 :        0.08 MFlops
      2 :         inf MFlops
      3 :       27.00 MFlops
      4 :       64.00 MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :      343.00 MFlops
      8 :      512.00 MFlops
      9 :         inf MFlops
     10 :     1000.00 MFlops
     11 :     1331.00 MFlops
     12 :         inf MFlops
     13 :     2197.00 MFlops
     14 :     2744.00 MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :         inf MFlops
     18 :     5832.00 MFlops
     19 :     6859.00 MFlops
     20 :         inf MFlops
     21 :     9261.00 MFlops
     22 :    10648.00 MFlops
     23 :     6083.50 MFlops
     24 :    13824.00 MFlops
     25 :    15625.00 MFlops
     26 :     8788.00 MFlops
     27 :    19683.00 MFlops
     28 :    21952.00 MFlops
     29 :    12194.50 MFlops
     30 :    13500.00 MFlops
     31 :     9930.33 MFlops
     32 :    16384.00 MFlops
     33 :    11979.00 MFlops
     34 :     9826.00 MFlops
     35 :    10718.75 MFlops
     36 :    11664.00 MFlops
     37 :    12663.25 MFlops
     38 :    10974.40 MFlops
     39 :    11863.80 MFlops
     40 :    16000.00 MFlops
     41 :    13784.20 MFlops
     42 :    12348.00 MFlops
     43 :    13251.17 MFlops
     44 :    14197.33 MFlops
     45 :    13017.86 MFlops
     46 :    13905.14 MFlops
     47 :    11535.89 MFlops
     48 :    13824.00 MFlops
     49 :    13072.11 MFlops
     50 :    13888.89 MFlops
     51 :    13265.10 MFlops
     52 :    14060.80 MFlops
     53 :    13534.27 MFlops
     54 :    13122.00 MFlops
     55 :    12798.08 MFlops
     56 :    14634.67 MFlops
     57 :    13228.07 MFlops
     58 :    13936.57 MFlops
     59 :    13691.93 MFlops
     60 :    14400.00 MFlops
     61 :    13351.82 MFlops
     62 :    13240.44 MFlops
     63 :    13891.50 MFlops
     64 :    14563.56 MFlops
     65 :     2019.30 MFlops
     66 :     6249.91 MFlops
     67 :     7519.07 MFlops
     68 :    11645.63 MFlops
     69 :    11732.46 MFlops
     70 :    10393.94 MFlops
     71 :    13255.96 MFlops
