From :   1  To : 200 Step =   1 Inc_x = 1 Loops = 1
   SIZE       Flops
      1 :        0.89 MFlops   0.000009 sec
      2 :       16.00 MFlops   0.000001 sec
      3 :       12.00 MFlops   0.000002 sec
      4 :       32.00 MFlops   0.000001 sec
      5 :       40.00 MFlops   0.000001 sec
      6 :       24.00 MFlops   0.000002 sec
      7 :       28.00 MFlops   0.000002 sec
      8 :       32.00 MFlops   0.000002 sec
      9 :       36.00 MFlops   0.000002 sec
     10 :       40.00 MFlops   0.000002 sec
     11 :       44.00 MFlops   0.000002 sec
     12 :       32.00 MFlops   0.000003 sec
     13 :       34.67 MFlops   0.000003 sec
     14 :       37.33 MFlops   0.000003 sec
     15 :       40.00 MFlops   0.000003 sec
     16 :       42.67 MFlops   0.000003 sec
     17 :       45.33 MFlops   0.000003 sec
     18 :       36.00 MFlops   0.000004 sec
     19 :       50.67 MFlops   0.000003 sec
     20 :       40.00 MFlops   0.000004 sec
     21 :       42.00 MFlops   0.000004 sec
     22 :       44.00 MFlops   0.000004 sec
     23 :       46.00 MFlops   0.000004 sec
     24 :       48.00 MFlops   0.000004 sec
     25 :       50.00 MFlops   0.000004 sec
     26 :       52.00 MFlops   0.000004 sec
     27 :       43.20 MFlops   0.000005 sec
     28 :       44.80 MFlops   0.000005 sec
     29 :       46.40 MFlops   0.000005 sec
     30 :       40.00 MFlops   0.000006 sec
     31 :       41.33 MFlops   0.000006 sec
     32 :       42.67 MFlops   0.000006 sec
     33 :       44.00 MFlops   0.000006 sec
     34 :       45.33 MFlops   0.000006 sec
     35 :       46.67 MFlops   0.000006 sec
     36 :       41.14 MFlops   0.000007 sec
     37 :       42.29 MFlops   0.000007 sec
     38 :       43.43 MFlops   0.000007 sec
     39 :       52.00 MFlops   0.000006 sec
     40 :       53.33 MFlops   0.000006 sec
     41 :       46.86 MFlops   0.000007 sec
     42 :       48.00 MFlops   0.000007 sec
     43 :       49.14 MFlops   0.000007 sec
     44 :       50.29 MFlops   0.000007 sec
     45 :       51.43 MFlops   0.000007 sec
     46 :       52.57 MFlops   0.000007 sec
     47 :       47.00 MFlops   0.000008 sec
     48 :       48.00 MFlops   0.000008 sec
     49 :       49.00 MFlops   0.000008 sec
     50 :       50.00 MFlops   0.000008 sec
     51 :       45.33 MFlops   0.000009 sec
     52 :       46.22 MFlops   0.000009 sec
     53 :       47.11 MFlops   0.000009 sec
     54 :       54.00 MFlops   0.000008 sec
     55 :       48.89 MFlops   0.000009 sec
     56 :       49.78 MFlops   0.000009 sec
     57 :       50.67 MFlops   0.000009 sec
     58 :       46.40 MFlops   0.000010 sec
     59 :       52.44 MFlops   0.000009 sec
     60 :       53.33 MFlops   0.000009 sec
     61 :       48.80 MFlops   0.000010 sec
     62 :       49.60 MFlops   0.000010 sec
     63 :       50.40 MFlops   0.000010 sec
     64 :       51.20 MFlops   0.000010 sec
     65 :       52.00 MFlops   0.000010 sec
     66 :       52.80 MFlops   0.000010 sec
     67 :       48.73 MFlops   0.000011 sec
     68 :       49.45 MFlops   0.000011 sec
     69 :       50.18 MFlops   0.000011 sec
     70 :       50.91 MFlops   0.000011 sec
     71 :       47.33 MFlops   0.000012 sec
     72 :       48.00 MFlops   0.000012 sec
     73 :       53.09 MFlops   0.000011 sec
     74 :       49.33 MFlops   0.000012 sec
     75 :       50.00 MFlops   0.000012 sec
     76 :       50.67 MFlops   0.000012 sec
     77 :       51.33 MFlops   0.000012 sec
     78 :       52.00 MFlops   0.000012 sec
     79 :       48.62 MFlops   0.000013 sec
     80 :       53.33 MFlops   0.000012 sec
     81 :       49.85 MFlops   0.000013 sec
     82 :       50.46 MFlops   0.000013 sec
     83 :       51.08 MFlops   0.000013 sec
     84 :       51.69 MFlops   0.000013 sec
     85 :       52.31 MFlops   0.000013 sec
     86 :       52.92 MFlops   0.000013 sec
     87 :       49.71 MFlops   0.000014 sec
     88 :       50.29 MFlops   0.000014 sec
     89 :       50.86 MFlops   0.000014 sec
     90 :       51.43 MFlops   0.000014 sec
     91 :       52.00 MFlops   0.000014 sec
     92 :       52.57 MFlops   0.000014 sec
     93 :       49.60 MFlops   0.000015 sec
     94 :       50.13 MFlops   0.000015 sec
     95 :       50.67 MFlops   0.000015 sec
     96 :       48.00 MFlops   0.000016 sec
     97 :       51.73 MFlops   0.000015 sec
     98 :       49.00 MFlops   0.000016 sec
     99 :       52.80 MFlops   0.000015 sec
    100 :       53.33 MFlops   0.000015 sec
    101 :       50.50 MFlops   0.000016 sec
    102 :       54.40 MFlops   0.000015 sec
    103 :       51.50 MFlops   0.000016 sec
    104 :       52.00 MFlops   0.000016 sec
    105 :       52.50 MFlops   0.000016 sec
    106 :       53.00 MFlops   0.000016 sec
    107 :       53.50 MFlops   0.000016 sec
    108 :       54.00 MFlops   0.000016 sec
    109 :       51.29 MFlops   0.000017 sec
    110 :       51.76 MFlops   0.000017 sec
    111 :       49.33 MFlops   0.000018 sec
    112 :       49.78 MFlops   0.000018 sec
    113 :       53.18 MFlops   0.000017 sec
    114 :       53.65 MFlops   0.000017 sec
    115 :       51.11 MFlops   0.000018 sec
    116 :       51.56 MFlops   0.000018 sec
    117 :       52.00 MFlops   0.000018 sec
    118 :       52.44 MFlops   0.000018 sec
    119 :       52.89 MFlops   0.000018 sec
    120 :       53.33 MFlops   0.000018 sec
    121 :       53.78 MFlops   0.000018 sec
    122 :       51.37 MFlops   0.000019 sec
    123 :       51.79 MFlops   0.000019 sec
    124 :       52.21 MFlops   0.000019 sec
    125 :       52.63 MFlops   0.000019 sec
    126 :       53.05 MFlops   0.000019 sec
    127 :       53.47 MFlops   0.000019 sec
    128 :       53.89 MFlops   0.000019 sec
    129 :       51.60 MFlops   0.000020 sec
    130 :       54.74 MFlops   0.000019 sec
    131 :       52.40 MFlops   0.000020 sec
    132 :       52.80 MFlops   0.000020 sec
    133 :       50.67 MFlops   0.000021 sec
    134 :       53.60 MFlops   0.000020 sec
    135 :       51.43 MFlops   0.000021 sec
    136 :       51.81 MFlops   0.000021 sec
    137 :       52.19 MFlops   0.000021 sec
    138 :       50.18 MFlops   0.000022 sec
    139 :       52.95 MFlops   0.000021 sec
    140 :       50.91 MFlops   0.000022 sec
    141 :       51.27 MFlops   0.000022 sec
    142 :       51.64 MFlops   0.000022 sec
    143 :       52.00 MFlops   0.000022 sec
    144 :       52.36 MFlops   0.000022 sec
    145 :       52.73 MFlops   0.000022 sec
    146 :       53.09 MFlops   0.000022 sec
    147 :       51.13 MFlops   0.000023 sec
    148 :       53.82 MFlops   0.000022 sec
    149 :       54.18 MFlops   0.000022 sec
    150 :       52.17 MFlops   0.000023 sec
    151 :       50.33 MFlops   0.000024 sec
    152 :       52.87 MFlops   0.000023 sec
    153 :       53.22 MFlops   0.000023 sec
    154 :       51.33 MFlops   0.000024 sec
    155 :       53.91 MFlops   0.000023 sec
    156 :       52.00 MFlops   0.000024 sec
    157 :       54.61 MFlops   0.000023 sec
    158 :       52.67 MFlops   0.000024 sec
    159 :       53.00 MFlops   0.000024 sec
    160 :       51.20 MFlops   0.000025 sec
    161 :       51.52 MFlops   0.000025 sec
    162 :       54.00 MFlops   0.000024 sec
    163 :       52.16 MFlops   0.000025 sec
    164 :       52.48 MFlops   0.000025 sec
    165 :       50.77 MFlops   0.000026 sec
    166 :       53.12 MFlops   0.000025 sec
    167 :       53.44 MFlops   0.000025 sec
    168 :       53.76 MFlops   0.000025 sec
    169 :       54.08 MFlops   0.000025 sec
    170 :       52.31 MFlops   0.000026 sec
    171 :       50.67 MFlops   0.000027 sec
    172 :       50.96 MFlops   0.000027 sec
    173 :       51.26 MFlops   0.000027 sec
    174 :       51.56 MFlops   0.000027 sec
    175 :       53.85 MFlops   0.000026 sec
    176 :       52.15 MFlops   0.000027 sec
    177 :       52.44 MFlops   0.000027 sec
    178 :       50.86 MFlops   0.000028 sec
    179 :       53.04 MFlops   0.000027 sec
    180 :       51.43 MFlops   0.000028 sec
    181 :       53.63 MFlops   0.000027 sec
    182 :       53.93 MFlops   0.000027 sec
    183 :       52.29 MFlops   0.000028 sec
    184 :       52.57 MFlops   0.000028 sec
    185 :       52.86 MFlops   0.000028 sec
    186 :       53.14 MFlops   0.000028 sec
    187 :       51.59 MFlops   0.000029 sec
    188 :       51.86 MFlops   0.000029 sec
    189 :       52.14 MFlops   0.000029 sec
    190 :       52.41 MFlops   0.000029 sec
    191 :       52.69 MFlops   0.000029 sec
    192 :       51.20 MFlops   0.000030 sec
    193 :       51.47 MFlops   0.000030 sec
    194 :       51.73 MFlops   0.000030 sec
    195 :       52.00 MFlops   0.000030 sec
    196 :       52.27 MFlops   0.000030 sec
    197 :       50.84 MFlops   0.000031 sec
    198 :       52.80 MFlops   0.000030 sec
    199 :       53.07 MFlops   0.000030 sec
    200 :       53.33 MFlops   0.000030 sec
