From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
      1 :        0.64 MFlops :       0.00 Sec : 130
      2 :       13.16 MFlops :       0.00 Sec : 260
      3 :       64.63 MFlops :       0.00 Sec : 390
      4 :      210.64 MFlops :       0.00 Sec : 520
      5 :      411.41 MFlops :       0.00 Sec : 650
      6 :      517.03 MFlops :       0.00 Sec : 780
      7 :      752.60 MFlops :       0.00 Sec : 910
      8 :      793.00 MFlops :       0.00 Sec : 1040
      9 :     1129.09 MFlops :       0.00 Sec : 1170
     10 :     1196.82 MFlops :       0.00 Sec : 1300
     11 :     1523.71 MFlops :       0.00 Sec : 1430
     12 :     1568.90 MFlops :       0.00 Sec : 4271
     13 :     1928.23 MFlops :       0.00 Sec : 4272
     14 :     2064.27 MFlops :       0.00 Sec : 4273
     15 :     2066.60 MFlops :       0.00 Sec : 4274
     16 :     2246.83 MFlops :       0.00 Sec : 4275
     17 :     2536.46 MFlops :       0.00 Sec : 4276
     18 :     2897.29 MFlops :       0.00 Sec : 4277
     19 :     2866.63 MFlops :       0.00 Sec : 4278
     20 :     3291.25 MFlops :       0.00 Sec : 4279
     21 :     3340.30 MFlops :       0.00 Sec : 4280
     22 :     3641.06 MFlops :       0.00 Sec : 4281
     23 :     3599.52 MFlops :       0.00 Sec : 4282
     24 :     3831.43 MFlops :       0.00 Sec : 4283
     25 :     4073.33 MFlops :       0.00 Sec : 4284
     26 :     4284.96 MFlops :       0.00 Sec : 4285
     27 :     4146.03 MFlops :       0.00 Sec : 4286
     28 :     4345.84 MFlops :       0.00 Sec : 4287
     29 :     4554.34 MFlops :       0.00 Sec : 4288
     30 :     4771.21 MFlops :       0.00 Sec : 4355
     31 :     4782.91 MFlops :       0.00 Sec : 4356
     32 :     5260.86 MFlops :       0.00 Sec : 4357
     33 :     5170.61 MFlops :       0.00 Sec : 4358
     34 :     5123.14 MFlops :       0.00 Sec : 4420
     35 :     5427.40 MFlops :       0.00 Sec : 4550
     36 :     5583.87 MFlops :       0.00 Sec : 4680
     37 :     5443.65 MFlops :       0.00 Sec : 4810
     38 :     5756.09 MFlops :       0.00 Sec : 4940
     39 :     5598.10 MFlops :       0.00 Sec : 5070
     40 :     5579.87 MFlops :       0.00 Sec : 5200
     41 :     6172.41 MFlops :       0.00 Sec : 5330
     42 :     5947.37 MFlops :       0.00 Sec : 5460
     43 :     6305.48 MFlops :       0.00 Sec : 5590
     44 :     6675.28 MFlops :       0.00 Sec : 5720
     45 :     7119.65 MFlops :       0.00 Sec : 5850
     46 :     7119.05 MFlops :       0.00 Sec : 5980
     47 :     7388.27 MFlops :       0.00 Sec : 6110
     48 :     7622.74 MFlops :       0.00 Sec : 6240
     49 :     7611.05 MFlops :       0.00 Sec : 6370
     50 :     8066.79 MFlops :       0.00 Sec : 6500
     51 :     7778.84 MFlops :       0.00 Sec : 6630
     52 :     8376.04 MFlops :       0.00 Sec : 6760
     53 :     7731.62 MFlops :       0.00 Sec : 6890
     54 :     7692.07 MFlops :       0.00 Sec : 7020
     55 :     8097.33 MFlops :       0.00 Sec : 7150
     56 :     8126.48 MFlops :       0.00 Sec : 7280
     57 :     8691.86 MFlops :       0.00 Sec : 7410
     58 :     8811.83 MFlops :       0.00 Sec : 7540
     59 :     8205.81 MFlops :       0.00 Sec : 7670
     60 :     8513.89 MFlops :       0.00 Sec : 7800
     61 :     8775.93 MFlops :       0.00 Sec : 7930
     62 :     8776.47 MFlops :       0.00 Sec : 8060
     63 :     8685.67 MFlops :       0.00 Sec : 8190
     64 :     8860.40 MFlops :       0.00 Sec : 8320
     65 :     8537.04 MFlops :       0.00 Sec : 8450
     66 :     8843.19 MFlops :       0.00 Sec : 8580
     67 :     9529.59 MFlops :       0.00 Sec : 8710
     68 :     8826.22 MFlops :       0.00 Sec : 8840
     69 :     9653.62 MFlops :       0.00 Sec : 8970
     70 :     9339.39 MFlops :       0.00 Sec : 9100
     71 :     9113.92 MFlops :       0.00 Sec : 9230
     72 :     9271.34 MFlops :       0.00 Sec : 9360
     73 :     9886.89 MFlops :       0.00 Sec : 9490
     74 :     9417.08 MFlops :       0.00 Sec : 9620
     75 :    10294.69 MFlops :       0.00 Sec : 9750
     76 :     8094.00 MFlops :       0.00 Sec : 9880
     77 :     8858.15 MFlops :       0.00 Sec : 10010
     78 :     8780.71 MFlops :       0.00 Sec : 10140
     79 :     8642.95 MFlops :       0.00 Sec : 10270
     80 :     8993.30 MFlops :       0.00 Sec : 10400
     81 :     9086.26 MFlops :       0.00 Sec : 10530
     82 :     9153.54 MFlops :       0.00 Sec : 10660
     83 :     8809.33 MFlops :       0.00 Sec : 10790
     84 :     9965.45 MFlops :       0.00 Sec : 10920
     85 :     9871.74 MFlops :       0.00 Sec : 11050
     86 :     9003.95 MFlops :       0.00 Sec : 11180
     87 :    10187.06 MFlops :       0.00 Sec : 11310
     88 :    10046.56 MFlops :       0.00 Sec : 11440
     89 :     9642.51 MFlops :       0.00 Sec : 11570
     90 :     9650.36 MFlops :       0.00 Sec : 11700
     91 :     9920.76 MFlops :       0.00 Sec : 11830
     92 :    10035.66 MFlops :       0.00 Sec : 11960
     93 :    10973.43 MFlops :       0.00 Sec : 12090
     94 :    10040.99 MFlops :       0.00 Sec : 12220
     95 :    10658.49 MFlops :       0.00 Sec : 12350
     96 :    10101.95 MFlops :       0.00 Sec : 12480
     97 :     9693.70 MFlops :       0.00 Sec : 12610
     98 :    10077.91 MFlops :       0.00 Sec : 12740
     99 :     8669.15 MFlops :       0.00 Sec : 12870
    100 :     9842.99 MFlops :       0.00 Sec : 13000
    101 :     9733.70 MFlops :       0.00 Sec : 13130
    102 :     9039.67 MFlops :       0.00 Sec : 13260
    103 :     9090.52 MFlops :       0.00 Sec : 13390
    104 :     8891.52 MFlops :       0.00 Sec : 13520
    105 :     5600.93 MFlops :       0.01 Sec : 13650
    106 :     8634.21 MFlops :       0.00 Sec : 13780
    107 :     6690.60 MFlops :       0.00 Sec : 13910
    108 :     5804.73 MFlops :       0.01 Sec : 14040
    109 :     8593.27 MFlops :       0.00 Sec : 14170
    110 :     5840.87 MFlops :       0.01 Sec : 14300
    111 :     8911.09 MFlops :       0.00 Sec : 14430
    112 :     8588.75 MFlops :       0.00 Sec : 14560
    113 :     8703.66 MFlops :       0.00 Sec : 14690
    114 :     8255.88 MFlops :       0.00 Sec : 14820
    115 :     8372.28 MFlops :       0.00 Sec : 14950
    116 :     8501.94 MFlops :       0.00 Sec : 15080
    117 :     5908.71 MFlops :       0.01 Sec : 15210
    118 :     6018.51 MFlops :       0.01 Sec : 15340
    119 :     8521.27 MFlops :       0.01 Sec : 15470
    120 :     6479.38 MFlops :       0.01 Sec : 15600
    121 :     8733.42 MFlops :       0.01 Sec : 15730
    122 :     8692.96 MFlops :       0.01 Sec : 15860
    123 :     8315.79 MFlops :       0.01 Sec : 15990
    124 :     8507.27 MFlops :       0.01 Sec : 16120
    125 :     7112.83 MFlops :       0.01 Sec : 16250
    126 :     6406.75 MFlops :       0.01 Sec : 16380
    127 :     6310.28 MFlops :       0.01 Sec : 16510
    128 :     8439.25 MFlops :       0.01 Sec : 16640
    129 :     8382.37 MFlops :       0.01 Sec : 16770
    130 :     8972.70 MFlops :       0.01 Sec : 16900
    131 :    10421.17 MFlops :       0.01 Sec : 17030
    132 :     9572.90 MFlops :       0.01 Sec : 17160
    133 :     7269.68 MFlops :       0.01 Sec : 17290
    134 :    10343.30 MFlops :       0.01 Sec : 17420
    135 :     9818.38 MFlops :       0.01 Sec : 17550
    136 :     9197.61 MFlops :       0.01 Sec : 17680
    137 :     9669.20 MFlops :       0.01 Sec : 17810
    138 :     7811.82 MFlops :       0.01 Sec : 17940
    139 :     8570.15 MFlops :       0.01 Sec : 18070
