From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
      1 :        1.39 MFlops :       0.00 Sec : 34
      2 :        5.85 MFlops :       0.00 Sec : 68
      3 :       39.49 MFlops :       0.00 Sec : 102
      4 :      210.64 MFlops :       0.00 Sec : 136
      5 :      365.69 MFlops :       0.00 Sec : 170
      6 :      568.73 MFlops :       0.00 Sec : 204
      7 :      752.60 MFlops :       0.00 Sec : 238
      8 :      962.93 MFlops :       0.00 Sec : 272
      9 :     1010.24 MFlops :       0.00 Sec : 306
     10 :     1253.81 MFlops :       0.00 Sec : 340
     11 :     1523.71 MFlops :       0.00 Sec : 374
     12 :     1516.61 MFlops :       0.00 Sec : 408
     13 :     1522.29 MFlops :       0.00 Sec : 442
     14 :     1720.23 MFlops :       0.00 Sec : 476
     15 :     1890.72 MFlops :       0.00 Sec : 510
     16 :     2246.83 MFlops :       0.00 Sec : 544
     17 :     2351.99 MFlops :       0.00 Sec : 578
     18 :     2602.65 MFlops :       0.00 Sec : 612
     19 :     2736.33 MFlops :       0.00 Sec : 646
     20 :     2925.56 MFlops :       0.00 Sec : 680
     21 :     2937.86 MFlops :       0.00 Sec : 714
     22 :     3080.90 MFlops :       0.00 Sec : 748
     23 :     3235.93 MFlops :       0.00 Sec : 782
     24 :     3639.86 MFlops :       0.00 Sec : 816
     25 :     3844.92 MFlops :       0.00 Sec : 850
     26 :     3793.25 MFlops :       0.00 Sec : 884
     27 :     4048.85 MFlops :       0.00 Sec : 918
     28 :     4345.84 MFlops :       0.00 Sec : 952
     29 :     4169.89 MFlops :       0.00 Sec : 986
     30 :     4157.37 MFlops :       0.00 Sec : 1020
     31 :     4614.10 MFlops :       0.00 Sec : 1054
     32 :     4714.65 MFlops :       0.00 Sec : 1088
     33 :     4421.59 MFlops :       0.00 Sec : 1122
     34 :     5846.75 MFlops :       0.00 Sec : 1156
     35 :     5533.82 MFlops :       0.00 Sec : 1190
     36 :     5227.46 MFlops :       0.00 Sec : 1224
     37 :     5465.96 MFlops :       0.00 Sec : 1258
     38 :     5802.33 MFlops :       0.00 Sec : 1292
     39 :     6222.59 MFlops :       0.00 Sec : 1326
     40 :     6407.30 MFlops :       0.00 Sec : 1360
     41 :     5724.57 MFlops :       0.00 Sec : 1394
     42 :     5805.76 MFlops :       0.00 Sec : 1428
     43 :     6305.48 MFlops :       0.00 Sec : 1462
     44 :     6987.21 MFlops :       0.00 Sec : 1496
     45 :     6874.85 MFlops :       0.00 Sec : 1530
     46 :     6044.47 MFlops :       0.00 Sec : 1564
     47 :     6834.15 MFlops :       0.00 Sec : 1598
     48 :     6558.30 MFlops :       0.00 Sec : 1632
     49 :     7187.23 MFlops :       0.00 Sec : 1666
     50 :     6871.09 MFlops :       0.00 Sec : 1700
     51 :     6652.76 MFlops :       0.00 Sec : 1734
     52 :     7617.71 MFlops :       0.00 Sec : 1768
     53 :     7219.03 MFlops :       0.00 Sec : 1802
     54 :     7793.28 MFlops :       0.00 Sec : 1836
     55 :     8489.64 MFlops :       0.00 Sec : 1870
     56 :     7797.59 MFlops :       0.00 Sec : 1904
     57 :     7739.89 MFlops :       0.00 Sec : 1938
