From :   1  To : 200 Step =   1 Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        2.00 MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :      338.00 MFlops
     14x14 :      392.00 MFlops
     15x15 :         inf MFlops
     16x16 :         inf MFlops
     17x17 :      578.00 MFlops
     18x18 :      648.00 MFlops
     19x19 :         inf MFlops
     20x20 :      800.00 MFlops
     21x21 :         inf MFlops
     22x22 :         inf MFlops
     23x23 :         inf MFlops
     24x24 :         inf MFlops
     25x25 :     1250.00 MFlops
     26x26 :         inf MFlops
     27x27 :     1458.00 MFlops
     28x28 :         inf MFlops
     29x29 :         inf MFlops
     30x30 :         inf MFlops
     31x31 :         inf MFlops
     32x32 :         inf MFlops
     33x33 :         inf MFlops
     34x34 :         inf MFlops
     35x35 :         inf MFlops
     36x36 :         inf MFlops
     37x37 :         inf MFlops
     38x38 :         inf MFlops
     39x39 :         inf MFlops
     40x40 :     3200.00 MFlops
     41x41 :     3362.00 MFlops
     42x42 :         inf MFlops
     43x43 :         inf MFlops
     44x44 :     3872.00 MFlops
     45x45 :     4050.00 MFlops
     46x46 :     4232.00 MFlops
     47x47 :         inf MFlops
     48x48 :     4608.00 MFlops
     49x49 :     4802.00 MFlops
     50x50 :         inf MFlops
     51x51 :     5202.00 MFlops
     52x52 :     5408.00 MFlops
     53x53 :         inf MFlops
     54x54 :         inf MFlops
     55x55 :         inf MFlops
     56x56 :     6272.00 MFlops
     57x57 :     6498.00 MFlops
     58x58 :     6728.00 MFlops
     59x59 :     6962.00 MFlops
     60x60 :     7200.00 MFlops
     61x61 :     7442.00 MFlops
     62x62 :     7688.00 MFlops
     63x63 :     7938.00 MFlops
     64x64 :     8192.00 MFlops
     65x65 :         inf MFlops
     66x66 :     8712.00 MFlops
     67x67 :     8978.00 MFlops
     68x68 :     9248.00 MFlops
     69x69 :         inf MFlops
     70x70 :     9800.00 MFlops
     71x71 :         inf MFlops
     72x72 :    10368.00 MFlops
     73x73 :    10658.00 MFlops
     74x74 :    10952.00 MFlops
     75x75 :    11250.00 MFlops
     76x76 :    11552.00 MFlops
     77x77 :    11858.00 MFlops
     78x78 :    12168.00 MFlops
     79x79 :    12482.00 MFlops
     80x80 :    12800.00 MFlops
     81x81 :    13122.00 MFlops
     82x82 :     6724.00 MFlops
     83x83 :    13778.00 MFlops
     84x84 :    14112.00 MFlops
     85x85 :     7225.00 MFlops
     86x86 :    14792.00 MFlops
     87x87 :     7569.00 MFlops
     88x88 :     7744.00 MFlops
     89x89 :     7921.00 MFlops
     90x90 :    16200.00 MFlops
     91x91 :     1183.00 MFlops
     92x92 :     1209.14 MFlops
     93x93 :     1330.62 MFlops
     94x94 :     1472.67 MFlops
     95x95 :     1203.33 MFlops
     96x96 :     1417.85 MFlops
     97x97 :     1447.54 MFlops
     98x98 :     1600.67 MFlops
     99x99 :     1633.50 MFlops
    100x100 :     1538.46 MFlops
    101x101 :     1569.38 MFlops
    102x102 :     1734.00 MFlops
    103x103 :     1928.91 MFlops
    104x104 :     1545.14 MFlops
    105x105 :     1696.15 MFlops
    106x106 :     1728.62 MFlops
    107x107 :     1908.17 MFlops
    108x108 :     1794.46 MFlops
    109x109 :     1980.17 MFlops
    110x110 :     1728.57 MFlops
    111x111 :     1895.54 MFlops
    112x112 :     1929.85 MFlops
    113x113 :     1596.12 MFlops
    114x114 :     1999.38 MFlops
    115x115 :      601.14 MFlops
    116x116 :      211.91 MFlops
    117x117 :      667.76 MFlops
    118x118 :     1740.50 MFlops
    119x119 :     2178.62 MFlops
    120x120 :     1600.00 MFlops
    121x121 :     1722.47 MFlops
    122x122 :     1860.50 MFlops
    123x123 :     1779.88 MFlops
    124x124 :     1922.00 MFlops
    125x125 :     1953.12 MFlops
    126x126 :     1984.50 MFlops
    127x127 :     2016.12 MFlops
    128x128 :     2340.57 MFlops
    129x129 :     2377.29 MFlops
    130x130 :     2414.29 MFlops
    131x131 :     1372.88 MFlops
    132x132 :     2680.62 MFlops
    133x133 :     2211.12 MFlops
    134x134 :     2244.50 MFlops
    135x135 :     2278.12 MFlops
    136x136 :     2845.54 MFlops
    137x137 :     2681.29 MFlops
    138x138 :     2720.57 MFlops
    139x139 :     2576.13 MFlops
    140x140 :     2450.00 MFlops
    141x141 :     2485.12 MFlops
    142x142 :     2520.50 MFlops
    143x143 :     2726.53 MFlops
    144x144 :     3190.15 MFlops
    145x145 :     2473.53 MFlops
    146x146 :     3045.14 MFlops
    147x147 :     2701.12 MFlops
    148x148 :     2738.00 MFlops
    149x149 :     2611.88 MFlops
    150x150 :     2647.06 MFlops
    151x151 :     3040.13 MFlops
