From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
      1 :        0.40 MFlops :       0.00 Sec : 64
      2 :        2.50 MFlops :       0.00 Sec : 128
      3 :         inf MFlops :       0.00 Sec : 192
      4 :         inf MFlops :       0.00 Sec : 256
      5 :      150.00 MFlops :       0.00 Sec : 320
      6 :      262.00 MFlops :       0.00 Sec : 384
      7 :      210.00 MFlops :       0.00 Sec : 448
      8 :      632.00 MFlops :       0.00 Sec : 512
      9 :      453.00 MFlops :       0.00 Sec : 576
     10 :     1250.00 MFlops :       0.00 Sec : 640
     11 :      836.00 MFlops :       0.00 Sec : 704
     12 :     1090.00 MFlops :       0.00 Sec : 768
     13 :     1391.00 MFlops :       0.00 Sec : 832
     14 :     1743.00 MFlops :       0.00 Sec : 896
     15 :     1433.33 MFlops :       0.00 Sec : 960
     16 :     1744.00 MFlops :       0.00 Sec : 1024
     17 :     1572.50 MFlops :       0.00 Sec : 1088
     18 :     1496.40 MFlops :       0.00 Sec : 1152
     19 :     2204.00 MFlops :       0.00 Sec : 1216
     20 :     2060.00 MFlops :       0.00 Sec : 1280
     21 :     2388.40 MFlops :       0.00 Sec : 1344
     22 :     2291.67 MFlops :       0.00 Sec : 1408
     23 :     3146.40 MFlops :       0.00 Sec : 1472
     24 :     2982.67 MFlops :       0.00 Sec : 1536
     25 :     2892.86 MFlops :       0.00 Sec : 1600
     26 :     3257.43 MFlops :       0.00 Sec : 1664
     27 :     3195.00 MFlops :       0.00 Sec : 1728
     28 :     4076.00 MFlops :       0.00 Sec : 1792
     29 :     3525.11 MFlops :       0.00 Sec : 1856
     30 :     3905.56 MFlops :       0.00 Sec : 1920
     31 :     3881.20 MFlops :       0.00 Sec : 1984
     32 :     4746.67 MFlops :       0.00 Sec : 2048
     33 :      509.59 MFlops :       0.00 Sec : 2112
     34 :     1166.05 MFlops :       0.00 Sec : 2176
     35 :     1191.49 MFlops :       0.00 Sec : 2240
     36 :     1297.28 MFlops :       0.00 Sec : 2304
     37 :     1351.63 MFlops :       0.00 Sec : 2368
     38 :     1631.41 MFlops :       0.00 Sec : 2432
     39 :     1176.30 MFlops :       0.00 Sec : 2496
     40 :     1782.98 MFlops :       0.00 Sec : 2560
     41 :     1703.43 MFlops :       0.00 Sec : 2624
     42 :     1903.73 MFlops :       0.00 Sec : 2688
     43 :     1861.29 MFlops :       0.00 Sec : 2752
     44 :     2068.81 MFlops :       0.00 Sec : 2816
     45 :     2173.64 MFlops :       0.00 Sec : 2880
     46 :     2322.58 MFlops :       0.00 Sec : 2944
     47 :     2621.15 MFlops :       0.00 Sec : 3008
     48 :     2547.93 MFlops :       0.00 Sec : 3072
     49 :     2619.42 MFlops :       0.00 Sec : 3136
     50 :     3099.06 MFlops :       0.00 Sec : 3200
     51 :     3006.07 MFlops :       0.00 Sec : 3264
     52 :     3697.20 MFlops :       0.00 Sec : 3328
     53 :     3157.77 MFlops :       0.00 Sec : 3392
     54 :     3571.14 MFlops :       0.00 Sec : 3456
     55 :     3367.69 MFlops :       0.00 Sec : 3520
     56 :     3917.15 MFlops :       0.00 Sec : 3584
     57 :     4062.83 MFlops :       0.00 Sec : 3648
     58 :     4211.18 MFlops :       0.00 Sec : 3712
     59 :     4744.84 MFlops :       0.00 Sec : 3776
     60 :     4515.87 MFlops :       0.00 Sec : 3840
     61 :     4822.94 MFlops :       0.00 Sec : 3904
     62 :     4984.60 MFlops :       0.00 Sec : 3968
     63 :     5315.03 MFlops :       0.00 Sec : 4032
     64 :     5573.16 MFlops :       0.00 Sec : 4096
     65 :     4067.98 MFlops :       0.00 Sec : 4160
     66 :     5415.46 MFlops :       0.00 Sec : 4224
     67 :     5586.48 MFlops :       0.00 Sec : 4288
     68 :     5604.49 MFlops :       0.00 Sec : 4352
     69 :     5702.18 MFlops :       0.00 Sec : 4416
     70 :     5801.92 MFlops :       0.00 Sec : 4480
     71 :     5133.61 MFlops :       0.00 Sec : 4544
     72 :     6315.38 MFlops :       0.00 Sec : 4608
     73 :     6186.53 MFlops :       0.00 Sec : 4672
     74 :     6604.27 MFlops :       0.00 Sec : 4736
     75 :     6962.50 MFlops :       0.00 Sec : 4800
     76 :     7068.93 MFlops :       0.00 Sec : 4864
     77 :     7352.56 MFlops :       0.00 Sec : 4928
     78 :     7042.49 MFlops :       0.00 Sec : 4992
     79 :     7400.86 MFlops :       0.00 Sec : 5056
     80 :     7273.12 MFlops :       0.00 Sec : 5120
     81 :     7632.20 MFlops :       0.00 Sec : 5184
     82 :     7073.50 MFlops :       0.00 Sec : 5248
     83 :     8213.39 MFlops :       0.00 Sec : 5312
     84 :     8075.84 MFlops :       0.00 Sec : 5376
     85 :     7313.06 MFlops :       0.00 Sec : 5440
     86 :     8579.82 MFlops :       0.00 Sec : 5504
     87 :     8883.47 MFlops :       0.00 Sec : 5568
     88 :     5631.45 MFlops :       0.00 Sec : 5632
     89 :     6014.10 MFlops :       0.00 Sec : 5696
     90 :    10147.89 MFlops :       0.00 Sec : 5760
     91 :     5897.23 MFlops :       0.00 Sec : 5824
     92 :     6866.27 MFlops :       0.00 Sec : 5888
     93 :     6999.88 MFlops :       0.00 Sec : 5952
     94 :     7181.48 MFlops :       0.00 Sec : 6016
     95 :     7045.34 MFlops :       0.00 Sec : 6080
     96 :     7181.55 MFlops :       0.00 Sec : 6144
     97 :     6289.84 MFlops :       0.00 Sec : 6208
     98 :    10645.15 MFlops :       0.00 Sec : 6272
     99 :    10975.18 MFlops :       0.00 Sec : 6336
    100 :    11712.39 MFlops :       0.00 Sec : 6400
    101 :    10909.62 MFlops :       0.00 Sec : 6464
    102 :    11328.31 MFlops :       0.00 Sec : 6528
    103 :    11665.58 MFlops :       0.00 Sec : 6592
    104 :    11725.80 MFlops :       0.00 Sec : 6656
    105 :     9519.57 MFlops :       0.00 Sec : 6720
    106 :     9734.33 MFlops :       0.00 Sec : 6784
    107 :    10202.01 MFlops :       0.00 Sec : 6848
    108 :    11047.23 MFlops :       0.00 Sec : 6912
    109 :    10652.21 MFlops :       0.00 Sec : 6976
    110 :    10948.76 MFlops :       0.00 Sec : 7040
    111 :    10718.18 MFlops :       0.00 Sec : 7104
    112 :    11630.50 MFlops :       0.00 Sec : 7168
    113 :    11112.10 MFlops :       0.00 Sec : 7232
    114 :    11344.43 MFlops :       0.00 Sec : 7296
    115 :    12137.35 MFlops :       0.00 Sec : 7360
    116 :    11683.23 MFlops :       0.00 Sec : 7424
    117 :    11854.69 MFlops :       0.00 Sec : 7488
    118 :    11961.44 MFlops :       0.00 Sec : 7552
    119 :    12405.09 MFlops :       0.00 Sec : 7616
    120 :    11449.00 MFlops :       0.00 Sec : 7680
    121 :    12487.46 MFlops :       0.00 Sec : 7744
    122 :    13150.00 MFlops :       0.00 Sec : 7808
    123 :    13188.41 MFlops :       0.00 Sec : 7872
    124 :    13733.67 MFlops :       0.00 Sec : 7936
    125 :    12815.59 MFlops :       0.00 Sec : 8000
    126 :    16996.81 MFlops :       0.00 Sec : 8064
    127 :    17517.81 MFlops :       0.00 Sec : 8128
    128 :    16747.18 MFlops :       0.00 Sec : 8192
    129 :    10540.10 MFlops :       0.00 Sec : 8256
    130 :    10991.13 MFlops :       0.00 Sec : 8320
    131 :    11376.00 MFlops :       0.00 Sec : 8384
    132 :     9965.42 MFlops :       0.00 Sec : 8448
    133 :    11022.55 MFlops :       0.00 Sec : 8512
    134 :     7137.37 MFlops :       0.00 Sec : 8576
    135 :     9268.47 MFlops :       0.00 Sec : 8640
    136 :     9422.80 MFlops :       0.00 Sec : 8704
    137 :     9826.89 MFlops :       0.00 Sec : 8768
    138 :    10561.46 MFlops :       0.00 Sec : 8832
    139 :    11027.05 MFlops :       0.00 Sec : 8896
    140 :     9526.96 MFlops :       0.00 Sec : 8960
    141 :    10935.24 MFlops :       0.00 Sec : 9024
    142 :    11578.63 MFlops :       0.00 Sec : 9088
    143 :     8287.89 MFlops :       0.00 Sec : 9152
    144 :    11514.00 MFlops :       0.00 Sec : 9216
    145 :    12254.70 MFlops :       0.00 Sec : 9280
    146 :    12586.71 MFlops :       0.00 Sec : 9344
