From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
      1 :        0.17 MFlops :       0.00 Sec : 64
      2 :        3.33 MFlops :       0.00 Sec : 128
      3 :         inf MFlops :       0.00 Sec : 192
      4 :       76.00 MFlops :       0.00 Sec : 256
      5 :      150.00 MFlops :       0.00 Sec : 320
      6 :      262.00 MFlops :       0.00 Sec : 384
      7 :      420.00 MFlops :       0.00 Sec : 448
      8 :      632.00 MFlops :       0.00 Sec : 512
      9 :      453.00 MFlops :       0.00 Sec : 576
     10 :      625.00 MFlops :       0.00 Sec : 640
     11 :      836.00 MFlops :       0.00 Sec : 704
     12 :     1090.00 MFlops :       0.00 Sec : 768
     13 :      927.33 MFlops :       0.00 Sec : 832
     14 :     1743.00 MFlops :       0.00 Sec : 896
     15 :     2150.00 MFlops :       0.00 Sec : 960
     16 :     2616.00 MFlops :       0.00 Sec : 1024
     17 :     2096.67 MFlops :       0.00 Sec : 1088
     18 :     2494.00 MFlops :       0.00 Sec : 1152
     19 :     2204.00 MFlops :       0.00 Sec : 1216
     20 :     3433.33 MFlops :       0.00 Sec : 1280
     21 :     2985.50 MFlops :       0.00 Sec : 1344
     22 :     3437.50 MFlops :       0.00 Sec : 1408
     23 :     3933.00 MFlops :       0.00 Sec : 1472
     24 :     3579.20 MFlops :       0.00 Sec : 1536
     25 :     4050.00 MFlops :       0.00 Sec : 1600
     26 :     3800.33 MFlops :       0.00 Sec : 1664
     27 :     4260.00 MFlops :       0.00 Sec : 1728
     28 :     4755.33 MFlops :       0.00 Sec : 1792
     29 :     4532.29 MFlops :       0.00 Sec : 1856
     30 :     5021.43 MFlops :       0.00 Sec : 1920
     31 :     5544.57 MFlops :       0.00 Sec : 1984
     32 :     5340.00 MFlops :       0.00 Sec : 2048
     33 :     3906.83 MFlops :       0.00 Sec : 2112
     34 :     4664.18 MFlops :       0.00 Sec : 2176
     35 :     5090.91 MFlops :       0.00 Sec : 2240
     36 :     6097.20 MFlops :       0.00 Sec : 2304
     37 :     6020.91 MFlops :       0.00 Sec : 2368
     38 :     5981.83 MFlops :       0.00 Sec : 2432
     39 :     6469.67 MFlops :       0.00 Sec : 2496
     40 :     6983.33 MFlops :       0.00 Sec : 2560
     41 :     6944.77 MFlops :       0.00 Sec : 2624
     42 :     6472.67 MFlops :       0.00 Sec : 2688
     43 :     6514.50 MFlops :       0.00 Sec : 2752
     44 :     7447.73 MFlops :       0.00 Sec : 2816
     45 :     7970.00 MFlops :       0.00 Sec : 2880
     46 :     7983.87 MFlops :       0.00 Sec : 2944
     47 :     8017.65 MFlops :       0.00 Sec : 3008
     48 :     8543.06 MFlops :       0.00 Sec : 3072
     49 :     8134.00 MFlops :       0.00 Sec : 3136
     50 :     8644.74 MFlops :       0.00 Sec : 3200
     51 :     8717.60 MFlops :       0.00 Sec : 3264
     52 :     9243.00 MFlops :       0.00 Sec : 3328
     53 :     9322.95 MFlops :       0.00 Sec : 3392
     54 :     9414.82 MFlops :       0.00 Sec : 3456
     55 :     9950.00 MFlops :       0.00 Sec : 3520
     56 :    10505.09 MFlops :       0.00 Sec : 3584
     57 :     9028.52 MFlops :       0.00 Sec : 3648
     58 :    10275.28 MFlops :       0.00 Sec : 3712
     59 :    10402.15 MFlops :       0.00 Sec : 3776
     60 :    10160.71 MFlops :       0.00 Sec : 3840
     61 :    10679.36 MFlops :       0.00 Sec : 3904
     62 :    10828.62 MFlops :       0.00 Sec : 3968
     63 :    10984.40 MFlops :       0.00 Sec : 4032
     64 :    11517.87 MFlops :       0.00 Sec : 4096
     65 :     2335.81 MFlops :       0.00 Sec : 4160
     66 :     7581.64 MFlops :       0.00 Sec : 4224
     67 :    10170.26 MFlops :       0.00 Sec : 4288
     68 :    10115.41 MFlops :       0.00 Sec : 4352
     69 :    10318.24 MFlops :       0.00 Sec : 4416
     70 :    11037.80 MFlops :       0.00 Sec : 4480
     71 :    10048.77 MFlops :       0.00 Sec : 4544
     72 :    12014.63 MFlops :       0.00 Sec : 4608
     73 :    11162.65 MFlops :       0.00 Sec : 4672
     74 :    12157.86 MFlops :       0.00 Sec : 4736
     75 :    12377.78 MFlops :       0.00 Sec : 4800
     76 :    12333.02 MFlops :       0.00 Sec : 4864
     77 :    11375.66 MFlops :       0.00 Sec : 4928
     78 :    12289.84 MFlops :       0.00 Sec : 4992
     79 :    12060.67 MFlops :       0.00 Sec : 5056
     80 :    14391.49 MFlops :       0.00 Sec : 5120
     81 :    13003.00 MFlops :       0.00 Sec : 5184
     82 :    14010.96 MFlops :       0.00 Sec : 5248
     83 :    13493.43 MFlops :       0.00 Sec : 5312
     84 :    13988.50 MFlops :       0.00 Sec : 5376
     85 :    14495.54 MFlops :       0.00 Sec : 5440
     86 :    14751.26 MFlops :       0.00 Sec : 5504
     87 :    14509.67 MFlops :       0.00 Sec : 5568
     88 :    16382.40 MFlops :       0.00 Sec : 5632
     89 :    15035.26 MFlops :       0.00 Sec : 5696
     90 :    16067.50 MFlops :       0.00 Sec : 5760
     91 :    15819.56 MFlops :       0.00 Sec : 5824
     92 :    16092.81 MFlops :       0.00 Sec : 5888
     93 :    15880.33 MFlops :       0.00 Sec : 5952
     94 :    16647.97 MFlops :       0.00 Sec : 6016
     95 :    16929.85 MFlops :       0.00 Sec : 6080
     96 :    18009.11 MFlops :       0.00 Sec : 6144
     97 :    13569.10 MFlops :       0.00 Sec : 6208
     98 :    14827.17 MFlops :       0.00 Sec : 6272
     99 :    15286.86 MFlops :       0.00 Sec : 6336
    100 :    15755.95 MFlops :       0.00 Sec : 6400
    101 :    15857.00 MFlops :       0.00 Sec : 6464
    102 :    16146.09 MFlops :       0.00 Sec : 6528
    103 :    16820.14 MFlops :       0.00 Sec : 6592
    104 :    17519.72 MFlops :       0.00 Sec : 6656
    105 :    17220.79 MFlops :       0.00 Sec : 6720
    106 :    17718.67 MFlops :       0.00 Sec : 6784
    107 :    17825.49 MFlops :       0.00 Sec : 6848
    108 :    18331.12 MFlops :       0.00 Sec : 6912
    109 :    17500.06 MFlops :       0.00 Sec : 6976
    110 :    18361.98 MFlops :       0.00 Sec : 7040
    111 :    18113.72 MFlops :       0.00 Sec : 7104
    112 :    18988.57 MFlops :       0.00 Sec : 7168
    113 :    18738.06 MFlops :       0.00 Sec : 7232
    114 :    18691.30 MFlops :       0.00 Sec : 7296
    115 :    19373.08 MFlops :       0.00 Sec : 7360
    116 :    19694.59 MFlops :       0.00 Sec : 7424
    117 :    19467.80 MFlops :       0.00 Sec : 7488
    118 :    20157.24 MFlops :       0.00 Sec : 7552
    119 :    19936.75 MFlops :       0.00 Sec : 7616
    120 :    22671.29 MFlops :       0.00 Sec : 7680
    121 :    20414.28 MFlops :       0.00 Sec : 7744
    122 :    21486.16 MFlops :       0.00 Sec : 7808
    123 :    20551.93 MFlops :       0.00 Sec : 7872
    124 :    22362.80 MFlops :       0.00 Sec : 7936
    125 :    20545.63 MFlops :       0.00 Sec : 8000
    126 :    21913.24 MFlops :       0.00 Sec : 8064
    127 :    22440.17 MFlops :       0.00 Sec : 8128
    128 :    22787.15 MFlops :       0.00 Sec : 8192
    129 :    21080.19 MFlops :       0.00 Sec : 8256
    130 :    23874.18 MFlops :       0.00 Sec : 8320
    131 :    23468.60 MFlops :       0.00 Sec : 8384
    132 :    22422.21 MFlops :       0.00 Sec : 8448
    133 :    20388.12 MFlops :       0.00 Sec : 8512
    134 :    23632.64 MFlops :       0.00 Sec : 8576
    135 :    23641.30 MFlops :       0.00 Sec : 8640
    136 :    24527.00 MFlops :       0.00 Sec : 8704
    137 :    24531.87 MFlops :       0.00 Sec : 8768
    138 :    24544.24 MFlops :       0.00 Sec : 8832
    139 :    24907.24 MFlops :       0.00 Sec : 8896
    140 :    24926.71 MFlops :       0.00 Sec : 8960
    141 :    21124.90 MFlops :       0.00 Sec : 9024
    142 :    23157.26 MFlops :       0.00 Sec : 9088
    143 :    23087.69 MFlops :       0.00 Sec : 9152
    144 :    26405.44 MFlops :       0.00 Sec : 9216
