From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
      1 :   0.000000e+00        0.08 MFlops       0.20 MFlops       0.15 MFlops
      2 :   2.264977e-06        2.67 MFlops        inf MFlops       6.67 MFlops
      3 :   0.000000e+00       18.00 MFlops        inf MFlops      36.00 MFlops
      4 :   1.192093e-07       42.67 MFlops        inf MFlops      74.67 MFlops
      5 :   1.788139e-07       83.33 MFlops        inf MFlops     133.33 MFlops
      6 :   1.192093e-07      144.00 MFlops        inf MFlops     216.00 MFlops
      7 :   2.384186e-07         inf MFlops        inf MFlops        inf MFlops
      8 :   8.344650e-07         inf MFlops     128.00 MFlops     469.33 MFlops
      9 :   1.192093e-06      486.00 MFlops        inf MFlops     648.00 MFlops
     10 :   5.960464e-07      666.67 MFlops     200.00 MFlops     433.33 MFlops
     11 :   1.132488e-06      887.33 MFlops        inf MFlops    1129.33 MFlops
     12 :   2.086163e-06     1152.00 MFlops     288.00 MFlops     720.00 MFlops
     13 :   2.920628e-06     1464.67 MFlops     338.00 MFlops     901.33 MFlops
     14 :   7.450581e-06      914.67 MFlops        inf MFlops    1110.67 MFlops
     15 :   2.741814e-06     2250.00 MFlops     450.00 MFlops    1350.00 MFlops
     16 :   3.600121e-05     2730.67 MFlops     512.00 MFlops    1621.33 MFlops
     17 :   4.529953e-06     1637.67 MFlops        inf MFlops    1926.67 MFlops
     18 :   5.960464e-07     1944.00 MFlops        inf MFlops    2268.00 MFlops
     19 :   7.629395e-06     2286.33 MFlops        inf MFlops    2647.33 MFlops
     20 :   2.980232e-06     2666.67 MFlops        inf MFlops    3066.67 MFlops
     21 :   3.814697e-06     2058.00 MFlops        inf MFlops    2352.00 MFlops
     22 :   6.675720e-06     2366.22 MFlops        inf MFlops    2688.89 MFlops
     23 :   5.960464e-06     2703.78 MFlops        inf MFlops    3056.44 MFlops
     24 :   2.163649e-05     3072.00 MFlops        inf MFlops    3456.00 MFlops
     25 :   1.728535e-06     2604.17 MFlops        inf MFlops    2916.67 MFlops
     26 :   5.304813e-06     2929.33 MFlops        inf MFlops    3267.33 MFlops
     27 :   5.722046e-06     3280.50 MFlops        inf MFlops    3645.00 MFlops
     28 :   1.347065e-05     4878.22 MFlops    1568.00 MFlops    4050.67 MFlops
     29 :   2.264977e-06     4064.83 MFlops        inf MFlops    4485.33 MFlops
     30 :   4.887581e-06     3600.00 MFlops        inf MFlops    3960.00 MFlops
     31 :   1.430511e-06     4965.17 MFlops    1922.00 MFlops    4356.53 MFlops
     32 :   1.192093e-06     5461.33 MFlops    2048.00 MFlops    4778.67 MFlops
     33 :   5.108118e-05      323.76 MFlops    2178.00 MFlops     348.48 MFlops
     34 :   1.037121e-05      845.25 MFlops        inf MFlops     919.83 MFlops
     35 :   3.099442e-06      816.67 MFlops    2450.00 MFlops     862.04 MFlops
     36 :   4.470348e-06     1196.31 MFlops        inf MFlops    1296.00 MFlops
     37 :   1.053810e-04     1407.03 MFlops    2738.00 MFlops    1460.27 MFlops
     38 :   3.933907e-06     1590.49 MFlops    2888.00 MFlops    1644.56 MFlops
     39 :   4.231930e-06     1647.75 MFlops    3042.00 MFlops    1703.52 MFlops
     40 :   4.673004e-05     1777.78 MFlops    3200.00 MFlops    1834.67 MFlops
     41 :   1.847744e-06     2187.97 MFlops        inf MFlops    2348.06 MFlops
     42 :   1.668930e-05     2147.48 MFlops    3528.00 MFlops    2205.00 MFlops
     43 :   2.264977e-06     2409.30 MFlops    3698.00 MFlops    2465.33 MFlops
     44 :   5.048513e-05     2839.47 MFlops    3872.00 MFlops    2888.63 MFlops
     45 :   1.370907e-06     2761.36 MFlops    4050.00 MFlops    2817.39 MFlops
     46 :   4.494190e-05     3244.53 MFlops        inf MFlops    3456.13 MFlops
     47 :   2.586842e-05     3460.77 MFlops    4418.00 MFlops    3506.35 MFlops
     48 :   5.364418e-06     3686.40 MFlops    4608.00 MFlops    3730.29 MFlops
     49 :   3.099442e-05     4128.04 MFlops    4802.00 MFlops    4161.73 MFlops
     50 :   1.406670e-05     4385.96 MFlops    5000.00 MFlops    4416.67 MFlops
     51 :   8.821487e-06     4421.70 MFlops    5202.00 MFlops    4458.86 MFlops
     52 :   7.987022e-06     4686.93 MFlops    5408.00 MFlops    4721.27 MFlops
     53 :   8.571148e-05     4511.42 MFlops    5618.00 MFlops    4559.54 MFlops
     54 :   5.149841e-05     4564.17 MFlops    5832.00 MFlops    4617.00 MFlops
     55 :   1.472235e-05     5041.67 MFlops    6050.00 MFlops    5085.51 MFlops
     56 :   2.999902e-04     5575.11 MFlops    6272.00 MFlops    5606.79 MFlops
     57 :   1.264811e-04     5367.91 MFlops    6498.00 MFlops    5415.00 MFlops
     58 :   3.623962e-05     5655.42 MFlops    6728.00 MFlops    5700.11 MFlops
     59 :   8.940697e-05     5953.01 MFlops    6962.00 MFlops    5995.06 MFlops
     60 :   2.741814e-05     6000.00 MFlops    7200.00 MFlops    6048.00 MFlops
     61 :   1.322627e-04     6052.83 MFlops    7442.00 MFlops    6106.26 MFlops
     62 :   1.099110e-04     6355.41 MFlops    7688.00 MFlops    6406.67 MFlops
     63 :   1.066923e-05     6174.00 MFlops    7938.00 MFlops    6237.00 MFlops
     64 :   1.204014e-05     6472.69 MFlops    8192.00 MFlops    6534.10 MFlops
     65 :   6.437302e-06     4948.20 MFlops      92.86 MFlops    1496.35 MFlops
     66 :   1.341105e-05     4259.20 MFlops    2904.00 MFlops    4174.50 MFlops
     67 :   8.583069e-06     4557.02 MFlops    2992.67 MFlops    4457.16 MFlops
     68 :   1.341105e-05     4874.91 MFlops    1541.33 MFlops    4466.72 MFlops
     69 :   1.144409e-05     4132.19 MFlops    3174.00 MFlops    4080.86 MFlops
     70 :   7.748604e-06     4763.89 MFlops    4900.00 MFlops    4769.33 MFlops
     71 :   4.887581e-06     5549.01 MFlops    3360.67 MFlops    5406.29 MFlops
     72 :   1.704693e-05     6220.80 MFlops    5184.00 MFlops    6171.43 MFlops
     73 :   4.523993e-05     5403.01 MFlops    3552.67 MFlops    5294.17 MFlops
     74 :   6.735325e-06     6139.76 MFlops    3650.67 MFlops    5980.88 MFlops
     75 :   4.589558e-05     6540.70 MFlops    5625.00 MFlops    6500.00 MFlops
     76 :   1.323223e-05     6967.87 MFlops    3850.67 MFlops    6760.06 MFlops
     77 :   1.686811e-05     6340.74 MFlops    5929.00 MFlops    6324.27 MFlops
     78 :   3.480911e-05     7030.40 MFlops    4056.00 MFlops    6844.50 MFlops
     79 :   3.343821e-05     7470.29 MFlops    6241.00 MFlops    7416.84 MFlops
     80 :   2.044439e-05     7757.58 MFlops    6400.00 MFlops    7698.55 MFlops
     81 :   1.329184e-05     8435.57 MFlops    4374.00 MFlops    8164.80 MFlops
     82 :   7.748604e-06     8354.06 MFlops    4482.67 MFlops    8106.95 MFlops
     83 :   4.082918e-05     8286.77 MFlops    4592.67 MFlops    8060.60 MFlops
     84 :   2.402067e-05     8780.80 MFlops    4704.00 MFlops    8526.00 MFlops
     85 :   1.013279e-05     7873.40 MFlops    3612.50 MFlops    7569.05 MFlops
     86 :   2.479553e-05     8154.56 MFlops    4930.67 MFlops    7978.72 MFlops
     87 :   2.211332e-05     8607.88 MFlops    5046.00 MFlops    8410.00 MFlops
