From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        0.67 MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :      128.00 MFlops
      9x9 :      162.00 MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :      338.00 MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :         inf MFlops
     17x17 :         inf MFlops
     18x18 :         inf MFlops
     19x19 :      722.00 MFlops
     20x20 :         inf MFlops
     21x21 :         inf MFlops
     22x22 :         inf MFlops
     23x23 :         inf MFlops
     24x24 :     1152.00 MFlops
     25x25 :     1250.00 MFlops
     26x26 :         inf MFlops
     27x27 :     1458.00 MFlops
     28x28 :     1568.00 MFlops
     29x29 :         inf MFlops
     30x30 :     1800.00 MFlops
     31x31 :     1922.00 MFlops
     32x32 :     2048.00 MFlops
     33x33 :     2178.00 MFlops
     34x34 :     2312.00 MFlops
     35x35 :     2450.00 MFlops
     36x36 :     2592.00 MFlops
     37x37 :     2738.00 MFlops
     38x38 :     2888.00 MFlops
     39x39 :     3042.00 MFlops
     40x40 :     3200.00 MFlops
     41x41 :     3362.00 MFlops
     42x42 :     3528.00 MFlops
     43x43 :     3698.00 MFlops
     44x44 :     3872.00 MFlops
     45x45 :     4050.00 MFlops
     46x46 :     4232.00 MFlops
     47x47 :     4418.00 MFlops
     48x48 :     2304.00 MFlops
     49x49 :     2401.00 MFlops
     50x50 :     5000.00 MFlops
     51x51 :     5202.00 MFlops
     52x52 :     5408.00 MFlops
     53x53 :     5618.00 MFlops
     54x54 :     2916.00 MFlops
     55x55 :     6050.00 MFlops
     56x56 :     3136.00 MFlops
     57x57 :     6498.00 MFlops
     58x58 :     6728.00 MFlops
     59x59 :     3481.00 MFlops
     60x60 :     3600.00 MFlops
     61x61 :     3721.00 MFlops
     62x62 :     3844.00 MFlops
     63x63 :     3969.00 MFlops
     64x64 :     4096.00 MFlops
     65x65 :     4225.00 MFlops
     66x66 :     4356.00 MFlops
     67x67 :     4489.00 MFlops
     68x68 :     4624.00 MFlops
     69x69 :     4761.00 MFlops
     70x70 :     4900.00 MFlops
     71x71 :     3360.67 MFlops
     72x72 :     5184.00 MFlops
     73x73 :     5329.00 MFlops
     74x74 :     3650.67 MFlops
     75x75 :     5625.00 MFlops
     76x76 :     5776.00 MFlops
     77x77 :     5929.00 MFlops
     78x78 :     4056.00 MFlops
     79x79 :     4160.67 MFlops
     80x80 :     4266.67 MFlops
     81x81 :     4374.00 MFlops
     82x82 :     6724.00 MFlops
     83x83 :     4592.67 MFlops
     84x84 :     7056.00 MFlops
     85x85 :     4816.67 MFlops
     86x86 :     7396.00 MFlops
     87x87 :     5046.00 MFlops
     88x88 :     5162.67 MFlops
     89x89 :     5280.67 MFlops
     90x90 :     5400.00 MFlops
     91x91 :     5520.67 MFlops
     92x92 :     5642.67 MFlops
     93x93 :     5766.00 MFlops
     94x94 :     5890.67 MFlops
     95x95 :     4512.50 MFlops
     96x96 :     6144.00 MFlops
     97x97 :     6272.67 MFlops
     98x98 :     6402.67 MFlops
     99x99 :     6534.00 MFlops
    100x100 :     6666.67 MFlops
    101x101 :     6800.67 MFlops
    102x102 :     6936.00 MFlops
    103x103 :     7072.67 MFlops
