From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops		Time
      1 :        0.67 MFlops   0.000003 sec
      2 :        8.00 MFlops   0.000001 sec
      3 :       18.00 MFlops   0.000001 sec
      4 :         inf MFlops   0.000000 sec
      5 :       50.00 MFlops   0.000001 sec
      6 :         inf MFlops   0.000000 sec
      7 :         inf MFlops   0.000000 sec
      8 :      128.00 MFlops   0.000001 sec
      9 :      162.00 MFlops   0.000001 sec
     10 :         inf MFlops   0.000000 sec
     11 :         inf MFlops   0.000000 sec
     12 :         inf MFlops   0.000000 sec
     13 :         inf MFlops   0.000000 sec
     14 :      392.00 MFlops   0.000001 sec
     15 :         inf MFlops   0.000000 sec
     16 :         inf MFlops   0.000000 sec
     17 :      144.50 MFlops   0.000004 sec
     18 :      324.00 MFlops   0.000002 sec
     19 :      240.67 MFlops   0.000003 sec
     20 :      133.33 MFlops   0.000006 sec
     21 :      294.00 MFlops   0.000003 sec
     22 :       88.00 MFlops   0.000011 sec
     23 :      264.50 MFlops   0.000004 sec
     24 :      576.00 MFlops   0.000002 sec
     25 :      625.00 MFlops   0.000002 sec
     26 :      122.91 MFlops   0.000011 sec
     27 :      145.80 MFlops   0.000010 sec
     28 :      174.22 MFlops   0.000009 sec
     29 :      210.25 MFlops   0.000008 sec
     30 :      900.00 MFlops   0.000002 sec
     31 :      213.56 MFlops   0.000009 sec
     32 :      256.00 MFlops   0.000008 sec
     33 :      217.80 MFlops   0.000010 sec
     34 :      210.18 MFlops   0.000011 sec
     35 :      272.22 MFlops   0.000009 sec
     36 :      518.40 MFlops   0.000005 sec
     37 :      228.17 MFlops   0.000012 sec
     38 :      481.33 MFlops   0.000006 sec
     39 :      760.50 MFlops   0.000004 sec
     40 :      400.00 MFlops   0.000008 sec
     41 :     1681.00 MFlops   0.000002 sec
     42 :      705.60 MFlops   0.000005 sec
     43 :      739.60 MFlops   0.000005 sec
     44 :      322.67 MFlops   0.000012 sec
     45 :      450.00 MFlops   0.000009 sec
     46 :      384.73 MFlops   0.000011 sec
     47 :      883.60 MFlops   0.000005 sec
     48 :      256.00 MFlops   0.000018 sec
     49 :      533.56 MFlops   0.000009 sec
     50 :      263.16 MFlops   0.000019 sec
