From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops		Time
      1 :        0.40 MFlops   0.000005 sec
      2 :         inf MFlops   0.000000 sec
      3 :         inf MFlops   0.000000 sec
      4 :         inf MFlops   0.000000 sec
      5 :         inf MFlops   0.000000 sec
      6 :         inf MFlops   0.000000 sec
      7 :         inf MFlops   0.000000 sec
      8 :         inf MFlops   0.000000 sec
      9 :         inf MFlops   0.000000 sec
     10 :      200.00 MFlops   0.000001 sec
     11 :         inf MFlops   0.000000 sec
     12 :         inf MFlops   0.000000 sec
     13 :         inf MFlops   0.000000 sec
     14 :      392.00 MFlops   0.000001 sec
     15 :         inf MFlops   0.000000 sec
     16 :         inf MFlops   0.000000 sec
     17 :         inf MFlops   0.000000 sec
     18 :         inf MFlops   0.000000 sec
     19 :         inf MFlops   0.000000 sec
     20 :         inf MFlops   0.000000 sec
     21 :         inf MFlops   0.000000 sec
     22 :         inf MFlops   0.000000 sec
     23 :         inf MFlops   0.000000 sec
     24 :         inf MFlops   0.000000 sec
     25 :         inf MFlops   0.000000 sec
     26 :         inf MFlops   0.000000 sec
     27 :         inf MFlops   0.000000 sec
     28 :         inf MFlops   0.000000 sec
     29 :         inf MFlops   0.000000 sec
     30 :         inf MFlops   0.000000 sec
     31 :         inf MFlops   0.000000 sec
     32 :     2048.00 MFlops   0.000001 sec
     33 :         inf MFlops   0.000000 sec
     34 :         inf MFlops   0.000000 sec
     35 :         inf MFlops   0.000000 sec
     36 :         inf MFlops   0.000000 sec
     37 :         inf MFlops   0.000000 sec
     38 :         inf MFlops   0.000000 sec
     39 :         inf MFlops   0.000000 sec
     40 :         inf MFlops   0.000000 sec
     41 :         inf MFlops   0.000000 sec
     42 :         inf MFlops   0.000000 sec
     43 :         inf MFlops   0.000000 sec
     44 :         inf MFlops   0.000000 sec
     45 :         inf MFlops   0.000000 sec
     46 :         inf MFlops   0.000000 sec
     47 :     4418.00 MFlops   0.000001 sec
     48 :     4608.00 MFlops   0.000001 sec
     49 :         inf MFlops   0.000000 sec
     50 :         inf MFlops   0.000000 sec
     51 :     5202.00 MFlops   0.000001 sec
     52 :         inf MFlops   0.000000 sec
     53 :         inf MFlops   0.000000 sec
     54 :         inf MFlops   0.000000 sec
     55 :     6050.00 MFlops   0.000001 sec
     56 :         inf MFlops   0.000000 sec
     57 :         inf MFlops   0.000000 sec
     58 :         inf MFlops   0.000000 sec
     59 :     6962.00 MFlops   0.000001 sec
     60 :     7200.00 MFlops   0.000001 sec
     61 :         inf MFlops   0.000000 sec
     62 :     7688.00 MFlops   0.000001 sec
     63 :         inf MFlops   0.000000 sec
     64 :         inf MFlops   0.000000 sec
     65 :     8450.00 MFlops   0.000001 sec
     66 :         inf MFlops   0.000000 sec
     67 :     8978.00 MFlops   0.000001 sec
     68 :     9248.00 MFlops   0.000001 sec
     69 :     9522.00 MFlops   0.000001 sec
     70 :         inf MFlops   0.000000 sec
     71 :    10082.00 MFlops   0.000001 sec
     72 :    10368.00 MFlops   0.000001 sec
     73 :         inf MFlops   0.000000 sec
     74 :    10952.00 MFlops   0.000001 sec
     75 :    11250.00 MFlops   0.000001 sec
     76 :         inf MFlops   0.000000 sec
     77 :    11858.00 MFlops   0.000001 sec
     78 :    12168.00 MFlops   0.000001 sec
     79 :         inf MFlops   0.000000 sec
     80 :         inf MFlops   0.000000 sec
     81 :         inf MFlops   0.000000 sec
     82 :         inf MFlops   0.000000 sec
     83 :         inf MFlops   0.000000 sec
     84 :         inf MFlops   0.000000 sec
     85 :    14450.00 MFlops   0.000001 sec
     86 :    14792.00 MFlops   0.000001 sec
     87 :         inf MFlops   0.000000 sec
     88 :    15488.00 MFlops   0.000001 sec
     89 :         inf MFlops   0.000000 sec
     90 :    16200.00 MFlops   0.000001 sec
     91 :    16562.00 MFlops   0.000001 sec
     92 :    16928.00 MFlops   0.000001 sec
     93 :    17298.00 MFlops   0.000001 sec
     94 :    17672.00 MFlops   0.000001 sec
     95 :    18050.00 MFlops   0.000001 sec
     96 :    18432.00 MFlops   0.000001 sec
     97 :    18818.00 MFlops   0.000001 sec
     98 :    19208.00 MFlops   0.000001 sec
     99 :    19602.00 MFlops   0.000001 sec
    100 :    20000.00 MFlops   0.000001 sec
    101 :    20402.00 MFlops   0.000001 sec
    102 :         inf MFlops   0.000000 sec
    103 :         inf MFlops   0.000000 sec
    104 :    21632.00 MFlops   0.000001 sec
    105 :    22050.00 MFlops   0.000001 sec
    106 :    22472.00 MFlops   0.000001 sec
    107 :    22898.00 MFlops   0.000001 sec
    108 :         inf MFlops   0.000000 sec
    109 :    23762.00 MFlops   0.000001 sec
    110 :    24200.00 MFlops   0.000001 sec
    111 :    24642.00 MFlops   0.000001 sec
    112 :    25088.00 MFlops   0.000001 sec
    113 :    25538.00 MFlops   0.000001 sec
    114 :    25992.00 MFlops   0.000001 sec
    115 :    26450.00 MFlops   0.000001 sec
    116 :    26912.00 MFlops   0.000001 sec
    117 :    27378.00 MFlops   0.000001 sec
    118 :    27848.00 MFlops   0.000001 sec
    119 :    28322.00 MFlops   0.000001 sec
    120 :    28800.00 MFlops   0.000001 sec
    121 :    29282.00 MFlops   0.000001 sec
    122 :    29768.00 MFlops   0.000001 sec
    123 :    30258.00 MFlops   0.000001 sec
    124 :    30752.00 MFlops   0.000001 sec
    125 :    15625.00 MFlops   0.000002 sec
    126 :    31752.00 MFlops   0.000001 sec
    127 :    32258.00 MFlops   0.000001 sec
    128 :    32768.00 MFlops   0.000001 sec
    129 :    33282.00 MFlops   0.000001 sec
    130 :    33800.00 MFlops   0.000001 sec
    131 :    34322.00 MFlops   0.000001 sec
    132 :    34848.00 MFlops   0.000001 sec
    133 :    35378.00 MFlops   0.000001 sec
    134 :    35912.00 MFlops   0.000001 sec
    135 :    18225.00 MFlops   0.000002 sec
    136 :    18496.00 MFlops   0.000002 sec
    137 :    37538.00 MFlops   0.000001 sec
    138 :    19044.00 MFlops   0.000002 sec
    139 :    38642.00 MFlops   0.000001 sec
    140 :    19600.00 MFlops   0.000002 sec
    141 :    39762.00 MFlops   0.000001 sec
    142 :    20164.00 MFlops   0.000002 sec
    143 :    40898.00 MFlops   0.000001 sec
    144 :    20736.00 MFlops   0.000002 sec
    145 :    21025.00 MFlops   0.000002 sec
    146 :    21316.00 MFlops   0.000002 sec
    147 :    43218.00 MFlops   0.000001 sec
    148 :    43808.00 MFlops   0.000001 sec
    149 :    44402.00 MFlops   0.000001 sec
    150 :    45000.00 MFlops   0.000001 sec
    151 :    22801.00 MFlops   0.000002 sec
    152 :    46208.00 MFlops   0.000001 sec
    153 :    23409.00 MFlops   0.000002 sec
    154 :    23716.00 MFlops   0.000002 sec
    155 :    48050.00 MFlops   0.000001 sec
    156 :    24336.00 MFlops   0.000002 sec
    157 :    24649.00 MFlops   0.000002 sec
    158 :    24964.00 MFlops   0.000002 sec
    159 :    25281.00 MFlops   0.000002 sec
    160 :    25600.00 MFlops   0.000002 sec
