From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        0.20 MFlops
      2 :       16.00 MFlops
      3 :         inf MFlops
      4 :      128.00 MFlops
      5 :        9.26 MFlops
      6 :       39.27 MFlops
      7 :       76.22 MFlops
      8 :      128.00 MFlops
      9 :       66.27 MFlops
     10 :       58.82 MFlops
     11 :      126.76 MFlops
     12 :      181.89 MFlops
     13 :      199.73 MFlops
     14 :      228.67 MFlops
     15 :      270.00 MFlops
     16 :      303.41 MFlops
     17 :      178.65 MFlops
     18 :      388.80 MFlops
     19 :      381.06 MFlops
     20 :      571.43 MFlops
     21 :      336.76 MFlops
     22 :      709.87 MFlops
     23 :      839.10 MFlops
     24 :     1024.00 MFlops
     25 :     1077.59 MFlops
     26 :     1133.94 MFlops
     27 :     1405.93 MFlops
     28 :     1568.00 MFlops
     29 :     1393.66 MFlops
     30 :     1687.50 MFlops
     31 :     1861.94 MFlops
     32 :     1820.44 MFlops
     33 :     2053.54 MFlops
     34 :     2124.54 MFlops
     35 :     2256.58 MFlops
     36 :     2275.90 MFlops
     37 :     2665.95 MFlops
     38 :     2438.76 MFlops
     39 :     2824.71 MFlops
     40 :     1185.19 MFlops
     41 :     1862.73 MFlops
     42 :     2646.00 MFlops
     43 :     2891.16 MFlops
     44 :     3097.60 MFlops
     45 :     3375.00 MFlops
     46 :     2862.82 MFlops
     47 :     5064.54 MFlops
     48 :     5143.81 MFlops
     49 :     6033.28 MFlops
     50 :     6578.95 MFlops
     51 :     6632.55 MFlops
     52 :     6249.24 MFlops
     53 :     7262.29 MFlops
     54 :     8075.08 MFlops
     55 :     7922.62 MFlops
     56 :     8566.63 MFlops
     57 :     9497.08 MFlops
     58 :     7804.48 MFlops
     59 :     8382.82 MFlops
     60 :     8470.59 MFlops
     61 :    11072.24 MFlops
     62 :    11085.02 MFlops
     63 :    10001.88 MFlops
     64 :    13443.28 MFlops
     65 :    12482.95 MFlops
     66 :    13068.00 MFlops
     67 :    10936.84 MFlops
     68 :    11229.71 MFlops
     69 :    11327.90 MFlops
     70 :    14000.00 MFlops
     71 :    14608.61 MFlops
     72 :    14355.69 MFlops
     73 :    14679.89 MFlops
     74 :    14735.42 MFlops
     75 :     9480.34 MFlops
     76 :    14632.53 MFlops
     77 :    13427.44 MFlops
     78 :    13957.41 MFlops
     79 :    16165.21 MFlops
     80 :    15753.85 MFlops
     81 :    15630.62 MFlops
     82 :    16216.71 MFlops
     83 :    12566.75 MFlops
     84 :    18522.00 MFlops
     85 :    21548.25 MFlops
     86 :    21932.97 MFlops
     87 :    21242.03 MFlops
     88 :    20968.37 MFlops
     89 :    21362.70 MFlops
     90 :    18935.06 MFlops
     91 :    17942.17 MFlops
     92 :    26396.20 MFlops
     93 :    25947.00 MFlops
     94 :    24793.55 MFlops
     95 :    31177.27 MFlops
     96 :    26410.03 MFlops
     97 :    20058.75 MFlops
     98 :    28520.97 MFlops
     99 :    44104.50 MFlops
    100 :    47619.05 MFlops
    101 :    47920.98 MFlops
    102 :    45157.79 MFlops
    103 :    44601.10 MFlops
    104 :    44112.31 MFlops
    105 :    46305.00 MFlops
    106 :    46706.51 MFlops
    107 :    47117.04 MFlops
    108 :    46656.00 MFlops
    109 :    47964.04 MFlops
    110 :    47535.71 MFlops
    111 :    47159.69 MFlops
    112 :    27017.85 MFlops
    113 :    43724.15 MFlops
    114 :    44895.27 MFlops
    115 :    45399.25 MFlops
    116 :    45243.36 MFlops
    117 :    47809.34 MFlops
    118 :    49788.85 MFlops
    119 :    51065.42 MFlops
    120 :    54857.14 MFlops
    121 :    55361.28 MFlops
    122 :    56745.25 MFlops
    123 :    57257.45 MFlops
    124 :    58665.35 MFlops
    125 :    61035.16 MFlops
    126 :    63504.00 MFlops
    127 :    64011.97 MFlops
    128 :    39199.10 MFlops
    129 :    59630.25 MFlops
    130 :    61887.32 MFlops
    131 :    54831.49 MFlops
    132 :    62161.30 MFlops
    133 :    61911.50 MFlops
    134 :    59409.98 MFlops
    135 :    58580.36 MFlops
    136 :    52956.97 MFlops
    137 :    61960.31 MFlops
    138 :    43801.20 MFlops
    139 :    45908.02 MFlops
    140 :    57768.42 MFlops
    141 :    59643.00 MFlops
    142 :    60279.75 MFlops
    143 :    60920.98 MFlops
    144 :    58548.71 MFlops
    145 :    60972.50 MFlops
    146 :    57632.15 MFlops
    147 :    61680.06 MFlops
    148 :    54945.63 MFlops
    149 :    61258.31 MFlops
    150 :    61926.61 MFlops
    151 :    58853.86 MFlops
    152 :    62155.89 MFlops
    153 :    62288.30 MFlops
    154 :    64074.81 MFlops
    155 :    64763.04 MFlops
    156 :    63273.60 MFlops
    157 :    66152.02 MFlops
    158 :    67424.14 MFlops
    159 :    68130.15 MFlops
    160 :    70017.09 MFlops
    161 :    70139.18 MFlops
    162 :    69130.54 MFlops
    163 :    65124.02 MFlops
    164 :    65347.32 MFlops
    165 :    65103.26 MFlops
    166 :    65347.09 MFlops
    167 :    65598.07 MFlops
    168 :    59270.40 MFlops
    169 :    65227.15 MFlops
    170 :    64644.74 MFlops
    171 :    62502.64 MFlops
    172 :    64005.64 MFlops
    173 :    63530.27 MFlops
    174 :    63470.17 MFlops
    175 :    64184.13 MFlops
    176 :    64518.06 MFlops
    177 :    64106.74 MFlops
    178 :    65962.01 MFlops
    179 :    61340.52 MFlops
    180 :    61714.29 MFlops
    181 :    63082.35 MFlops
    182 :    64476.66 MFlops
    183 :    63838.41 MFlops
    184 :    65920.68 MFlops
    185 :    67357.71 MFlops
    186 :    65998.52 MFlops
    187 :    68833.72 MFlops
    188 :    67458.60 MFlops
    189 :    70325.72 MFlops
    190 :    71077.72 MFlops
    191 :    72205.92 MFlops
    192 :    73345.99 MFlops
    193 :    72985.35 MFlops
    194 :    39466.94 MFlops
    195 :    69951.65 MFlops
    196 :    72749.14 MFlops
    197 :    71119.75 MFlops
    198 :    69617.87 MFlops
    199 :    69739.81 MFlops
    200 :    69869.00 MFlops
