From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        0.11 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :      128.00 MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :      686.00 MFlops
      8 :     1024.00 MFlops
      9 :     1458.00 MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :     3456.00 MFlops
     13 :     4394.00 MFlops
     14 :         inf MFlops
     15 :     6750.00 MFlops
     16 :     4096.00 MFlops
     17 :     9826.00 MFlops
     18 :    11664.00 MFlops
     19 :    13718.00 MFlops
     20 :    16000.00 MFlops
     21 :    18522.00 MFlops
     22 :    10648.00 MFlops
     23 :    12167.00 MFlops
     24 :    27648.00 MFlops
     25 :    10416.67 MFlops
     26 :    35152.00 MFlops
     27 :    13122.00 MFlops
     28 :    21952.00 MFlops
     29 :    16259.33 MFlops
     30 :    18000.00 MFlops
     31 :    14895.50 MFlops
     32 :     5461.33 MFlops
     33 :    17968.50 MFlops
     34 :    26202.67 MFlops
     35 :    21437.50 MFlops
     36 :    18662.40 MFlops
     37 :    20261.20 MFlops
     38 :    21948.80 MFlops
     39 :    23727.60 MFlops
     40 :    25600.00 MFlops
     41 :    19691.71 MFlops
     42 :    24696.00 MFlops
     43 :    26502.33 MFlops
     44 :    24338.29 MFlops
     45 :    26035.71 MFlops
     46 :    21630.22 MFlops
     47 :    23071.78 MFlops
     48 :    27648.00 MFlops
     49 :    29412.25 MFlops
     50 :    27777.78 MFlops
     51 :    29478.00 MFlops
     52 :    28121.60 MFlops
     53 :    27068.55 MFlops
     54 :    26244.00 MFlops
     55 :    22183.33 MFlops
     56 :    29269.33 MFlops
     57 :    30865.50 MFlops
     58 :    30017.23 MFlops
     59 :    29339.86 MFlops
     60 :    30857.14 MFlops
     61 :    28372.62 MFlops
     62 :    28038.59 MFlops
     63 :    26320.74 MFlops
     64 :    30840.47 MFlops
     65 :    30513.89 MFlops
     66 :    31944.00 MFlops
     67 :    30076.30 MFlops
     68 :    29945.90 MFlops
     69 :    29864.45 MFlops
     70 :    29826.09 MFlops
     71 :    27531.62 MFlops
     72 :    33931.64 MFlops
     73 :    32418.08 MFlops
     74 :    19767.02 MFlops
     75 :    30133.93 MFlops
     76 :    31355.43 MFlops
     77 :    29453.74 MFlops
     78 :    29659.50 MFlops
     79 :    29002.29 MFlops
     80 :    34133.33 MFlops
     81 :    31261.24 MFlops
     82 :    31506.74 MFlops
     83 :    30094.05 MFlops
     84 :    32038.05 MFlops
     85 :    29957.32 MFlops
     86 :    31027.12 MFlops
     87 :    28630.57 MFlops
     88 :    34073.60 MFlops
     89 :    22379.97 MFlops
     90 :    22781.25 MFlops
     91 :    30758.00 MFlops
     92 :    32445.33 MFlops
     93 :    31543.41 MFlops
     94 :    31342.79 MFlops
     95 :    30620.54 MFlops
     96 :    34695.53 MFlops
     97 :    31471.48 MFlops
     98 :    23239.31 MFlops
     99 :    31813.08 MFlops
    100 :    33333.33 MFlops
    101 :    31701.57 MFlops
    102 :    30759.65 MFlops
    103 :    27318.17 MFlops
    104 :    24996.98 MFlops
    105 :    33554.35 MFlops
    106 :    33083.78 MFlops
    107 :    32237.97 MFlops
    108 :    30354.51 MFlops
    109 :    33637.12 MFlops
    110 :    33275.00 MFlops
    111 :    30733.28 MFlops
    112 :    36023.79 MFlops
    113 :    34354.69 MFlops
    114 :    34058.48 MFlops
    115 :    33425.82 MFlops
    116 :    30308.66 MFlops
    117 :    30219.11 MFlops
    118 :    31295.85 MFlops
    119 :    31795.45 MFlops
    120 :    35628.87 MFlops
    121 :    33425.68 MFlops
    122 :    34261.28 MFlops
    123 :    34144.35 MFlops
    124 :    19555.12 MFlops
    125 :    33967.39 MFlops
    126 :    33904.68 MFlops
    127 :    23957.70 MFlops
    128 :    21076.90 MFlops
    129 :    32773.88 MFlops
    130 :    35435.48 MFlops
    131 :    39789.22 MFlops
    132 :    34848.00 MFlops
    133 :    46586.87 MFlops
    134 :    51193.70 MFlops
    135 :    50211.73 MFlops
    136 :    55284.75 MFlops
    137 :    54133.75 MFlops
    138 :    46514.55 MFlops
    139 :    47533.08 MFlops
    140 :    45733.33 MFlops
    141 :    43460.79 MFlops
    142 :    48530.31 MFlops
    143 :    46050.50 MFlops
    144 :    51042.46 MFlops
    145 :    53957.96 MFlops
    146 :    58719.55 MFlops
    147 :    47410.79 MFlops
    148 :    56873.54 MFlops
    149 :    31060.55 MFlops
    150 :    46232.88 MFlops
    151 :    52564.14 MFlops
    152 :    54027.82 MFlops
    153 :    56850.43 MFlops
    154 :    55337.33 MFlops
    155 :    45691.72 MFlops
    156 :    56662.93 MFlops
    157 :    38893.40 MFlops
    158 :    44568.50 MFlops
    159 :    55443.85 MFlops
    160 :    62534.35 MFlops
    161 :    61826.39 MFlops
    162 :    62985.60 MFlops
    163 :    63687.46 MFlops
    164 :    63013.49 MFlops
    165 :    61117.35 MFlops
    166 :    52578.11 MFlops
    167 :    60096.30 MFlops
    168 :    65856.00 MFlops
    169 :    65670.87 MFlops
    170 :    65946.31 MFlops
    171 :    66227.96 MFlops
    172 :    60576.76 MFlops
    173 :    65958.18 MFlops
    174 :    64244.20 MFlops
    175 :    70985.10 MFlops
    176 :    73672.65 MFlops
    177 :    69315.41 MFlops
    178 :    68360.63 MFlops
    179 :    73061.64 MFlops
    180 :    72447.20 MFlops
    181 :    72313.91 MFlops
    182 :    71768.67 MFlops
    183 :    72526.47 MFlops
    184 :    74160.76 MFlops
    185 :    73623.55 MFlops
    186 :    75704.19 MFlops
    187 :    72256.39 MFlops
    188 :    48501.26 MFlops
    189 :    57703.15 MFlops
    190 :    72200.00 MFlops
    191 :    92904.95 MFlops
    192 :    76106.32 MFlops
    193 :    80324.66 MFlops
    194 :    78089.67 MFlops
    195 :    68656.25 MFlops
    196 :    72399.38 MFlops
    197 :    70141.04 MFlops
    198 :    70567.20 MFlops
    199 :    72299.07 MFlops
    200 :    68965.52 MFlops
