From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops
      1 :        0.50 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :       64.00 MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :      121.00 MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :      256.00 MFlops
     17 :       26.27 MFlops
     18 :       81.00 MFlops
     19 :      120.33 MFlops
     20 :       44.44 MFlops
     21 :      147.00 MFlops
     22 :       44.00 MFlops
     23 :      132.25 MFlops
     24 :      192.00 MFlops
     25 :      156.25 MFlops
     26 :       56.33 MFlops
     27 :      145.80 MFlops
     28 :       65.33 MFlops
     29 :      280.33 MFlops
     30 :      450.00 MFlops
     31 :      120.12 MFlops
     32 :      113.78 MFlops
     33 :      136.12 MFlops
     34 :      231.20 MFlops
     35 :      175.00 MFlops
     36 :      259.20 MFlops
     37 :      273.80 MFlops
     38 :      288.80 MFlops
     39 :      217.29 MFlops
     40 :      400.00 MFlops
     41 :      420.25 MFlops
     42 :      441.00 MFlops
     43 :      205.44 MFlops
     44 :      276.57 MFlops
     45 :      202.50 MFlops
     46 :      235.11 MFlops
     47 :      169.92 MFlops
     48 :      256.00 MFlops
     49 :      218.27 MFlops
     50 :      416.67 MFlops
     51 :      260.10 MFlops
     52 :      300.44 MFlops
     53 :      702.25 MFlops
     54 :      486.00 MFlops
     55 :      378.12 MFlops
     56 :      313.60 MFlops
     57 :      649.80 MFlops
     58 :      280.33 MFlops
     59 :      348.10 MFlops
     60 :      400.00 MFlops
     61 :      465.12 MFlops
     62 :      549.14 MFlops
     63 :      661.50 MFlops
     64 :      819.20 MFlops
     65 :      603.57 MFlops
     66 :      396.00 MFlops
     67 :      374.08 MFlops
     68 :      513.78 MFlops
     69 :      396.75 MFlops
     70 :      612.50 MFlops
     71 :      630.12 MFlops
     72 :      864.00 MFlops
     73 :      666.12 MFlops
     74 :      782.29 MFlops
     75 :      625.00 MFlops
     76 :      525.09 MFlops
     77 :      592.90 MFlops
     78 :      507.00 MFlops
     79 :      416.07 MFlops
     80 :      914.29 MFlops
     81 :     1312.20 MFlops
     82 :      611.27 MFlops
     83 :      984.14 MFlops
     84 :      705.60 MFlops
     85 :      802.78 MFlops
     86 :     1479.20 MFlops
     87 :      756.90 MFlops
     88 :      553.14 MFlops
     89 :      565.79 MFlops
     90 :      900.00 MFlops
     91 :      690.08 MFlops
     92 :      846.40 MFlops
     93 :      786.27 MFlops
     94 :      981.78 MFlops
     95 :      902.50 MFlops
     96 :     1024.00 MFlops
     97 :     1176.12 MFlops
     98 :     1600.67 MFlops
     99 :     1089.00 MFlops
    100 :      833.33 MFlops
    101 :     1133.44 MFlops
    102 :      945.82 MFlops
    103 :     1060.90 MFlops
    104 :      983.27 MFlops
    105 :     1378.12 MFlops
    106 :     1248.44 MFlops
    107 :     1040.82 MFlops
    108 :      897.23 MFlops
    109 :     1188.10 MFlops
    110 :     1210.00 MFlops
    111 :     1120.09 MFlops
    112 :      964.92 MFlops
    113 :     1160.82 MFlops
    114 :     1181.45 MFlops
    115 :     1202.27 MFlops
    116 :     1345.60 MFlops
    117 :     1244.45 MFlops
    118 :     1265.82 MFlops
    119 :     1287.36 MFlops
    120 :     1309.09 MFlops
    121 :     1331.00 MFlops
    122 :     2480.67 MFlops
    123 :     1260.75 MFlops
    124 :     1397.82 MFlops
    125 :     1736.11 MFlops
    126 :     1443.27 MFlops
    127 :      948.76 MFlops
    128 :     1489.45 MFlops
    129 :     1664.10 MFlops
    130 :     1877.78 MFlops
    131 :     1906.78 MFlops
    132 :     2178.00 MFlops
    133 :     1768.90 MFlops
    134 :     1632.36 MFlops
    135 :     1518.75 MFlops
    136 :     1681.45 MFlops
    137 :     1443.77 MFlops
