From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops
      1 :        0.33 MFlops
      2 :         inf MFlops
      3 :        9.00 MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :        8.10 MFlops
     10 :      100.00 MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :      225.00 MFlops
     16 :         inf MFlops
     17 :      289.00 MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :      400.00 MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :         inf MFlops
     24 :         inf MFlops
     25 :      625.00 MFlops
     26 :      676.00 MFlops
     27 :      729.00 MFlops
     28 :         inf MFlops
     29 :      841.00 MFlops
     30 :         inf MFlops
     31 :         inf MFlops
     32 :         inf MFlops
     33 :         inf MFlops
     34 :     1156.00 MFlops
     35 :         inf MFlops
     36 :         inf MFlops
     37 :         inf MFlops
     38 :         inf MFlops
     39 :         inf MFlops
     40 :         inf MFlops
     41 :         inf MFlops
     42 :         inf MFlops
     43 :         inf MFlops
     44 :         inf MFlops
     45 :     2025.00 MFlops
     46 :         inf MFlops
     47 :         inf MFlops
     48 :         inf MFlops
     49 :         inf MFlops
     50 :         inf MFlops
     51 :     2601.00 MFlops
     52 :     2704.00 MFlops
     53 :     2809.00 MFlops
     54 :         inf MFlops
     55 :         inf MFlops
     56 :         inf MFlops
     57 :     3249.00 MFlops
     58 :         inf MFlops
     59 :         inf MFlops
     60 :         inf MFlops
     61 :     3721.00 MFlops
     62 :         inf MFlops
     63 :         inf MFlops
     64 :     4096.00 MFlops
     65 :     4225.00 MFlops
     66 :     4356.00 MFlops
     67 :         inf MFlops
     68 :     4624.00 MFlops
     69 :         inf MFlops
     70 :         inf MFlops
     71 :         inf MFlops
     72 :         inf MFlops
     73 :         inf MFlops
     74 :     5476.00 MFlops
     75 :     5625.00 MFlops
     76 :         inf MFlops
     77 :         inf MFlops
     78 :     6084.00 MFlops
     79 :         inf MFlops
     80 :     6400.00 MFlops
     81 :         inf MFlops
     82 :         inf MFlops
     83 :         inf MFlops
     84 :     7056.00 MFlops
     85 :         inf MFlops
     86 :         inf MFlops
     87 :     7569.00 MFlops
     88 :         inf MFlops
     89 :     7921.00 MFlops
     90 :         inf MFlops
     91 :     8281.00 MFlops
     92 :     8464.00 MFlops
     93 :         inf MFlops
     94 :     8836.00 MFlops
     95 :         inf MFlops
     96 :     9216.00 MFlops
     97 :         inf MFlops
     98 :     9604.00 MFlops
     99 :     9801.00 MFlops
    100 :    10000.00 MFlops
    101 :    10201.00 MFlops
    102 :    10404.00 MFlops
    103 :    10609.00 MFlops
    104 :    10816.00 MFlops
    105 :    11025.00 MFlops
    106 :    11236.00 MFlops
    107 :    11449.00 MFlops
    108 :    11664.00 MFlops
    109 :    11881.00 MFlops
    110 :    12100.00 MFlops
    111 :         inf MFlops
    112 :    12544.00 MFlops
    113 :    12769.00 MFlops
    114 :    12996.00 MFlops
    115 :    13225.00 MFlops
    116 :    13456.00 MFlops
    117 :    13689.00 MFlops
    118 :    13924.00 MFlops
    119 :         inf MFlops
    120 :    14400.00 MFlops
    121 :    14641.00 MFlops
    122 :    14884.00 MFlops
    123 :    15129.00 MFlops
    124 :    15376.00 MFlops
    125 :    15625.00 MFlops
    126 :    15876.00 MFlops
    127 :    16129.00 MFlops
    128 :    16384.00 MFlops
    129 :    16641.00 MFlops
    130 :    16900.00 MFlops
    131 :    17161.00 MFlops
    132 :    17424.00 MFlops
    133 :    17689.00 MFlops
    134 :    17956.00 MFlops
    135 :     9112.50 MFlops
    136 :    18496.00 MFlops
    137 :    18769.00 MFlops
    138 :    19044.00 MFlops
    139 :    19321.00 MFlops
    140 :    19600.00 MFlops
    141 :     9940.50 MFlops
    142 :    20164.00 MFlops
    143 :    20449.00 MFlops
    144 :    20736.00 MFlops
    145 :    10512.50 MFlops
    146 :    21316.00 MFlops
    147 :    10804.50 MFlops
    148 :    21904.00 MFlops
    149 :    22201.00 MFlops
    150 :    22500.00 MFlops
    151 :    22801.00 MFlops
    152 :    23104.00 MFlops
    153 :    23409.00 MFlops
    154 :    11858.00 MFlops
    155 :    24025.00 MFlops
    156 :    24336.00 MFlops
    157 :    24649.00 MFlops
    158 :    24964.00 MFlops
    159 :    25281.00 MFlops
    160 :    25600.00 MFlops
    161 :    25921.00 MFlops
    162 :    26244.00 MFlops
    163 :    26569.00 MFlops
    164 :    26896.00 MFlops
    165 :    27225.00 MFlops
    166 :    13778.00 MFlops
    167 :    27889.00 MFlops
    168 :    14112.00 MFlops
    169 :    14280.50 MFlops
    170 :    14450.00 MFlops
    171 :    14620.50 MFlops
    172 :    14792.00 MFlops
    173 :    14964.50 MFlops
    174 :    15138.00 MFlops
    175 :    15312.50 MFlops
    176 :    15488.00 MFlops
    177 :    15664.50 MFlops
    178 :    15842.00 MFlops
