From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops
      1 :        0.67 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :      128.00 MFlops
      9 :         inf MFlops
     10 :      200.00 MFlops
     11 :      242.00 MFlops
     12 :      288.00 MFlops
     13 :      338.00 MFlops
     14 :      392.00 MFlops
     15 :      450.00 MFlops
     16 :      512.00 MFlops
     17 :       82.57 MFlops
     18 :      129.60 MFlops
     19 :      240.67 MFlops
     20 :      133.33 MFlops
     21 :      441.00 MFlops
     22 :      322.67 MFlops
     23 :      211.60 MFlops
     24 :      104.73 MFlops
     25 :      312.50 MFlops
     26 :      676.00 MFlops
     27 :      364.50 MFlops
     28 :      120.62 MFlops
     29 :      186.89 MFlops
     30 :      360.00 MFlops
     31 :      240.25 MFlops
     32 :      409.60 MFlops
     33 :      217.80 MFlops
     34 :      231.20 MFlops
     35 :      245.00 MFlops
     36 :      288.00 MFlops
     37 :      342.25 MFlops
     38 :      412.57 MFlops
     39 :      760.50 MFlops
     40 :      640.00 MFlops
     41 :      480.29 MFlops
     42 :      441.00 MFlops
     43 :      231.12 MFlops
     44 :      297.85 MFlops
     45 :      225.00 MFlops
     46 :      529.00 MFlops
     47 :      490.89 MFlops
     48 :      512.00 MFlops
     49 :      686.00 MFlops
     50 :      500.00 MFlops
     51 :      472.91 MFlops
     52 :      676.00 MFlops
     53 :      624.22 MFlops
     54 :      729.00 MFlops
     55 :      605.00 MFlops
     56 :      627.20 MFlops
     57 :      433.20 MFlops
     58 :      560.67 MFlops
     59 :      580.17 MFlops
     60 :      654.55 MFlops
     61 :      744.20 MFlops
     62 :      961.00 MFlops
     63 :      567.00 MFlops
     64 :      819.20 MFlops
     65 :      768.18 MFlops
     66 :      792.00 MFlops
     67 :      897.80 MFlops
     68 :      770.67 MFlops
     69 :      529.00 MFlops
     70 :     1960.00 MFlops
     71 :     2016.40 MFlops
     72 :     2592.00 MFlops
     73 :      888.17 MFlops
     74 :     1095.20 MFlops
     75 :      865.38 MFlops
     76 :     1155.20 MFlops
     77 :     1185.80 MFlops
     78 :     1106.18 MFlops
     79 :     1248.20 MFlops
     80 :     1163.64 MFlops
     81 :     1093.50 MFlops
     82 :     2241.33 MFlops
     83 :     1530.89 MFlops
     84 :     1008.00 MFlops
     85 :     1445.00 MFlops
     86 :     1479.20 MFlops
     87 :     1376.18 MFlops
     88 :     1408.00 MFlops
     89 :     1320.17 MFlops
     90 :     1350.00 MFlops
     91 :     1380.17 MFlops
     92 :     1302.15 MFlops
     93 :     1441.50 MFlops
     94 :     1606.55 MFlops
     95 :     1640.91 MFlops
     96 :     1228.80 MFlops
     97 :     1710.73 MFlops
     98 :     2401.00 MFlops
     99 :     1633.50 MFlops
    100 :     2222.22 MFlops
    101 :     1700.17 MFlops
    102 :     1734.00 MFlops
    103 :     2121.80 MFlops
    104 :     1545.14 MFlops
    105 :     1575.00 MFlops
    106 :     2247.20 MFlops
    107 :     1635.57 MFlops
    108 :     1944.00 MFlops
    109 :     1827.85 MFlops
    110 :     1861.54 MFlops
    111 :     2053.50 MFlops
    112 :     2090.67 MFlops
    113 :     1824.14 MFlops
    114 :     1999.38 MFlops
    115 :     1889.29 MFlops
    116 :     2446.55 MFlops
    117 :     2106.00 MFlops
    118 :     2320.67 MFlops
    119 :     2360.17 MFlops
    120 :     2618.18 MFlops
    121 :     1952.13 MFlops
    122 :     2126.29 MFlops
    123 :     2161.29 MFlops
    124 :     2050.13 MFlops
    125 :     3125.00 MFlops
    126 :     2268.00 MFlops
    127 :     2150.53 MFlops
    128 :     2520.62 MFlops
    129 :     2773.50 MFlops
    130 :     2112.50 MFlops
    131 :     2288.13 MFlops
    132 :     2680.62 MFlops
    133 :     2358.53 MFlops
    134 :     2394.13 MFlops
    135 :     3313.64 MFlops
    136 :     2466.13 MFlops
    137 :     2681.29 MFlops
    138 :     3462.55 MFlops
    139 :     2972.46 MFlops
    140 :     2613.33 MFlops
    141 :     2485.12 MFlops
    142 :     2688.53 MFlops
    143 :     2726.53 MFlops
    144 :     3456.00 MFlops
    145 :     3504.17 MFlops
    146 :     3279.38 MFlops
    147 :     3087.00 MFlops
    148 :     3369.85 MFlops
    149 :     3415.54 MFlops
    150 :     3214.29 MFlops
    151 :     3040.13 MFlops
    152 :     3300.57 MFlops
    153 :     3601.38 MFlops
    154 :     3388.00 MFlops
    155 :     2402.50 MFlops
    156 :     3476.57 MFlops
    157 :     3081.12 MFlops
    158 :     3566.29 MFlops
    159 :     3611.57 MFlops
    160 :     3413.33 MFlops
    161 :     3987.85 MFlops
    162 :     3087.53 MFlops
    163 :     4087.54 MFlops
    164 :     2988.44 MFlops
    165 :     3889.29 MFlops
    166 :     3936.57 MFlops
    167 :     2788.90 MFlops
    168 :     2822.40 MFlops
    169 :     4394.00 MFlops
    170 :     1605.56 MFlops
    171 :     3440.12 MFlops
    172 :     3480.47 MFlops
    173 :     3741.12 MFlops
    174 :     1834.91 MFlops
    175 :     4375.00 MFlops
    176 :     2478.08 MFlops
    177 :     1790.23 MFlops
    178 :     2755.13 MFlops
    179 :     2563.28 MFlops
    180 :     2492.31 MFlops
    181 :     3640.11 MFlops
    182 :     5520.67 MFlops
    183 :     4465.20 MFlops
    184 :     5642.67 MFlops
    185 :     3802.78 MFlops
    186 :     4070.12 MFlops
    187 :     2590.30 MFlops
    188 :     5437.54 MFlops
    189 :     4762.80 MFlops
    190 :     4011.11 MFlops
    191 :     5211.57 MFlops
    192 :     5266.29 MFlops
    193 :     4382.24 MFlops
    194 :     4427.76 MFlops
    195 :     5432.14 MFlops
    196 :     5910.15 MFlops
    197 :     5174.53 MFlops
    198 :     5227.20 MFlops
    199 :     5280.13 MFlops
    200 :     4000.00 MFlops
