From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops
      1 :        0.67 MFlops
      2 :        8.00 MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :       18.00 MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :      578.00 MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :      968.00 MFlops
     23 :     1058.00 MFlops
     24 :         inf MFlops
     25 :     1250.00 MFlops
     26 :         inf MFlops
     27 :         inf MFlops
     28 :         inf MFlops
     29 :         inf MFlops
     30 :     1800.00 MFlops
     31 :         inf MFlops
     32 :     2048.00 MFlops
     33 :         inf MFlops
     34 :         inf MFlops
     35 :     2450.00 MFlops
     36 :         inf MFlops
     37 :         inf MFlops
     38 :     2888.00 MFlops
     39 :         inf MFlops
     40 :     3200.00 MFlops
     41 :         inf MFlops
     42 :         inf MFlops
     43 :         inf MFlops
     44 :     3872.00 MFlops
     45 :     4050.00 MFlops
     46 :     4232.00 MFlops
     47 :         inf MFlops
     48 :     4608.00 MFlops
     49 :         inf MFlops
     50 :         inf MFlops
     51 :     5202.00 MFlops
     52 :     5408.00 MFlops
     53 :     5618.00 MFlops
     54 :     5832.00 MFlops
     55 :         inf MFlops
     56 :     6272.00 MFlops
     57 :     6498.00 MFlops
     58 :     6728.00 MFlops
     59 :         inf MFlops
     60 :     7200.00 MFlops
     61 :         inf MFlops
     62 :     7688.00 MFlops
     63 :     7938.00 MFlops
     64 :     8192.00 MFlops
     65 :     8450.00 MFlops
     66 :         inf MFlops
     67 :         inf MFlops
     68 :     9248.00 MFlops
     69 :     9522.00 MFlops
     70 :     9800.00 MFlops
     71 :    10082.00 MFlops
     72 :    10368.00 MFlops
     73 :         inf MFlops
     74 :    10952.00 MFlops
     75 :    11250.00 MFlops
     76 :    11552.00 MFlops
     77 :    11858.00 MFlops
     78 :         inf MFlops
     79 :    12482.00 MFlops
     80 :         inf MFlops
     81 :    13122.00 MFlops
     82 :    13448.00 MFlops
     83 :    13778.00 MFlops
     84 :    14112.00 MFlops
     85 :    14450.00 MFlops
     86 :    14792.00 MFlops
     87 :    15138.00 MFlops
     88 :    15488.00 MFlops
     89 :    15842.00 MFlops
     90 :    16200.00 MFlops
     91 :    16562.00 MFlops
     92 :    16928.00 MFlops
     93 :    17298.00 MFlops
     94 :    17672.00 MFlops
     95 :    18050.00 MFlops
     96 :    18432.00 MFlops
     97 :    18818.00 MFlops
     98 :    19208.00 MFlops
     99 :    19602.00 MFlops
    100 :    20000.00 MFlops
    101 :    20402.00 MFlops
    102 :    20808.00 MFlops
    103 :    21218.00 MFlops
    104 :    21632.00 MFlops
    105 :    22050.00 MFlops
    106 :    22472.00 MFlops
    107 :    11449.00 MFlops
    108 :    23328.00 MFlops
    109 :    23762.00 MFlops
    110 :    24200.00 MFlops
    111 :    24642.00 MFlops
    112 :    25088.00 MFlops
    113 :    12769.00 MFlops
    114 :    25992.00 MFlops
    115 :    26450.00 MFlops
    116 :    26912.00 MFlops
    117 :    13689.00 MFlops
    118 :    27848.00 MFlops
    119 :    28322.00 MFlops
    120 :    28800.00 MFlops
    121 :    14641.00 MFlops
    122 :    14884.00 MFlops
    123 :    30258.00 MFlops
    124 :    15376.00 MFlops
    125 :    31250.00 MFlops
    126 :    31752.00 MFlops
    127 :    16129.00 MFlops
    128 :    16384.00 MFlops
    129 :    33282.00 MFlops
    130 :    33800.00 MFlops
    131 :    17161.00 MFlops
    132 :    17424.00 MFlops
    133 :    17689.00 MFlops
    134 :    35912.00 MFlops
    135 :    18225.00 MFlops
    136 :    36992.00 MFlops
    137 :    37538.00 MFlops
    138 :    19044.00 MFlops
    139 :    19321.00 MFlops
    140 :    39200.00 MFlops
    141 :    19881.00 MFlops
    142 :    20164.00 MFlops
    143 :    20449.00 MFlops
    144 :    41472.00 MFlops
    145 :    21025.00 MFlops
    146 :    21316.00 MFlops
    147 :    21609.00 MFlops
    148 :    21904.00 MFlops
    149 :    22201.00 MFlops
    150 :    22500.00 MFlops
    151 :    22801.00 MFlops
    152 :    23104.00 MFlops
    153 :    23409.00 MFlops
    154 :    23716.00 MFlops
    155 :    24025.00 MFlops
    156 :    24336.00 MFlops
    157 :    24649.00 MFlops
    158 :    24964.00 MFlops
    159 :    25281.00 MFlops
    160 :    25600.00 MFlops
    161 :    25921.00 MFlops
    162 :    17496.00 MFlops
    163 :    26569.00 MFlops
    164 :    17930.67 MFlops
    165 :    27225.00 MFlops
    166 :    27556.00 MFlops
    167 :    27889.00 MFlops
    168 :    28224.00 MFlops
    169 :    28561.00 MFlops
    170 :    28900.00 MFlops
    171 :    29241.00 MFlops
    172 :    29584.00 MFlops
    173 :    19952.67 MFlops
    174 :    30276.00 MFlops
    175 :    30625.00 MFlops
    176 :    30976.00 MFlops
    177 :    31329.00 MFlops
    178 :    21122.67 MFlops
    179 :    32041.00 MFlops
    180 :    32400.00 MFlops
    181 :    32761.00 MFlops
    182 :    22082.67 MFlops
    183 :    22326.00 MFlops
    184 :    33856.00 MFlops
    185 :    22816.67 MFlops
    186 :    23064.00 MFlops
    187 :    34969.00 MFlops
    188 :    23562.67 MFlops
    189 :    35721.00 MFlops
    190 :    36100.00 MFlops
    191 :    24320.67 MFlops
    192 :    24576.00 MFlops
    193 :    24832.67 MFlops
    194 :    25090.67 MFlops
    195 :    25350.00 MFlops
    196 :    25610.67 MFlops
    197 :    25872.67 MFlops
    198 :    26136.00 MFlops
    199 :    26400.67 MFlops
    200 :    26666.67 MFlops
