From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.08 MFlops
      2 :         inf MFlops
      3 :       27.00 MFlops
      4 :       64.00 MFlops
      5 :         inf MFlops
      6 :      216.00 MFlops
      7 :      343.00 MFlops
      8 :      512.00 MFlops
      9 :         inf MFlops
     10 :     1000.00 MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :     2197.00 MFlops
     14 :     2744.00 MFlops
     15 :     3375.00 MFlops
     16 :     4096.00 MFlops
     17 :     4913.00 MFlops
     18 :     5832.00 MFlops
     19 :     6859.00 MFlops
     20 :     4000.00 MFlops
     21 :     4630.50 MFlops
     22 :    10648.00 MFlops
     23 :     6083.50 MFlops
     24 :    13824.00 MFlops
     25 :     7812.50 MFlops
     26 :     8788.00 MFlops
     27 :     9841.50 MFlops
     28 :    10976.00 MFlops
     29 :    12194.50 MFlops
     30 :     9000.00 MFlops
     31 :    14895.50 MFlops
     32 :     1057.03 MFlops
     33 :     1633.50 MFlops
     34 :     1871.62 MFlops
     35 :     1948.86 MFlops
     36 :     1728.00 MFlops
     37 :     1125.62 MFlops
     38 :     2032.30 MFlops
     39 :     2118.54 MFlops
     40 :     1882.35 MFlops
     41 :     2552.63 MFlops
     42 :     3087.00 MFlops
     43 :     3975.35 MFlops
     44 :     2937.38 MFlops
     45 :     2462.84 MFlops
     46 :     3356.41 MFlops
     47 :     2966.37 MFlops
     48 :     4096.00 MFlops
     49 :     4056.86 MFlops
     50 :     3906.25 MFlops
     51 :     5306.04 MFlops
     52 :     4848.55 MFlops
     53 :     4378.74 MFlops
     54 :     3749.14 MFlops
     55 :     6162.04 MFlops
     56 :     6055.72 MFlops
     57 :     6385.97 MFlops
     58 :     6968.29 MFlops
     59 :     8929.52 MFlops
     60 :     9000.00 MFlops
     61 :    10808.62 MFlops
     62 :     8218.21 MFlops
     63 :     9617.19 MFlops
     64 :     5577.53 MFlops
     65 :     8321.97 MFlops
     66 :     9274.06 MFlops
     67 :     7335.68 MFlops
     68 :     8734.22 MFlops
     69 :     8878.62 MFlops
     70 :     7976.74 MFlops
     71 :    11545.52 MFlops
