From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.06 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :       64.00 MFlops
      5 :      125.00 MFlops
      6 :      216.00 MFlops
      7 :      343.00 MFlops
      8 :         inf MFlops
      9 :      729.00 MFlops
     10 :     1000.00 MFlops
     11 :         inf MFlops
     12 :     1728.00 MFlops
     13 :     2197.00 MFlops
     14 :     2744.00 MFlops
     15 :     3375.00 MFlops
     16 :     2048.00 MFlops
     17 :         inf MFlops
     18 :     5832.00 MFlops
     19 :     6859.00 MFlops
     20 :     8000.00 MFlops
     21 :     9261.00 MFlops
     22 :    10648.00 MFlops
     23 :    12167.00 MFlops
     24 :    13824.00 MFlops
     25 :     7812.50 MFlops
     26 :    17576.00 MFlops
     27 :    19683.00 MFlops
     28 :    10976.00 MFlops
     29 :    12194.50 MFlops
     30 :    13500.00 MFlops
     31 :     9930.33 MFlops
     32 :      404.54 MFlops
     33 :    11979.00 MFlops
     34 :    13101.33 MFlops
     35 :    21437.50 MFlops
     36 :    15552.00 MFlops
     37 :    12663.25 MFlops
     38 :    13718.00 MFlops
     39 :    14829.75 MFlops
     40 :    16000.00 MFlops
     41 :    17230.25 MFlops
     42 :    18522.00 MFlops
     43 :    19876.75 MFlops
     44 :    21296.00 MFlops
     45 :    18225.00 MFlops
     46 :    19467.20 MFlops
     47 :    17303.83 MFlops
     48 :    22118.40 MFlops
     49 :    19608.17 MFlops
     50 :    20833.33 MFlops
     51 :    22108.50 MFlops
     52 :    23434.67 MFlops
     53 :    24812.83 MFlops
     54 :    22494.86 MFlops
     55 :    20796.87 MFlops
     56 :    25088.00 MFlops
     57 :    23149.12 MFlops
     58 :    24389.00 MFlops
     59 :    22819.89 MFlops
     60 :    27000.00 MFlops
     61 :    22698.10 MFlops
     62 :    23832.80 MFlops
     63 :    25004.70 MFlops
     64 :    29127.11 MFlops
     65 :    10171.30 MFlops
     66 :    23958.00 MFlops
     67 :    21483.07 MFlops
     68 :    24187.08 MFlops
     69 :    23464.93 MFlops
     70 :    24500.00 MFlops
     71 :    25565.07 MFlops
     72 :    23328.00 MFlops
     73 :    22883.35 MFlops
     74 :    28944.57 MFlops
     75 :    23437.50 MFlops
     76 :    25822.12 MFlops
     77 :    24028.05 MFlops
     78 :    27914.82 MFlops
     79 :    27391.06 MFlops
     80 :    34133.33 MFlops
     81 :    35429.40 MFlops
     82 :    36757.87 MFlops
     83 :    24860.30 MFlops
     84 :    29635.20 MFlops
     85 :    26701.09 MFlops
     86 :    13827.30 MFlops
     87 :    25327.04 MFlops
     88 :    18418.16 MFlops
     89 :    29373.71 MFlops
     90 :    17780.49 MFlops
     91 :    25985.21 MFlops
     92 :    31147.52 MFlops
     93 :    17874.60 MFlops
     94 :    30762.37 MFlops
     95 :    34295.00 MFlops
     96 :    30508.14 MFlops
     97 :    31471.48 MFlops
     98 :    32454.90 MFlops
     99 :    31299.97 MFlops
    100 :    34482.76 MFlops
    101 :    34343.37 MFlops
    102 :    34232.52 MFlops
    103 :    34147.72 MFlops
    104 :    37495.47 MFlops
    105 :    36175.78 MFlops
    106 :    36091.39 MFlops
    107 :    37122.52 MFlops
