From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :        0.17 MFlops  0.000006000 sec
      2 :         inf MFlops  0.000000000 sec
      3 :         inf MFlops  0.000000000 sec
      4 :         inf MFlops  0.000000000 sec
      5 :         inf MFlops  0.000000000 sec
      6 :       36.00 MFlops  0.000001000 sec
      7 :         inf MFlops  0.000000000 sec
      8 :         inf MFlops  0.000000000 sec
      9 :         inf MFlops  0.000000000 sec
     10 :         inf MFlops  0.000000000 sec
     11 :         inf MFlops  0.000000000 sec
     12 :         inf MFlops  0.000000000 sec
     13 :      169.00 MFlops  0.000001000 sec
     14 :         inf MFlops  0.000000000 sec
     15 :         inf MFlops  0.000000000 sec
     16 :         inf MFlops  0.000000000 sec
     17 :       72.25 MFlops  0.000004000 sec
     18 :      108.00 MFlops  0.000003000 sec
     19 :       90.25 MFlops  0.000004000 sec
     20 :      200.00 MFlops  0.000002000 sec
     21 :      110.25 MFlops  0.000004000 sec
     22 :       69.14 MFlops  0.000007000 sec
     23 :       52.90 MFlops  0.000010000 sec
     24 :       52.36 MFlops  0.000011000 sec
     25 :       78.12 MFlops  0.000008000 sec
     26 :       84.50 MFlops  0.000008000 sec
     27 :       91.12 MFlops  0.000008000 sec
     28 :       71.27 MFlops  0.000011000 sec
     29 :      140.17 MFlops  0.000006000 sec
     30 :      128.57 MFlops  0.000007000 sec
     31 :       96.10 MFlops  0.000010000 sec
     32 :      128.00 MFlops  0.000008000 sec
     33 :      136.12 MFlops  0.000008000 sec
     34 :      231.20 MFlops  0.000005000 sec
     35 :      136.11 MFlops  0.000009000 sec
     36 :      259.20 MFlops  0.000005000 sec
     37 :      273.80 MFlops  0.000005000 sec
     38 :      240.67 MFlops  0.000006000 sec
     39 :      380.25 MFlops  0.000004000 sec
     40 :      177.78 MFlops  0.000009000 sec
     41 :      240.14 MFlops  0.000007000 sec
     42 :      196.00 MFlops  0.000009000 sec
     43 :      184.90 MFlops  0.000010000 sec
     44 :      176.00 MFlops  0.000011000 sec
     45 :      225.00 MFlops  0.000009000 sec
     46 :      176.33 MFlops  0.000012000 sec
     47 :      276.12 MFlops  0.000008000 sec
     48 :      256.00 MFlops  0.000009000 sec
     49 :      400.17 MFlops  0.000006000 sec
     50 :      277.78 MFlops  0.000009000 sec
     51 :      289.00 MFlops  0.000009000 sec
     52 :      338.00 MFlops  0.000008000 sec
     53 :      280.90 MFlops  0.000010000 sec
     54 :      265.09 MFlops  0.000011000 sec
     55 :      378.12 MFlops  0.000008000 sec
     56 :      784.00 MFlops  0.000004000 sec
     57 :      324.90 MFlops  0.000010000 sec
     58 :      420.50 MFlops  0.000008000 sec
     59 :      386.78 MFlops  0.000009000 sec
     60 :      360.00 MFlops  0.000010000 sec
     61 :      413.44 MFlops  0.000009000 sec
     62 :      640.67 MFlops  0.000006000 sec
     63 :      396.90 MFlops  0.000010000 sec
     64 :      409.60 MFlops  0.000010000 sec
     65 :      422.50 MFlops  0.000010000 sec
     66 :      396.00 MFlops  0.000011000 sec
     67 :      748.17 MFlops  0.000006000 sec
     68 :      462.40 MFlops  0.000010000 sec
     69 :      432.82 MFlops  0.000011000 sec
     70 :      490.00 MFlops  0.000010000 sec
     71 :      560.11 MFlops  0.000009000 sec
     72 :      518.40 MFlops  0.000010000 sec
     73 :      532.90 MFlops  0.000010000 sec
     74 :      456.33 MFlops  0.000012000 sec
     75 :      625.00 MFlops  0.000009000 sec
     76 :      641.78 MFlops  0.000009000 sec
     77 :      592.90 MFlops  0.000010000 sec
     78 :      507.00 MFlops  0.000012000 sec
     79 :      693.44 MFlops  0.000009000 sec
     80 :      800.00 MFlops  0.000008000 sec
     81 :      656.10 MFlops  0.000010000 sec
     82 :      747.11 MFlops  0.000009000 sec
     83 :      626.27 MFlops  0.000011000 sec
     84 :      882.00 MFlops  0.000008000 sec
     85 :      802.78 MFlops  0.000009000 sec
     86 :      739.60 MFlops  0.000010000 sec
     87 :      756.90 MFlops  0.000010000 sec
     88 :      860.44 MFlops  0.000009000 sec
     89 :      880.11 MFlops  0.000009000 sec
     90 :      900.00 MFlops  0.000009000 sec
     91 :      828.10 MFlops  0.000010000 sec
     92 :      651.08 MFlops  0.000013000 sec
     93 :      961.00 MFlops  0.000009000 sec
     94 :      981.78 MFlops  0.000009000 sec
     95 :     1002.78 MFlops  0.000009000 sec
     96 :      837.82 MFlops  0.000011000 sec
     97 :      940.90 MFlops  0.000010000 sec
     98 :      873.09 MFlops  0.000011000 sec
     99 :     1089.00 MFlops  0.000009000 sec
    100 :     1111.11 MFlops  0.000009000 sec
    101 :     1133.44 MFlops  0.000009000 sec
    102 :     1040.40 MFlops  0.000010000 sec
    103 :     1326.12 MFlops  0.000008000 sec
    104 :     1201.78 MFlops  0.000009000 sec
    105 :     1102.50 MFlops  0.000010000 sec
    106 :     1248.44 MFlops  0.000009000 sec
    107 :     1431.12 MFlops  0.000008000 sec
    108 :     1296.00 MFlops  0.000009000 sec
    109 :     1320.11 MFlops  0.000009000 sec
    110 :     1210.00 MFlops  0.000010000 sec
    111 :     1540.12 MFlops  0.000008000 sec
    112 :     1254.40 MFlops  0.000010000 sec
    113 :     1160.82 MFlops  0.000011000 sec
    114 :     1181.45 MFlops  0.000011000 sec
    115 :     1202.27 MFlops  0.000011000 sec
    116 :     1345.60 MFlops  0.000010000 sec
    117 :     1368.90 MFlops  0.000010000 sec
    118 :     1547.11 MFlops  0.000009000 sec
    119 :     1573.44 MFlops  0.000009000 sec
    120 :     1309.09 MFlops  0.000011000 sec
    121 :     1331.00 MFlops  0.000011000 sec
    122 :     1240.33 MFlops  0.000012000 sec
    123 :     1375.36 MFlops  0.000011000 sec
    124 :     1281.33 MFlops  0.000012000 sec
    125 :     1420.45 MFlops  0.000011000 sec
    126 :     1134.00 MFlops  0.000014000 sec
    127 :     1612.90 MFlops  0.000010000 sec
    128 :     1638.40 MFlops  0.000010000 sec
    129 :     1280.08 MFlops  0.000013000 sec
    130 :     1408.33 MFlops  0.000012000 sec
    131 :     1560.09 MFlops  0.000011000 sec
    132 :     1742.40 MFlops  0.000010000 sec
    133 :     1474.08 MFlops  0.000012000 sec
    134 :     1496.33 MFlops  0.000012000 sec
    135 :     1518.75 MFlops  0.000012000 sec
    136 :     1541.33 MFlops  0.000012000 sec
    137 :     1443.77 MFlops  0.000013000 sec
    138 :     1731.27 MFlops  0.000011000 sec
    139 :     1610.08 MFlops  0.000012000 sec
    140 :     1960.00 MFlops  0.000010000 sec
    141 :     1529.31 MFlops  0.000013000 sec
    142 :     1833.09 MFlops  0.000011000 sec
    143 :      929.50 MFlops  0.000022000 sec
    144 :     1885.09 MFlops  0.000011000 sec
    145 :     1752.08 MFlops  0.000012000 sec
    146 :     1937.82 MFlops  0.000011000 sec
    147 :     1964.45 MFlops  0.000011000 sec
    148 :     1991.27 MFlops  0.000011000 sec
    149 :     2220.10 MFlops  0.000010000 sec
    150 :     2250.00 MFlops  0.000010000 sec
    151 :     2072.82 MFlops  0.000011000 sec
    152 :     2310.40 MFlops  0.000010000 sec
    153 :     2128.09 MFlops  0.000011000 sec
    154 :     2156.00 MFlops  0.000011000 sec
    155 :     2002.08 MFlops  0.000012000 sec
    156 :     2028.00 MFlops  0.000012000 sec
    157 :     2240.82 MFlops  0.000011000 sec
    158 :     1920.31 MFlops  0.000013000 sec
    159 :     2106.75 MFlops  0.000012000 sec
    160 :     2327.27 MFlops  0.000011000 sec
    161 :     2356.45 MFlops  0.000011000 sec
    162 :     2187.00 MFlops  0.000012000 sec
    163 :     2415.36 MFlops  0.000011000 sec
    164 :     2068.92 MFlops  0.000013000 sec
    165 :     2722.50 MFlops  0.000010000 sec
    166 :     1837.07 MFlops  0.000015000 sec
    167 :     1859.27 MFlops  0.000015000 sec
    168 :     1660.24 MFlops  0.000017000 sec
    169 :     2380.08 MFlops  0.000012000 sec
    170 :     2627.27 MFlops  0.000011000 sec
    171 :     2924.10 MFlops  0.000010000 sec
    172 :     2958.40 MFlops  0.000010000 sec
    173 :     2992.90 MFlops  0.000010000 sec
    174 :     2523.00 MFlops  0.000012000 sec
    175 :     2784.09 MFlops  0.000011000 sec
    176 :     3097.60 MFlops  0.000010000 sec
    177 :     3481.00 MFlops  0.000009000 sec
    178 :     2263.14 MFlops  0.000014000 sec
    179 :     2912.82 MFlops  0.000011000 sec
    180 :     2700.00 MFlops  0.000012000 sec
