From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        0.07 MFlops    0.000015 sec
      2 :         inf MFlops    0.000000 sec
      3 :         inf MFlops    0.000000 sec
      4 :         inf MFlops    0.000000 sec
      5 :      125.00 MFlops    0.000001 sec
      6 :         inf MFlops    0.000000 sec
      7 :         inf MFlops    0.000000 sec
      8 :         inf MFlops    0.000000 sec
      9 :      729.00 MFlops    0.000001 sec
     10 :         inf MFlops    0.000000 sec
     11 :         inf MFlops    0.000000 sec
     12 :     1728.00 MFlops    0.000001 sec
     13 :         inf MFlops    0.000000 sec
     14 :         inf MFlops    0.000000 sec
     15 :     3375.00 MFlops    0.000001 sec
     16 :         inf MFlops    0.000000 sec
     17 :     4913.00 MFlops    0.000001 sec
     18 :         inf MFlops    0.000000 sec
     19 :     6859.00 MFlops    0.000001 sec
     20 :         inf MFlops    0.000000 sec
     21 :     9261.00 MFlops    0.000001 sec
     22 :    10648.00 MFlops    0.000001 sec
     23 :    12167.00 MFlops    0.000001 sec
     24 :    13824.00 MFlops    0.000001 sec
     25 :    15625.00 MFlops    0.000001 sec
     26 :    17576.00 MFlops    0.000001 sec
     27 :    19683.00 MFlops    0.000001 sec
     28 :    21952.00 MFlops    0.000001 sec
     29 :    24389.00 MFlops    0.000001 sec
     30 :    27000.00 MFlops    0.000001 sec
     31 :    14895.50 MFlops    0.000002 sec
     32 :    16384.00 MFlops    0.000002 sec
     33 :    17968.50 MFlops    0.000002 sec
     34 :    19652.00 MFlops    0.000002 sec
     35 :    14291.67 MFlops    0.000003 sec
     36 :    23328.00 MFlops    0.000002 sec
     37 :    16884.33 MFlops    0.000003 sec
     38 :    18290.67 MFlops    0.000003 sec
     39 :    19773.00 MFlops    0.000003 sec
     40 :    21333.33 MFlops    0.000003 sec
     41 :    22973.67 MFlops    0.000003 sec
     42 :    24696.00 MFlops    0.000003 sec
     43 :    19876.75 MFlops    0.000004 sec
     44 :    21296.00 MFlops    0.000004 sec
     45 :    18225.00 MFlops    0.000005 sec
     46 :    24334.00 MFlops    0.000004 sec
     47 :    20764.60 MFlops    0.000005 sec
     48 :    22118.40 MFlops    0.000005 sec
     49 :    19608.17 MFlops    0.000006 sec
     50 :    20833.33 MFlops    0.000006 sec
     51 :    22108.50 MFlops    0.000006 sec
     52 :    20086.86 MFlops    0.000007 sec
     53 :    18609.62 MFlops    0.000008 sec
     54 :    22494.86 MFlops    0.000007 sec
     55 :    20796.87 MFlops    0.000008 sec
     56 :    21952.00 MFlops    0.000008 sec
     57 :    20577.00 MFlops    0.000009 sec
     58 :    24389.00 MFlops    0.000008 sec
     59 :    22819.89 MFlops    0.000009 sec
     60 :    24000.00 MFlops    0.000009 sec
     61 :    20634.64 MFlops    0.000011 sec
     62 :    21666.18 MFlops    0.000011 sec
     63 :    22731.55 MFlops    0.000011 sec
     64 :    21845.33 MFlops    0.000012 sec
     65 :     2307.77 MFlops    0.000119 sec
     66 :    15131.37 MFlops    0.000019 sec
     67 :    15038.15 MFlops    0.000020 sec
     68 :    20962.13 MFlops    0.000015 sec
     69 :    17289.95 MFlops    0.000019 sec
     70 :    22866.67 MFlops    0.000015 sec
     71 :    19883.94 MFlops    0.000018 sec
     72 :    23328.00 MFlops    0.000016 sec
     73 :    24313.56 MFlops    0.000016 sec
     74 :    25326.50 MFlops    0.000016 sec
     75 :    26367.19 MFlops    0.000016 sec
     76 :    29265.07 MFlops    0.000015 sec
     77 :    24028.05 MFlops    0.000019 sec
     78 :    29659.50 MFlops    0.000016 sec
     79 :    25949.42 MFlops    0.000019 sec
     80 :    22260.87 MFlops    0.000023 sec
     81 :    23106.13 MFlops    0.000023 sec
     82 :    22973.67 MFlops    0.000024 sec
     83 :    28589.35 MFlops    0.000020 sec
     84 :    31194.95 MFlops    0.000019 sec
     85 :    30706.25 MFlops    0.000020 sec
     86 :    33476.63 MFlops    0.000019 sec
     87 :    27437.62 MFlops    0.000024 sec
     88 :    32451.05 MFlops    0.000021 sec
     89 :    28198.76 MFlops    0.000025 sec
     90 :    33136.36 MFlops    0.000022 sec
     91 :    30142.84 MFlops    0.000025 sec
     92 :    31147.52 MFlops    0.000025 sec
     93 :    34972.04 MFlops    0.000023 sec
     94 :    33223.36 MFlops    0.000025 sec
     95 :    32975.96 MFlops    0.000026 sec
     96 :    38466.78 MFlops    0.000023 sec
     97 :    32595.46 MFlops    0.000028 sec
     98 :    29412.25 MFlops    0.000032 sec
     99 :    35937.00 MFlops    0.000027 sec
    100 :    23809.52 MFlops    0.000042 sec
    101 :    34343.37 MFlops    0.000030 sec
    102 :    28681.30 MFlops    0.000037 sec
    103 :    39025.96 MFlops    0.000028 sec
    104 :    41661.63 MFlops    0.000027 sec
    105 :    37342.74 MFlops    0.000031 sec
    106 :    41069.52 MFlops    0.000029 sec
    107 :    38282.59 MFlops    0.000032 sec
    108 :    43438.34 MFlops    0.000029 sec
    109 :    39243.30 MFlops    0.000033 sec
    110 :    44366.67 MFlops    0.000030 sec
    111 :    39075.17 MFlops    0.000035 sec
    112 :    45320.26 MFlops    0.000031 sec
    113 :    38997.22 MFlops    0.000037 sec
    114 :    42329.83 MFlops    0.000035 sec
    115 :    40023.03 MFlops    0.000038 sec
    116 :    44597.03 MFlops    0.000035 sec
    117 :    41067.00 MFlops    0.000039 sec
    118 :    43237.68 MFlops    0.000038 sec
    119 :    42128.97 MFlops    0.000040 sec
    120 :    44307.69 MFlops    0.000039 sec
    121 :    40262.75 MFlops    0.000044 sec
    122 :    42229.02 MFlops    0.000043 sec
    123 :    36487.59 MFlops    0.000051 sec
    124 :    39721.33 MFlops    0.000048 sec
    125 :    38296.57 MFlops    0.000051 sec
    126 :    40007.52 MFlops    0.000050 sec
    127 :    38648.74 MFlops    0.000053 sec
    128 :    39568.91 MFlops    0.000053 sec
    129 :    25863.72 MFlops    0.000083 sec
    130 :    26469.88 MFlops    0.000083 sec
    131 :    35126.42 MFlops    0.000064 sec
    132 :    35937.00 MFlops    0.000064 sec
    133 :    34597.60 MFlops    0.000068 sec
    134 :    42212.35 MFlops    0.000057 sec
    135 :    35657.61 MFlops    0.000069 sec
    136 :    31841.22 MFlops    0.000079 sec
    137 :    37265.99 MFlops    0.000069 sec
    138 :    43083.15 MFlops    0.000061 sec
    139 :    38365.99 MFlops    0.000070 sec
    140 :    42215.38 MFlops    0.000065 sec
    141 :    36405.47 MFlops    0.000077 sec
    142 :    43383.15 MFlops    0.000066 sec
    143 :    42379.81 MFlops    0.000069 sec
    144 :    39813.12 MFlops    0.000075 sec
    145 :    35449.13 MFlops    0.000086 sec
    146 :    40417.35 MFlops    0.000077 sec
    147 :    41796.36 MFlops    0.000076 sec
    148 :    40522.40 MFlops    0.000080 sec
    149 :    38917.05 MFlops    0.000085 sec
    150 :    41666.67 MFlops    0.000081 sec
    151 :    45301.99 MFlops    0.000076 sec
    152 :    45023.18 MFlops    0.000078 sec
    153 :    41646.24 MFlops    0.000086 sec
    154 :    48056.11 MFlops    0.000076 sec
    155 :    44865.96 MFlops    0.000083 sec
    156 :    49304.10 MFlops    0.000077 sec
    157 :    46625.22 MFlops    0.000083 sec
    158 :    49928.00 MFlops    0.000079 sec
    159 :    42312.41 MFlops    0.000095 sec
    160 :    49349.40 MFlops    0.000083 sec
    161 :    31857.11 MFlops    0.000131 sec
    162 :    49436.37 MFlops    0.000086 sec
    163 :    47073.34 MFlops    0.000092 sec
    164 :    46430.99 MFlops    0.000095 sec
    165 :    39404.61 MFlops    0.000114 sec
    166 :    40480.50 MFlops    0.000113 sec
    167 :    47525.13 MFlops    0.000098 sec
    168 :    52105.85 MFlops    0.000091 sec
    169 :    47790.19 MFlops    0.000101 sec
    170 :    48643.56 MFlops    0.000101 sec
    171 :    50002.11 MFlops    0.000100 sec
    172 :    53562.61 MFlops    0.000095 sec
    173 :    53934.55 MFlops    0.000096 sec
    174 :    56042.81 MFlops    0.000094 sec
    175 :    51532.45 MFlops    0.000104 sec
    176 :    51921.68 MFlops    0.000105 sec
    177 :    51824.61 MFlops    0.000107 sec
    178 :    43719.01 MFlops    0.000129 sec
    179 :    55682.90 MFlops    0.000103 sec
    180 :    51610.62 MFlops    0.000113 sec
    181 :    49829.76 MFlops    0.000119 sec
    182 :    52422.33 MFlops    0.000115 sec
    183 :    55713.52 MFlops    0.000110 sec
    184 :    55128.35 MFlops    0.000113 sec
    185 :    50653.00 MFlops    0.000125 sec
    186 :    53623.80 MFlops    0.000120 sec
    187 :    56862.63 MFlops    0.000115 sec
    188 :    54021.72 MFlops    0.000123 sec
    189 :    50009.40 MFlops    0.000135 sec
    190 :    50065.69 MFlops    0.000137 sec
    191 :    57585.71 MFlops    0.000121 sec
    192 :    58982.40 MFlops    0.000120 sec
    193 :    52474.87 MFlops    0.000137 sec
    194 :    51782.87 MFlops    0.000141 sec
