From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :        0.14 MFlops  0.000007000 sec
      2 :        4.00 MFlops  0.000001000 sec
      3 :         inf MFlops  0.000000000 sec
      4 :       16.00 MFlops  0.000001000 sec
      5 :         inf MFlops  0.000000000 sec
      6 :         inf MFlops  0.000000000 sec
      7 :         inf MFlops  0.000000000 sec
      8 :         inf MFlops  0.000000000 sec
      9 :         inf MFlops  0.000000000 sec
     10 :         inf MFlops  0.000000000 sec
     11 :         inf MFlops  0.000000000 sec
     12 :         inf MFlops  0.000000000 sec
     13 :         inf MFlops  0.000000000 sec
     14 :         inf MFlops  0.000000000 sec
     15 :         inf MFlops  0.000000000 sec
     16 :         inf MFlops  0.000000000 sec
     17 :       96.33 MFlops  0.000003000 sec
     18 :      162.00 MFlops  0.000002000 sec
     19 :      120.33 MFlops  0.000003000 sec
     20 :      133.33 MFlops  0.000003000 sec
     21 :      110.25 MFlops  0.000004000 sec
     22 :      161.33 MFlops  0.000003000 sec
     23 :      176.33 MFlops  0.000003000 sec
     24 :      576.00 MFlops  0.000001000 sec
     25 :       56.82 MFlops  0.000011000 sec
     26 :      169.00 MFlops  0.000004000 sec
     27 :       66.27 MFlops  0.000011000 sec
     28 :      112.00 MFlops  0.000007000 sec
     29 :       93.44 MFlops  0.000009000 sec
     30 :      225.00 MFlops  0.000004000 sec
     31 :      320.33 MFlops  0.000003000 sec
     32 :      102.40 MFlops  0.000010000 sec
     33 :      217.80 MFlops  0.000005000 sec
     34 :      128.44 MFlops  0.000009000 sec
     35 :      102.08 MFlops  0.000012000 sec
     36 :       54.00 MFlops  0.000024000 sec
     37 :      152.11 MFlops  0.000009000 sec
     38 :       76.00 MFlops  0.000019000 sec
     39 :      507.00 MFlops  0.000003000 sec
     40 :      228.57 MFlops  0.000007000 sec
     41 :      840.50 MFlops  0.000002000 sec
     42 :      588.00 MFlops  0.000003000 sec
     43 :      616.33 MFlops  0.000003000 sec
     44 :      484.00 MFlops  0.000004000 sec
     45 :      184.09 MFlops  0.000011000 sec
     46 :      211.60 MFlops  0.000010000 sec
     47 :      245.44 MFlops  0.000009000 sec
     48 :      256.00 MFlops  0.000009000 sec
     49 :      300.12 MFlops  0.000008000 sec
     50 :      312.50 MFlops  0.000008000 sec
     51 :      236.45 MFlops  0.000011000 sec
     52 :       87.23 MFlops  0.000031000 sec
     53 :      351.12 MFlops  0.000008000 sec
     54 :      324.00 MFlops  0.000009000 sec
     55 :      336.11 MFlops  0.000009000 sec
     56 :      392.00 MFlops  0.000008000 sec
     57 :      216.60 MFlops  0.000015000 sec
     58 :      373.78 MFlops  0.000009000 sec
     59 :      348.10 MFlops  0.000010000 sec
     60 :      360.00 MFlops  0.000010000 sec
     61 :      310.08 MFlops  0.000012000 sec
     62 :      427.11 MFlops  0.000009000 sec
     63 :      330.75 MFlops  0.000012000 sec
     64 :      292.57 MFlops  0.000014000 sec
     65 :      422.50 MFlops  0.000010000 sec
     66 :      544.50 MFlops  0.000008000 sec
     67 :      561.12 MFlops  0.000008000 sec
     68 :      462.40 MFlops  0.000010000 sec
     69 :      529.00 MFlops  0.000009000 sec
     70 :      490.00 MFlops  0.000010000 sec
     71 :      504.10 MFlops  0.000010000 sec
     72 :      471.27 MFlops  0.000011000 sec
     73 :      666.12 MFlops  0.000008000 sec
     74 :      456.33 MFlops  0.000012000 sec
     75 :     1125.00 MFlops  0.000005000 sec
     76 :      525.09 MFlops  0.000011000 sec
     77 :      592.90 MFlops  0.000010000 sec
     78 :      608.40 MFlops  0.000010000 sec
     79 :      693.44 MFlops  0.000009000 sec
     80 :      581.82 MFlops  0.000011000 sec
     81 :      596.45 MFlops  0.000011000 sec
     82 :      747.11 MFlops  0.000009000 sec
     83 :      626.27 MFlops  0.000011000 sec
     84 :      784.00 MFlops  0.000009000 sec
     85 :      656.82 MFlops  0.000011000 sec
     86 :      739.60 MFlops  0.000010000 sec
     87 :      688.09 MFlops  0.000011000 sec
     88 :      774.40 MFlops  0.000010000 sec
     89 :      720.09 MFlops  0.000011000 sec
     90 :      736.36 MFlops  0.000011000 sec
     91 :      637.00 MFlops  0.000013000 sec
     92 :     1058.00 MFlops  0.000008000 sec
     93 :      720.75 MFlops  0.000012000 sec
     94 :      883.60 MFlops  0.000010000 sec
     95 :      530.88 MFlops  0.000017000 sec
     96 :      921.60 MFlops  0.000010000 sec
     97 :      855.36 MFlops  0.000011000 sec
     98 :      960.40 MFlops  0.000010000 sec
     99 :      891.00 MFlops  0.000011000 sec
    100 :      833.33 MFlops  0.000012000 sec
    101 :      566.72 MFlops  0.000018000 sec
    102 :      578.00 MFlops  0.000018000 sec
    103 :     1060.90 MFlops  0.000010000 sec
    104 :      540.80 MFlops  0.000020000 sec
    105 :      787.50 MFlops  0.000014000 sec
    106 :      749.07 MFlops  0.000015000 sec
    107 :      545.19 MFlops  0.000021000 sec
    108 :     1166.40 MFlops  0.000010000 sec
    109 :     1188.10 MFlops  0.000010000 sec
    110 :     1100.00 MFlops  0.000011000 sec
    111 :     1026.75 MFlops  0.000012000 sec
    112 :      964.92 MFlops  0.000013000 sec
    113 :     1064.08 MFlops  0.000012000 sec
    114 :     1083.00 MFlops  0.000012000 sec
