From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U Loops = 1
   SIZE       Flops
      1 :        0.01 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :      216.00 MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :     1728.00 MFlops
     13 :         inf MFlops
     14 :     2744.00 MFlops
     15 :     3375.00 MFlops
     16 :     4096.00 MFlops
     17 :     4913.00 MFlops
     18 :     5832.00 MFlops
     19 :     6859.00 MFlops
     20 :     8000.00 MFlops
     21 :     9261.00 MFlops
     22 :    10648.00 MFlops
     23 :    12167.00 MFlops
     24 :    13824.00 MFlops
     25 :     7812.50 MFlops
     26 :    17576.00 MFlops
     27 :     9841.50 MFlops
     28 :    10976.00 MFlops
     29 :    12194.50 MFlops
     30 :    13500.00 MFlops
     31 :     9930.33 MFlops
     32 :      744.73 MFlops
     33 :     3267.00 MFlops
     34 :     3573.09 MFlops
     35 :     4287.50 MFlops
     36 :     3332.57 MFlops
     37 :     3896.38 MFlops
     38 :     4220.92 MFlops
     39 :     4237.07 MFlops
     40 :     4266.67 MFlops
     41 :     4922.93 MFlops
     42 :     5699.08 MFlops
     43 :     5679.07 MFlops
     44 :     5678.93 MFlops
     45 :     6075.00 MFlops
     46 :     5122.95 MFlops
     47 :     6107.24 MFlops
     48 :     6912.00 MFlops
     49 :     6920.53 MFlops
     50 :     6578.95 MFlops
     51 :     7803.00 MFlops
     52 :     7400.42 MFlops
     53 :     7835.63 MFlops
     54 :     8748.00 MFlops
     55 :     8756.58 MFlops
     56 :     5165.18 MFlops
     57 :     6614.04 MFlops
     58 :     6503.73 MFlops
     59 :     7082.03 MFlops
     60 :     4800.00 MFlops
     61 :     9079.24 MFlops
     62 :     7009.65 MFlops
     63 :     2358.93 MFlops
     64 :     7710.12 MFlops
     65 :    10171.30 MFlops
     66 :    11979.00 MFlops
     67 :    11139.37 MFlops
     68 :    11645.63 MFlops
     69 :    11732.46 MFlops
     70 :    12703.70 MFlops
     71 :    11545.52 MFlops
     72 :    11310.55 MFlops
     73 :    12156.78 MFlops
     74 :    13071.74 MFlops
     75 :    13183.59 MFlops
     76 :    13718.00 MFlops
     77 :    13834.33 MFlops
     78 :    14829.75 MFlops
     79 :    12974.71 MFlops
     80 :    13837.84 MFlops
     81 :    13626.69 MFlops
     82 :    15315.78 MFlops
     83 :    15047.03 MFlops
     84 :    16019.03 MFlops
     85 :    12794.27 MFlops
     86 :    17190.70 MFlops
     87 :    10289.11 MFlops
     88 :    15488.00 MFlops
     89 :    15665.98 MFlops
     90 :    16200.00 MFlops
     91 :    14491.75 MFlops
     92 :    16222.67 MFlops
     93 :    16757.44 MFlops
