From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        4.00 MFlops   0.000002 sec
      2x2 :         inf MFlops   0.000000 sec
      3x3 :         inf MFlops   0.000000 sec
      4x4 :       32.00 MFlops   0.000004 sec
      5x5 :      200.00 MFlops   0.000001 sec
      6x6 :         inf MFlops   0.000000 sec
      7x7 :      392.00 MFlops   0.000001 sec
      8x8 :         inf MFlops   0.000000 sec
      9x9 :         inf MFlops   0.000000 sec
     10x10 :         inf MFlops   0.000000 sec
     11x11 :         inf MFlops   0.000000 sec
     12x12 :         inf MFlops   0.000000 sec
     13x13 :         inf MFlops   0.000000 sec
     14x14 :         inf MFlops   0.000000 sec
     15x15 :         inf MFlops   0.000000 sec
     16x16 :         inf MFlops   0.000000 sec
     17x17 :         inf MFlops   0.000000 sec
     18x18 :         inf MFlops   0.000000 sec
     19x19 :         inf MFlops   0.000000 sec
     20x20 :         inf MFlops   0.000000 sec
     21x21 :         inf MFlops   0.000000 sec
     22x22 :     3872.00 MFlops   0.000001 sec
     23x23 :     4232.00 MFlops   0.000001 sec
     24x24 :     4608.00 MFlops   0.000001 sec
     25x25 :         inf MFlops   0.000000 sec
     26x26 :     5408.00 MFlops   0.000001 sec
     27x27 :     5832.00 MFlops   0.000001 sec
     28x28 :     6272.00 MFlops   0.000001 sec
     29x29 :     6728.00 MFlops   0.000001 sec
     30x30 :     7200.00 MFlops   0.000001 sec
     31x31 :     7688.00 MFlops   0.000001 sec
     32x32 :     4096.00 MFlops   0.000002 sec
     33x33 :     8712.00 MFlops   0.000001 sec
     34x34 :     9248.00 MFlops   0.000001 sec
     35x35 :     4900.00 MFlops   0.000002 sec
     36x36 :     5184.00 MFlops   0.000002 sec
     37x37 :    10952.00 MFlops   0.000001 sec
     38x38 :    11552.00 MFlops   0.000001 sec
     39x39 :     6084.00 MFlops   0.000002 sec
     40x40 :     6400.00 MFlops   0.000002 sec
     41x41 :     6724.00 MFlops   0.000002 sec
     42x42 :     7056.00 MFlops   0.000002 sec
     43x43 :     7396.00 MFlops   0.000002 sec
     44x44 :     7744.00 MFlops   0.000002 sec
     45x45 :     8100.00 MFlops   0.000002 sec
     46x46 :     5642.67 MFlops   0.000003 sec
     47x47 :     8836.00 MFlops   0.000002 sec
     48x48 :     9216.00 MFlops   0.000002 sec
     49x49 :     9604.00 MFlops   0.000002 sec
     50x50 :     6666.67 MFlops   0.000003 sec
     51x51 :     6936.00 MFlops   0.000003 sec
     52x52 :     7210.67 MFlops   0.000003 sec
     53x53 :     7490.67 MFlops   0.000003 sec
     54x54 :     7776.00 MFlops   0.000003 sec
     55x55 :     8066.67 MFlops   0.000003 sec
     56x56 :     6272.00 MFlops   0.000004 sec
     57x57 :     8664.00 MFlops   0.000003 sec
     58x58 :     6728.00 MFlops   0.000004 sec
     59x59 :     9282.67 MFlops   0.000003 sec
     60x60 :     7200.00 MFlops   0.000004 sec
     61x61 :     3721.00 MFlops   0.000008 sec
     62x62 :     6150.40 MFlops   0.000005 sec
     63x63 :     6350.40 MFlops   0.000005 sec
     64x64 :      963.76 MFlops   0.000034 sec
     65x65 :     2414.29 MFlops   0.000014 sec
     66x66 :     2178.00 MFlops   0.000016 sec
     67x67 :     2244.50 MFlops   0.000016 sec
     68x68 :     1370.07 MFlops   0.000027 sec
     69x69 :     1904.40 MFlops   0.000020 sec
     70x70 :     1781.82 MFlops   0.000022 sec
     71x71 :     1753.39 MFlops   0.000023 sec
     72x72 :     2073.60 MFlops   0.000020 sec
     73x73 :     2131.60 MFlops   0.000020 sec
     74x74 :     2086.10 MFlops   0.000021 sec
     75x75 :     2250.00 MFlops   0.000020 sec
     76x76 :     2100.36 MFlops   0.000022 sec
     77x77 :     2156.00 MFlops   0.000022 sec
     78x78 :     1738.29 MFlops   0.000028 sec
     79x79 :     1920.31 MFlops   0.000026 sec
     80x80 :     2133.33 MFlops   0.000024 sec
     81x81 :     2282.09 MFlops   0.000023 sec
     82x82 :     1992.30 MFlops   0.000027 sec
     83x83 :     2041.19 MFlops   0.000027 sec
     84x84 :     2454.26 MFlops   0.000023 sec
     85x85 :     2140.74 MFlops   0.000027 sec
     86x86 :     2040.28 MFlops   0.000029 sec
     87x87 :     2328.92 MFlops   0.000026 sec
     88x88 :     2816.00 MFlops   0.000022 sec
     89x89 :     1810.51 MFlops   0.000035 sec
     90x90 :     2314.29 MFlops   0.000028 sec
     91x91 :     1615.80 MFlops   0.000041 sec
     92x92 :     2708.48 MFlops   0.000025 sec
     93x93 :     2232.00 MFlops   0.000031 sec
     94x94 :     2356.27 MFlops   0.000030 sec
     95x95 :     2674.07 MFlops   0.000027 sec
     96x96 :     1992.65 MFlops   0.000037 sec
     97x97 :     3763.60 MFlops   0.000020 sec
     98x98 :      936.98 MFlops   0.000082 sec
     99x99 :     3267.00 MFlops   0.000024 sec
    100x100 :     3809.52 MFlops   0.000021 sec
    101x101 :     2720.27 MFlops   0.000030 sec
    102x102 :     2972.57 MFlops   0.000028 sec
    103x103 :     2829.07 MFlops   0.000030 sec
    104x104 :     3762.09 MFlops   0.000023 sec
    105x105 :     3392.31 MFlops   0.000026 sec
    106x106 :     2429.41 MFlops   0.000037 sec
    107x107 :     3663.68 MFlops   0.000025 sec
    108x108 :     4241.45 MFlops   0.000022 sec
    109x109 :     2970.25 MFlops   0.000032 sec
    110x110 :     2360.98 MFlops   0.000041 sec
    111x111 :     2292.28 MFlops   0.000043 sec
    112x112 :     2867.20 MFlops   0.000035 sec
    113x113 :     1571.57 MFlops   0.000065 sec
    114x114 :     2809.95 MFlops   0.000037 sec
    115x115 :     4600.00 MFlops   0.000023 sec
    116x116 :     5382.40 MFlops   0.000020 sec
    117x117 :     5475.60 MFlops   0.000020 sec
    118x118 :     5569.60 MFlops   0.000020 sec
    119x119 :     4925.57 MFlops   0.000023 sec
    120x120 :     4430.77 MFlops   0.000026 sec
    121x121 :     4504.92 MFlops   0.000026 sec
    122x122 :     5412.36 MFlops   0.000022 sec
    123x123 :     6051.60 MFlops   0.000020 sec
    124x124 :     3968.00 MFlops   0.000031 sec
    125x125 :     5000.00 MFlops   0.000025 sec
    126x126 :     5522.09 MFlops   0.000023 sec
    127x127 :     5376.33 MFlops   0.000024 sec
    128x128 :     5957.82 MFlops   0.000022 sec
    129x129 :     5547.00 MFlops   0.000024 sec
    130x130 :     5200.00 MFlops   0.000026 sec
    131x131 :     6537.52 MFlops   0.000021 sec
    132x132 :     4806.62 MFlops   0.000029 sec
    133x133 :     4564.90 MFlops   0.000031 sec
    134x134 :     5985.33 MFlops   0.000024 sec
    135x135 :     4703.23 MFlops   0.000031 sec
