From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        0.57 MFlops   0.000014 sec
      2x2 :       32.00 MFlops   0.000001 sec
      3x3 :         inf MFlops   0.000000 sec
      4x4 :         inf MFlops   0.000000 sec
      5x5 :         inf MFlops   0.000000 sec
      6x6 :         inf MFlops   0.000000 sec
      7x7 :      392.00 MFlops   0.000001 sec
      8x8 :         inf MFlops   0.000000 sec
      9x9 :         inf MFlops   0.000000 sec
     10x10 :         inf MFlops   0.000000 sec
     11x11 :         inf MFlops   0.000000 sec
     12x12 :         inf MFlops   0.000000 sec
     13x13 :         inf MFlops   0.000000 sec
     14x14 :     1568.00 MFlops   0.000001 sec
     15x15 :     1800.00 MFlops   0.000001 sec
     16x16 :         inf MFlops   0.000000 sec
     17x17 :         inf MFlops   0.000000 sec
     18x18 :     2592.00 MFlops   0.000001 sec
     19x19 :         inf MFlops   0.000000 sec
     20x20 :         inf MFlops   0.000000 sec
     21x21 :         inf MFlops   0.000000 sec
     22x22 :         inf MFlops   0.000000 sec
     23x23 :     4232.00 MFlops   0.000001 sec
     24x24 :         inf MFlops   0.000000 sec
     25x25 :     5000.00 MFlops   0.000001 sec
     26x26 :     5408.00 MFlops   0.000001 sec
     27x27 :     5832.00 MFlops   0.000001 sec
     28x28 :     6272.00 MFlops   0.000001 sec
     29x29 :         inf MFlops   0.000000 sec
     30x30 :         inf MFlops   0.000000 sec
     31x31 :     7688.00 MFlops   0.000001 sec
     32x32 :     8192.00 MFlops   0.000001 sec
     33x33 :     8712.00 MFlops   0.000001 sec
     34x34 :     9248.00 MFlops   0.000001 sec
     35x35 :     9800.00 MFlops   0.000001 sec
     36x36 :    10368.00 MFlops   0.000001 sec
     37x37 :    10952.00 MFlops   0.000001 sec
     38x38 :     5776.00 MFlops   0.000002 sec
     39x39 :    12168.00 MFlops   0.000001 sec
     40x40 :     6400.00 MFlops   0.000002 sec
     41x41 :    13448.00 MFlops   0.000001 sec
     42x42 :    14112.00 MFlops   0.000001 sec
     43x43 :    14792.00 MFlops   0.000001 sec
     44x44 :     7744.00 MFlops   0.000002 sec
     45x45 :    16200.00 MFlops   0.000001 sec
     46x46 :     8464.00 MFlops   0.000002 sec
     47x47 :     8836.00 MFlops   0.000002 sec
     48x48 :     9216.00 MFlops   0.000002 sec
     49x49 :     9604.00 MFlops   0.000002 sec
     50x50 :    20000.00 MFlops   0.000001 sec
     51x51 :    10404.00 MFlops   0.000002 sec
     52x52 :    21632.00 MFlops   0.000001 sec
     53x53 :    11236.00 MFlops   0.000002 sec
     54x54 :    11664.00 MFlops   0.000002 sec
     55x55 :    24200.00 MFlops   0.000001 sec
     56x56 :    12544.00 MFlops   0.000002 sec
     57x57 :    12996.00 MFlops   0.000002 sec
     58x58 :    13456.00 MFlops   0.000002 sec
     59x59 :    13924.00 MFlops   0.000002 sec
     60x60 :     9600.00 MFlops   0.000003 sec
     61x61 :     7442.00 MFlops   0.000004 sec
     62x62 :    10250.67 MFlops   0.000003 sec
     63x63 :    15876.00 MFlops   0.000002 sec
     64x64 :    16384.00 MFlops   0.000002 sec
     65x65 :    11266.67 MFlops   0.000003 sec
     66x66 :    17424.00 MFlops   0.000002 sec
     67x67 :    11970.67 MFlops   0.000003 sec
     68x68 :    12330.67 MFlops   0.000003 sec
     69x69 :    12696.00 MFlops   0.000003 sec
     70x70 :    13066.67 MFlops   0.000003 sec
     71x71 :    13442.67 MFlops   0.000003 sec
     72x72 :    20736.00 MFlops   0.000002 sec
     73x73 :    14210.67 MFlops   0.000003 sec
     74x74 :    14602.67 MFlops   0.000003 sec
