From :   1  To : 200 Step =   1 Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        2.67 MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :     1352.00 MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :         inf MFlops
     17x17 :         inf MFlops
     18x18 :         inf MFlops
     19x19 :     2888.00 MFlops
     20x20 :     3200.00 MFlops
     21x21 :         inf MFlops
     22x22 :         inf MFlops
     23x23 :         inf MFlops
     24x24 :     4608.00 MFlops
     25x25 :     5000.00 MFlops
     26x26 :         inf MFlops
     27x27 :     5832.00 MFlops
     28x28 :         inf MFlops
     29x29 :         inf MFlops
     30x30 :     7200.00 MFlops
     31x31 :         inf MFlops
     32x32 :         inf MFlops
     33x33 :     8712.00 MFlops
     34x34 :     9248.00 MFlops
     35x35 :     9800.00 MFlops
     36x36 :         inf MFlops
     37x37 :         inf MFlops
     38x38 :    11552.00 MFlops
     39x39 :    12168.00 MFlops
     40x40 :    12800.00 MFlops
     41x41 :    13448.00 MFlops
     42x42 :    14112.00 MFlops
     43x43 :    14792.00 MFlops
     44x44 :         inf MFlops
     45x45 :    16200.00 MFlops
     46x46 :    16928.00 MFlops
     47x47 :    17672.00 MFlops
     48x48 :    18432.00 MFlops
     49x49 :    19208.00 MFlops
     50x50 :    20000.00 MFlops
     51x51 :    20808.00 MFlops
     52x52 :    10816.00 MFlops
     53x53 :    22472.00 MFlops
     54x54 :    23328.00 MFlops
     55x55 :    24200.00 MFlops
     56x56 :    12544.00 MFlops
     57x57 :    25992.00 MFlops
     58x58 :    13456.00 MFlops
     59x59 :    13924.00 MFlops
     60x60 :    14400.00 MFlops
     61x61 :    14884.00 MFlops
     62x62 :    15376.00 MFlops
     63x63 :    31752.00 MFlops
     64x64 :    32768.00 MFlops
     65x65 :    33800.00 MFlops
     66x66 :    17424.00 MFlops
     67x67 :    17956.00 MFlops
     68x68 :    18496.00 MFlops
     69x69 :    38088.00 MFlops
     70x70 :    19600.00 MFlops
     71x71 :    20164.00 MFlops
     72x72 :    20736.00 MFlops
     73x73 :    21316.00 MFlops
     74x74 :    21904.00 MFlops
     75x75 :    22500.00 MFlops
     76x76 :    23104.00 MFlops
     77x77 :    23716.00 MFlops
     78x78 :    24336.00 MFlops
     79x79 :    16642.67 MFlops
     80x80 :    17066.67 MFlops
     81x81 :    17496.00 MFlops
     82x82 :    26896.00 MFlops
     83x83 :    18370.67 MFlops
     84x84 :    18816.00 MFlops
     85x85 :    19266.67 MFlops
     86x86 :    19722.67 MFlops
     87x87 :    20184.00 MFlops
     88x88 :    20650.67 MFlops
     89x89 :    21122.67 MFlops
     90x90 :    21600.00 MFlops
     91x91 :    16562.00 MFlops
     92x92 :    22570.67 MFlops
     93x93 :    17298.00 MFlops
     94x94 :    17672.00 MFlops
     95x95 :    18050.00 MFlops
     96x96 :    18432.00 MFlops
     97x97 :    18818.00 MFlops
     98x98 :    19208.00 MFlops
     99x99 :    19602.00 MFlops
    100x100 :    20000.00 MFlops
    101x101 :    20402.00 MFlops
    102x102 :    16646.40 MFlops
    103x103 :    21218.00 MFlops
    104x104 :    17305.60 MFlops
    105x105 :    22050.00 MFlops
    106x106 :    17977.60 MFlops
    107x107 :    18318.40 MFlops
    108x108 :    18662.40 MFlops
    109x109 :    15841.33 MFlops
    110x110 :    16133.33 MFlops
    111x111 :    19713.60 MFlops
    112x112 :    20070.40 MFlops
    113x113 :    17025.33 MFlops
    114x114 :    20793.60 MFlops
    115x115 :    17633.33 MFlops
    116x116 :    17941.33 MFlops
    117x117 :    18252.00 MFlops
    118x118 :    18565.33 MFlops
    119x119 :    18881.33 MFlops
    120x120 :    19200.00 MFlops
    121x121 :    16732.57 MFlops
    122x122 :    17010.29 MFlops
    123x123 :    20172.00 MFlops
    124x124 :    17572.57 MFlops
    125x125 :    17857.14 MFlops
    126x126 :    18144.00 MFlops
    127x127 :    18433.14 MFlops
    128x128 :    18724.57 MFlops
    129x129 :    16641.00 MFlops
    130x130 :    16900.00 MFlops
    131x131 :    17161.00 MFlops
    132x132 :    17424.00 MFlops
    133x133 :    17689.00 MFlops
    134x134 :    17956.00 MFlops
    135x135 :    18225.00 MFlops
    136x136 :    18496.00 MFlops
    137x137 :    18769.00 MFlops
    138x138 :    16928.00 MFlops
    139x139 :    19321.00 MFlops
    140x140 :    17422.22 MFlops
    141x141 :    17672.00 MFlops
    142x142 :    20164.00 MFlops
    143x143 :    18176.89 MFlops
    144x144 :    18432.00 MFlops
    145x145 :    16820.00 MFlops
    146x146 :    18947.56 MFlops
    147x147 :    17287.20 MFlops
    148x148 :    17523.20 MFlops
    149x149 :    19734.22 MFlops
    150x150 :    20000.00 MFlops
    151x151 :    18240.80 MFlops
    152x152 :    18483.20 MFlops
    153x153 :    18727.20 MFlops
    154x154 :    18972.80 MFlops
    155x155 :    17472.73 MFlops
    156x156 :    17698.91 MFlops
    157x157 :    17926.55 MFlops
    158x158 :    18155.64 MFlops
    159x159 :    18386.18 MFlops
    160x160 :    18618.18 MFlops
    161x161 :    17280.67 MFlops
    162x162 :    17496.00 MFlops
    163x163 :    17712.67 MFlops
    164x164 :    19560.73 MFlops
    165x165 :    18150.00 MFlops
    166x166 :    18370.67 MFlops
    167x167 :    18592.67 MFlops
    168x168 :    18816.00 MFlops
    169x169 :    19040.67 MFlops
    170x170 :    19266.67 MFlops
    171x171 :    19494.00 MFlops
    172x172 :    19722.67 MFlops
    173x173 :    19952.67 MFlops
    174x174 :    18631.38 MFlops
    175x175 :    18846.15 MFlops
    176x176 :    19062.15 MFlops
    177x177 :    19279.38 MFlops
    178x178 :    18105.14 MFlops
    179x179 :    18309.14 MFlops
    180x180 :    18514.29 MFlops
    181x181 :    20160.62 MFlops
    182x182 :    20384.00 MFlops
    183x183 :    19136.57 MFlops
    184x184 :    19346.29 MFlops
    185x185 :    19557.14 MFlops
    186x186 :    18451.20 MFlops
    187x187 :    18650.13 MFlops
    188x188 :    18850.13 MFlops
    189x189 :    19051.20 MFlops
    190x190 :    19253.33 MFlops
    191x191 :    18240.50 MFlops
    192x192 :    19660.80 MFlops
    193x193 :    19866.13 MFlops
    194x194 :    13685.82 MFlops
    195x195 :    17894.12 MFlops
    196x196 :    19208.00 MFlops
    197x197 :    19404.50 MFlops
    198x198 :    19602.00 MFlops
    199x199 :    19800.50 MFlops
    200x200 :    20000.00 MFlops
