From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 1x1 :       1.52 MFlops   0.000007 s
 2x2 :       4.27 MFlops   0.000020 s
 3x3 :      22.15 MFlops   0.000013 s
 4x4 :      37.93 MFlops   0.000018 s
 5x5 :      88.89 MFlops   0.000015 s
 6x6 :     164.57 MFlops   0.000014 s
 7x7 :     243.91 MFlops   0.000015 s
 8x8 :     546.13 MFlops   0.000010 s
 9x9 :     486.00 MFlops   0.000016 s
 10x10 :     131.69 MFlops   0.000081 s
 11x11 :     457.98 MFlops   0.000031 s
 12x12 :     594.58 MFlops   0.000031 s
 13x13 :     520.77 MFlops   0.000045 s
 14x14 :     532.17 MFlops   0.000055 s
 15x15 :     705.88 MFlops   0.000051 s
 16x16 :      67.63 MFlops   0.000646 s
 17x17 :     157.85 MFlops   0.000332 s
 18x18 :     852.16 MFlops   0.000073 s
 19x19 :     850.73 MFlops   0.000086 s
 20x20 :    1201.88 MFlops   0.000071 s
 21x21 :    1109.93 MFlops   0.000089 s
 22x22 :    1102.71 MFlops   0.000103 s
 23x23 :    1190.65 MFlops   0.000109 s
 24x24 :    1552.17 MFlops   0.000095 s
 25x25 :    1501.50 MFlops   0.000111 s
 26x26 :    1820.17 MFlops   0.000103 s
 27x27 :    1857.98 MFlops   0.000113 s
 28x28 :    2545.16 MFlops   0.000092 s
 29x29 :    2115.04 MFlops   0.000123 s
 30x30 :    2102.19 MFlops   0.000137 s
 31x31 :    2222.17 MFlops   0.000143 s
 32x32 :    2410.52 MFlops   0.000145 s
 33x33 :    2457.23 MFlops   0.000156 s
 34x34 :    2525.56 MFlops   0.000166 s
 35x35 :    2658.91 MFlops   0.000172 s
 36x36 :    3016.15 MFlops   0.000165 s
 37x37 :    2873.93 MFlops   0.000188 s
 38x38 :    3215.94 MFlops   0.000182 s
 39x39 :    3678.70 MFlops   0.000172 s
 40x40 :    3362.89 MFlops   0.000203 s
 41x41 :    3484.16 MFlops   0.000211 s
 42x42 :    4032.00 MFlops   0.000196 s
 43x43 :    4136.95 MFlops   0.000205 s
 44x44 :    4635.86 MFlops   0.000196 s
 45x45 :    4418.18 MFlops   0.000220 s
 46x46 :    3977.97 MFlops   0.000261 s
 47x47 :    4377.25 MFlops   0.000253 s
 48x48 :    4572.28 MFlops   0.000258 s
 49x49 :    4253.98 MFlops   0.000295 s
 50x50 :    4813.48 MFlops   0.000277 s
 51x51 :    4964.72 MFlops   0.000285 s
 52x52 :    5281.05 MFlops   0.000284 s
 53x53 :    5293.40 MFlops   0.000300 s
 54x54 :    4998.86 MFlops   0.000336 s
 55x55 :     771.26 MFlops   0.002301 s
 56x56 :     737.20 MFlops   0.002541 s
 57x57 :    1977.37 MFlops   0.000999 s
 58x58 :    4896.93 MFlops   0.000425 s
 59x59 :     687.82 MFlops   0.003185 s
 60x60 :    1158.95 MFlops   0.001988 s
 61x61 :     894.40 MFlops   0.002707 s
 62x62 :    2698.69 MFlops   0.000942 s
 63x63 :     872.19 MFlops   0.003058 s
 64x64 :     217.98 MFlops   0.012828 s
 65x65 :     281.23 MFlops   0.010416 s
 66x66 :    1871.03 MFlops   0.001639 s
 67x67 :    5728.82 MFlops   0.000560 s
 68x68 :   10513.92 MFlops   0.000319 s
 69x69 :   10984.63 MFlops   0.000319 s
 70x70 :   11222.90 MFlops   0.000326 s
 71x71 :   11295.02 MFlops   0.000338 s
 72x72 :   11991.90 MFlops   0.000332 s
 73x73 :   11958.26 MFlops   0.000347 s
 74x74 :   11940.30 MFlops   0.000362 s
 75x75 :   11029.41 MFlops   0.000408 s
 76x76 :   12587.13 MFlops   0.000372 s
 77x77 :   12391.06 MFlops   0.000393 s
 78x78 :   13079.81 MFlops   0.000387 s
 79x79 :   14329.93 MFlops   0.000367 s
 80x80 :   15784.20 MFlops   0.000346 s
 81x81 :   15156.96 MFlops   0.000374 s
 82x82 :   16851.74 MFlops   0.000349 s
 83x83 :   17678.44 MFlops   0.000345 s
 84x84 :   17610.52 MFlops   0.000359 s
 85x85 :   17193.35 MFlops   0.000381 s
 86x86 :   10248.64 MFlops   0.000662 s
 87x87 :    5705.96 MFlops   0.001231 s
 88x88 :   14538.07 MFlops   0.000500 s
 89x89 :   14161.34 MFlops   0.000531 s
 90x90 :   18339.62 MFlops   0.000424 s
 91x91 :   18693.23 MFlops   0.000430 s
 92x92 :   14649.04 MFlops   0.000567 s
 93x93 :   15376.00 MFlops   0.000558 s
 94x94 :   15092.95 MFlops   0.000587 s
 95x95 :   15422.15 MFlops   0.000593 s
 96x96 :   15754.90 MFlops   0.000599 s
 97x97 :   15576.29 MFlops   0.000625 s
 98x98 :   14939.56 MFlops   0.000672 s
 99x99 :   15874.01 MFlops   0.000652 s
 100x100 :   17176.60 MFlops   0.000621 s
 101x101 :   20127.98 MFlops   0.000546 s
 102x102 :   20432.40 MFlops   0.000554 s
 103x103 :   19458.69 MFlops   0.000599 s
 104x104 :   21935.19 MFlops   0.000547 s
 105x105 :   21512.20 MFlops   0.000574 s
 106x106 :   17052.58 MFlops   0.000745 s
 107x107 :   13320.21 MFlops   0.000981 s
 108x108 :   17610.65 MFlops   0.000763 s
 109x109 :   21651.48 MFlops   0.000638 s
 110x110 :   21909.47 MFlops   0.000648 s
 111x111 :   20402.89 MFlops   0.000715 s
 112x112 :   18275.49 MFlops   0.000820 s
 113x113 :   18543.25 MFlops   0.000830 s
 114x114 :   18375.74 MFlops   0.000860 s
 115x115 :   21178.42 MFlops   0.000766 s
 116x116 :   23060.33 MFlops   0.000722 s
 117x117 :   23994.20 MFlops   0.000712 s
 118x118 :   18704.03 MFlops   0.000937 s
 119x119 :   19265.84 MFlops   0.000933 s
 120x120 :   23420.58 MFlops   0.000787 s
 121x121 :   23415.92 MFlops   0.000807 s
 122x122 :   14066.12 MFlops   0.001377 s
 123x123 :   18602.86 MFlops   0.001067 s
 124x124 :   19295.37 MFlops   0.001054 s
 125x125 :   18939.39 MFlops   0.001100 s
 126x126 :   25073.26 MFlops   0.000851 s
 127x127 :   25887.94 MFlops   0.000844 s
 128x128 :   24501.23 MFlops   0.000913 s
 129x129 :   28730.26 MFlops   0.000797 s
 130x130 :   19383.51 MFlops   0.001209 s
 131x131 :   25456.09 MFlops   0.000942 s
 132x132 :   24266.07 MFlops   0.001011 s
 133x133 :   25580.83 MFlops   0.000981 s
 134x134 :   23353.15 MFlops   0.001099 s
 135x135 :   23858.18 MFlops   0.001100 s
 136x136 :   26151.59 MFlops   0.001026 s
 137x137 :   25826.52 MFlops   0.001062 s
 138x138 :   25624.10 MFlops   0.001094 s
 139x139 :   26573.84 MFlops   0.001078 s
 140x140 :   26368.77 MFlops   0.001110 s
 141x141 :   25556.43 MFlops   0.001170 s
 142x142 :   21862.38 MFlops   0.001397 s
 143x143 :   29537.44 MFlops   0.001056 s
 144x144 :   25020.03 MFlops   0.001273 s
 145x145 :   26373.61 MFlops   0.001233 s
 146x146 :   22324.22 MFlops   0.001487 s
