From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 1x1 :       0.56 MFlops   0.000019 s
 2x2 :      28.44 MFlops   0.000003 s
 3x3 :        inf MFlops   0.000000 s
 4x4 :     682.67 MFlops   0.000001 s
 5x5 :    1333.33 MFlops   0.000001 s
 6x6 :    2304.00 MFlops   0.000001 s
 7x7 :    3658.67 MFlops   0.000001 s
 8x8 :    2730.67 MFlops   0.000002 s
 9x9 :    3888.00 MFlops   0.000002 s
 10x10 :    3555.56 MFlops   0.000003 s
 11x11 :    4732.44 MFlops   0.000003 s
 12x12 :    6144.00 MFlops   0.000003 s
 13x13 :    5858.67 MFlops   0.000004 s
 14x14 :    5853.87 MFlops   0.000005 s
 15x15 :    6000.00 MFlops   0.000006 s
 16x16 :     480.12 MFlops   0.000091 s
 17x17 :    2911.41 MFlops   0.000018 s
 18x18 :    5655.27 MFlops   0.000011 s
 19x19 :    6651.15 MFlops   0.000011 s
 20x20 :    7757.58 MFlops   0.000011 s
 21x21 :    8232.00 MFlops   0.000012 s
 22x22 :    8736.82 MFlops   0.000013 s
 23x23 :    8111.33 MFlops   0.000016 s
 24x24 :    8673.88 MFlops   0.000017 s
 25x25 :    9259.26 MFlops   0.000018 s
 26x26 :    9867.23 MFlops   0.000019 s
 27x27 :    9543.27 MFlops   0.000022 s
 28x28 :    9756.44 MFlops   0.000024 s
 29x29 :   10005.74 MFlops   0.000026 s
 30x30 :   10285.71 MFlops   0.000028 s
 31x31 :   10250.67 MFlops   0.000031 s
 32x32 :   10922.67 MFlops   0.000032 s
 33x33 :    6845.14 MFlops   0.000056 s
 34x34 :    6352.16 MFlops   0.000066 s
 35x35 :    8166.67 MFlops   0.000056 s
 36x36 :   10368.00 MFlops   0.000048 s
 37x37 :   10005.53 MFlops   0.000054 s
 38x38 :   12193.78 MFlops   0.000048 s
 39x39 :   12168.00 MFlops   0.000052 s
 40x40 :   13385.62 MFlops   0.000051 s
 41x41 :   13127.81 MFlops   0.000056 s
 42x42 :   14368.58 MFlops   0.000055 s
 43x43 :   13902.86 MFlops   0.000061 s
 44x44 :   15143.82 MFlops   0.000060 s
 45x45 :   14507.46 MFlops   0.000067 s
 46x46 :   15731.07 MFlops   0.000066 s
 47x47 :   15820.65 MFlops   0.000070 s
 48x48 :   15521.68 MFlops   0.000076 s
 49x49 :   15885.10 MFlops   0.000079 s
 50x50 :   15325.67 MFlops   0.000087 s
 51x51 :   14894.15 MFlops   0.000095 s
 52x52 :   16481.52 MFlops   0.000091 s
 53x53 :   16893.84 MFlops   0.000094 s
 54x54 :   17496.00 MFlops   0.000096 s
 55x55 :   16901.59 MFlops   0.000105 s
 56x56 :   17840.36 MFlops   0.000105 s
 57x57 :   17637.43 MFlops   0.000112 s
 58x58 :   18256.09 MFlops   0.000114 s
 59x59 :   18409.32 MFlops   0.000119 s
 60x60 :   18885.25 MFlops   0.000122 s
 61x61 :   18624.08 MFlops   0.000130 s
 62x62 :   18830.85 MFlops   0.000135 s
 63x63 :   18651.52 MFlops   0.000143 s
 64x64 :   18641.35 MFlops   0.000150 s
 65x65 :   17753.54 MFlops   0.000165 s
 66x66 :   19166.40 MFlops   0.000160 s
 67x67 :   19561.82 MFlops   0.000164 s
 68x68 :   19845.81 MFlops   0.000169 s
 69x69 :   19467.20 MFlops   0.000180 s
 70x70 :   19460.99 MFlops   0.000188 s
 71x71 :   20525.36 MFlops   0.000186 s
 72x72 :   20844.57 MFlops   0.000191 s
 73x73 :   20644.35 MFlops   0.000201 s
 74x74 :   21611.95 MFlops   0.000200 s
 75x75 :   22388.06 MFlops   0.000201 s
 76x76 :   22730.15 MFlops   0.000206 s
 77x77 :   22649.70 MFlops   0.000215 s
 78x78 :   23008.58 MFlops   0.000220 s
 79x79 :   23167.77 MFlops   0.000227 s
 80x80 :   23239.72 MFlops   0.000235 s
 81x81 :   23424.40 MFlops   0.000242 s
 82x82 :   24202.71 MFlops   0.000243 s
 83x83 :   24592.99 MFlops   0.000248 s
 84x84 :   24988.84 MFlops   0.000253 s
 85x85 :   24626.57 MFlops   0.000266 s
 86x86 :   24943.37 MFlops   0.000272 s
 87x87 :   25449.39 MFlops   0.000276 s
 88x88 :   25685.63 MFlops   0.000283 s
 89x89 :   25752.29 MFlops   0.000292 s
 90x90 :   26093.96 MFlops   0.000298 s
 91x91 :   25845.95 MFlops   0.000311 s
 92x92 :   26201.91 MFlops   0.000317 s
 93x93 :   24033.08 MFlops   0.000357 s
 94x94 :   24406.51 MFlops   0.000363 s
 95x95 :   23815.97 MFlops   0.000384 s
 96x96 :   24322.64 MFlops   0.000388 s
 97x97 :   22125.41 MFlops   0.000440 s
 98x98 :   24249.71 MFlops   0.000414 s
 99x99 :   24879.46 MFlops   0.000416 s
 100x100 :   25457.44 MFlops   0.000419 s
 101x101 :   25737.42 MFlops   0.000427 s
 102x102 :   26021.96 MFlops   0.000435 s
 103x103 :   26075.51 MFlops   0.000447 s
 104x104 :   25366.91 MFlops   0.000473 s
 105x105 :   24597.61 MFlops   0.000502 s
 106x106 :   27921.25 MFlops   0.000455 s
 107x107 :   27861.67 MFlops   0.000469 s
 108x108 :   28772.87 MFlops   0.000467 s
 109x109 :   27032.57 MFlops   0.000511 s
 110x110 :   27042.54 MFlops   0.000525 s
 111x111 :   27065.05 MFlops   0.000539 s
 112x112 :   28011.03 MFlops   0.000535 s
 113x113 :   28240.19 MFlops   0.000545 s
 114x114 :   28422.91 MFlops   0.000556 s
 115x115 :   29125.07 MFlops   0.000557 s
 116x116 :   29416.18 MFlops   0.000566 s
 117x117 :   29608.10 MFlops   0.000577 s
 118x118 :   30373.79 MFlops   0.000577 s
 119x119 :   28991.98 MFlops   0.000620 s
 120x120 :   29777.06 MFlops   0.000619 s
 121x121 :   30186.34 MFlops   0.000626 s
 122x122 :   31139.94 MFlops   0.000622 s
 123x123 :   32433.41 MFlops   0.000612 s
 124x124 :   31336.40 MFlops   0.000649 s
 125x125 :   31904.03 MFlops   0.000653 s
 126x126 :   28873.27 MFlops   0.000739 s
 127x127 :   32611.07 MFlops   0.000670 s
 128x128 :   31550.95 MFlops   0.000709 s
 129x129 :   27958.51 MFlops   0.000819 s
 130x130 :   30513.89 MFlops   0.000768 s
 131x131 :   29788.37 MFlops   0.000805 s
 132x132 :   26724.39 MFlops   0.000918 s
 133x133 :   24821.76 MFlops   0.001011 s
 134x134 :   28516.79 MFlops   0.000900 s
 135x135 :   30200.23 MFlops   0.000869 s
 136x136 :   32018.53 MFlops   0.000838 s
 137x137 :   34156.62 MFlops   0.000803 s
 138x138 :   34780.11 MFlops   0.000806 s
 139x139 :   33348.78 MFlops   0.000859 s
 140x140 :   33994.58 MFlops   0.000861 s
 141x141 :   33596.66 MFlops   0.000890 s
 142x142 :   33785.11 MFlops   0.000904 s
 143x143 :   34314.13 MFlops   0.000909 s
 144x144 :   35507.80 MFlops   0.000897 s
 145x145 :   33250.17 MFlops   0.000978 s
 146x146 :   32834.93 MFlops   0.001011 s
 147x147 :   33349.32 MFlops   0.001016 s
 148x148 :   33834.75 MFlops   0.001022 s
 149x149 :   34058.68 MFlops   0.001036 s
 150x150 :   33994.33 MFlops   0.001059 s
 151x151 :   33600.01 MFlops   0.001093 s
 152x152 :   33179.17 MFlops   0.001129 s
 153x153 :   33600.25 MFlops   0.001137 s
 154x154 :   33411.22 MFlops   0.001166 s
 155x155 :   31449.99 MFlops   0.001263 s
 156x156 :   33411.80 MFlops   0.001212 s
 157x157 :   32735.02 MFlops   0.001261 s
 158x158 :   32264.31 MFlops   0.001304 s
 159x159 :   31596.59 MFlops   0.001357 s
 160x160 :   32629.33 MFlops   0.001339 s
 161x161 :   32540.20 MFlops   0.001368 s
 162x162 :   31580.52 MFlops   0.001436 s
 163x163 :   32035.11 MFlops   0.001442 s
 164x164 :   33321.58 MFlops   0.001412 s
 165x165 :   33390.94 MFlops   0.001435 s
 166x166 :   33079.65 MFlops   0.001475 s
 167x167 :   33658.27 MFlops   0.001476 s
 168x168 :   34197.03 MFlops   0.001479 s
 169x169 :   33739.16 MFlops   0.001526 s
 170x170 :   34319.14 MFlops   0.001527 s
 171x171 :   34321.48 MFlops   0.001554 s
 172x172 :   35062.52 MFlops   0.001548 s
 173x173 :   33820.56 MFlops   0.001633 s
 174x174 :   34858.72 MFlops   0.001612 s
 175x175 :   34027.78 MFlops   0.001680 s
 176x176 :   35437.10 MFlops   0.001641 s
 177x177 :   34978.80 MFlops   0.001691 s
 178x178 :   35807.95 MFlops   0.001680 s
 179x179 :   35341.97 MFlops   0.001731 s
 180x180 :   36657.63 MFlops   0.001697 s
 181x181 :   36413.68 MFlops   0.001737 s
 182x182 :   37299.72 MFlops   0.001724 s
 183x183 :   36156.27 MFlops   0.001808 s
 184x184 :   36731.92 MFlops   0.001809 s
 185x185 :   35924.11 MFlops   0.001880 s
 186x186 :   37364.43 MFlops   0.001837 s
 187x187 :   38451.76 MFlops   0.001814 s
 188x188 :   37901.87 MFlops   0.001870 s
 189x189 :   38122.57 MFlops   0.001889 s
 190x190 :   37810.16 MFlops   0.001935 s
 191x191 :   37442.80 MFlops   0.001985 s
 192x192 :   37635.83 MFlops   0.002006 s
 193x193 :   37027.17 MFlops   0.002071 s
 194x194 :   37806.52 MFlops   0.002060 s
 195x195 :   38356.94 MFlops   0.002062 s
 196x196 :   39293.08 MFlops   0.002044 s
 197x197 :   38741.40 MFlops   0.002105 s
 198x198 :   38927.53 MFlops   0.002127 s
 199x199 :   38665.93 MFlops   0.002174 s
 200x200 :   38490.45 MFlops   0.002217 s
