From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
      1 :        1.60 MFlops :       0.00 Sec : 64
      2 :       10.00 MFlops :       0.00 Sec : 128
      3 :         inf MFlops :       0.00 Sec : 192
      4 :      304.00 MFlops :       0.00 Sec : 256
      5 :      600.00 MFlops :       0.00 Sec : 320
      6 :     1048.00 MFlops :       0.00 Sec : 384
      7 :     1680.00 MFlops :       0.00 Sec : 448
      8 :     1264.00 MFlops :       0.00 Sec : 512
      9 :     1812.00 MFlops :       0.00 Sec : 576
     10 :     1666.67 MFlops :       0.00 Sec : 640
     11 :     2229.33 MFlops :       0.00 Sec : 704
     12 :     2906.67 MFlops :       0.00 Sec : 768
     13 :     3709.33 MFlops :       0.00 Sec : 832
     14 :     3486.00 MFlops :       0.00 Sec : 896
     15 :     4300.00 MFlops :       0.00 Sec : 960
     16 :     3488.00 MFlops :       0.00 Sec : 1024
     17 :     4193.33 MFlops :       0.00 Sec : 1088
     18 :     4988.00 MFlops :       0.00 Sec : 1152
     19 :     4408.00 MFlops :       0.00 Sec : 1216
     20 :     4577.78 MFlops :       0.00 Sec : 1280
     21 :     5307.56 MFlops :       0.00 Sec : 1344
     22 :     5000.00 MFlops :       0.00 Sec : 1408
     23 :     5720.73 MFlops :       0.00 Sec : 1472
     24 :     1745.95 MFlops :       0.00 Sec : 1536
     25 :     1975.61 MFlops :       0.00 Sec : 1600
     26 :     2026.84 MFlops :       0.00 Sec : 1664
     27 :     2086.53 MFlops :       0.00 Sec : 1728
     28 :     2113.48 MFlops :       0.00 Sec : 1792
     29 :     2188.00 MFlops :       0.00 Sec : 1856
     30 :     2130.30 MFlops :       0.00 Sec : 1920
     31 :     2249.97 MFlops :       0.00 Sec : 1984
     32 :     2190.77 MFlops :       0.00 Sec : 2048
     33 :      884.57 MFlops :       0.00 Sec : 2112
     34 :     1710.20 MFlops :       0.00 Sec : 2176
     35 :     2018.02 MFlops :       0.00 Sec : 2240
     36 :     2177.57 MFlops :       0.00 Sec : 2304
     37 :     2283.79 MFlops :       0.00 Sec : 2368
     38 :     2372.96 MFlops :       0.00 Sec : 2432
     39 :     2566.48 MFlops :       0.00 Sec : 2496
     40 :     2681.60 MFlops :       0.00 Sec : 2560
     41 :     2756.70 MFlops :       0.00 Sec : 2624
     42 :     2898.21 MFlops :       0.00 Sec : 2688
     43 :     2707.32 MFlops :       0.00 Sec : 2752
     44 :     3214.85 MFlops :       0.00 Sec : 2816
     45 :     3065.38 MFlops :       0.00 Sec : 2880
     46 :     3548.39 MFlops :       0.00 Sec : 2944
     47 :     3610.60 MFlops :       0.00 Sec : 3008
     48 :     3630.80 MFlops :       0.00 Sec : 3072
     49 :     4014.18 MFlops :       0.00 Sec : 3136
     50 :     3934.13 MFlops :       0.00 Sec : 3200
     51 :     4176.10 MFlops :       0.00 Sec : 3264
     52 :     4201.36 MFlops :       0.00 Sec : 3328
     53 :     4302.90 MFlops :       0.00 Sec : 3392
     54 :     4406.94 MFlops :       0.00 Sec : 3456
     55 :     5997.26 MFlops :       0.00 Sec : 3520
     56 :     6002.91 MFlops :       0.00 Sec : 3584
     57 :     6132.58 MFlops :       0.00 Sec : 3648
     58 :     6116.24 MFlops :       0.00 Sec : 3712
     59 :     6253.32 MFlops :       0.00 Sec : 3776
     60 :     6733.73 MFlops :       0.00 Sec : 3840
     61 :     6010.49 MFlops :       0.00 Sec : 3904
     62 :     6576.54 MFlops :       0.00 Sec : 3968
     63 :     6461.41 MFlops :       0.00 Sec : 4032
     64 :     6311.16 MFlops :       0.00 Sec : 4096
     65 :     6643.12 MFlops :       0.00 Sec : 4160
     66 :    11400.96 MFlops :       0.00 Sec : 4224
     67 :    12692.48 MFlops :       0.00 Sec : 4288
     68 :    13062.43 MFlops :       0.00 Sec : 4352
     69 :    12470.96 MFlops :       0.00 Sec : 4416
     70 :     8341.94 MFlops :       0.00 Sec : 4480
     71 :     8396.30 MFlops :       0.00 Sec : 4544
     72 :     8997.26 MFlops :       0.00 Sec : 4608
     73 :    10867.34 MFlops :       0.00 Sec : 4672
     74 :    13629.20 MFlops :       0.00 Sec : 4736
     75 :    14282.05 MFlops :       0.00 Sec : 4800
     76 :    11651.30 MFlops :       0.00 Sec : 4864
     77 :    11538.95 MFlops :       0.00 Sec : 4928
     78 :    12289.84 MFlops :       0.00 Sec : 4992
     79 :    11085.55 MFlops :       0.00 Sec : 5056
     80 :    12702.35 MFlops :       0.00 Sec : 5120
     81 :    12002.77 MFlops :       0.00 Sec : 5184
     82 :    12838.24 MFlops :       0.00 Sec : 5248
     83 :    16163.25 MFlops :       0.00 Sec : 5312
     84 :    16937.43 MFlops :       0.00 Sec : 5376
     85 :    16911.46 MFlops :       0.00 Sec : 5440
