From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
      1 :        1.60 MFlops :       0.00 Sec : 64
      2 :        2.50 MFlops :       0.00 Sec : 128
      3 :      128.00 MFlops :       0.00 Sec : 192
      4 :      152.00 MFlops :       0.00 Sec : 256
      5 :      600.00 MFlops :       0.00 Sec : 320
      6 :      524.00 MFlops :       0.00 Sec : 384
      7 :      840.00 MFlops :       0.00 Sec : 448
      8 :     1264.00 MFlops :       0.00 Sec : 512
      9 :     1208.00 MFlops :       0.00 Sec : 576
     10 :     1666.67 MFlops :       0.00 Sec : 640
     11 :     2229.33 MFlops :       0.00 Sec : 704
     12 :     2180.00 MFlops :       0.00 Sec : 768
     13 :     2782.00 MFlops :       0.00 Sec : 832
     14 :     3486.00 MFlops :       0.00 Sec : 896
     15 :     2866.67 MFlops :       0.00 Sec : 960
     16 :     3488.00 MFlops :       0.00 Sec : 1024
     17 :     4193.33 MFlops :       0.00 Sec : 1088
     18 :     4275.43 MFlops :       0.00 Sec : 1152
     19 :     3918.22 MFlops :       0.00 Sec : 1216
     20 :     4577.78 MFlops :       0.00 Sec : 1280
     21 :     2809.88 MFlops :       0.00 Sec : 1344
     22 :     5500.00 MFlops :       0.00 Sec : 1408
     23 :     5244.00 MFlops :       0.00 Sec : 1472
     24 :     5506.46 MFlops :       0.00 Sec : 1536
     25 :     5785.71 MFlops :       0.00 Sec : 1600
     26 :     6080.53 MFlops :       0.00 Sec : 1664
     27 :     6014.12 MFlops :       0.00 Sec : 1728
     28 :     6340.44 MFlops :       0.00 Sec : 1792
     29 :     6679.16 MFlops :       0.00 Sec : 1856
     30 :     7030.00 MFlops :       0.00 Sec : 1920
     31 :     6749.91 MFlops :       0.00 Sec : 1984
     32 :     7120.00 MFlops :       0.00 Sec : 2048
     33 :     7212.62 MFlops :       0.00 Sec : 2112
     34 :     7329.43 MFlops :       0.00 Sec : 2176
     35 :     7466.67 MFlops :       0.00 Sec : 2240
     36 :     7390.55 MFlops :       0.00 Sec : 2304
     37 :     7569.14 MFlops :       0.00 Sec : 2368
     38 :     6525.64 MFlops :       0.00 Sec : 2432
     39 :     7763.60 MFlops :       0.00 Sec : 2496
     40 :     7980.95 MFlops :       0.00 Sec : 2560
     41 :     8025.07 MFlops :       0.00 Sec : 2624
     42 :     8262.98 MFlops :       0.00 Sec : 2688
     43 :     8175.06 MFlops :       0.00 Sec : 2752
     44 :     8431.40 MFlops :       0.00 Sec : 2816
     45 :     8389.47 MFlops :       0.00 Sec : 2880
     46 :     8516.13 MFlops :       0.00 Sec : 2944
     47 :     8653.97 MFlops :       0.00 Sec : 3008
     48 :     8937.35 MFlops :       0.00 Sec : 3072
     49 :     8831.20 MFlops :       0.00 Sec : 3136
     50 :     9000.00 MFlops :       0.00 Sec : 3200
     51 :     9176.42 MFlops :       0.00 Sec : 3264
     52 :     9360.00 MFlops :       0.00 Sec : 3328
     53 :     9322.95 MFlops :       0.00 Sec : 3392
     54 :     9633.77 MFlops :       0.00 Sec : 3456
     55 :     9728.89 MFlops :       0.00 Sec : 3520
     56 :     9731.03 MFlops :       0.00 Sec : 3584
     57 :     9849.29 MFlops :       0.00 Sec : 3648
     58 :     9976.00 MFlops :       0.00 Sec : 3712
     59 :    10016.89 MFlops :       0.00 Sec : 3776
     60 :    10252.25 MFlops :       0.00 Sec : 3840
     61 :    10222.97 MFlops :       0.00 Sec : 3904
     62 :    10381.16 MFlops :       0.00 Sec : 3968
     63 :    10378.96 MFlops :       0.00 Sec : 4032
     64 :    10550.72 MFlops :       0.00 Sec : 4096
     65 :     8322.99 MFlops :       0.00 Sec : 4160
     66 :    10908.83 MFlops :       0.00 Sec : 4224
     67 :    11414.10 MFlops :       0.00 Sec : 4288
     68 :    10986.28 MFlops :       0.00 Sec : 4352
     69 :    11404.37 MFlops :       0.00 Sec : 4416
     70 :    12658.74 MFlops :       0.00 Sec : 4480
     71 :    11733.96 MFlops :       0.00 Sec : 4544
     72 :     9706.40 MFlops :       0.00 Sec : 4608
     73 :    12153.42 MFlops :       0.00 Sec : 4672
     74 :    13208.54 MFlops :       0.00 Sec : 4736
     75 :    12446.93 MFlops :       0.00 Sec : 4800
     76 :    13325.33 MFlops :       0.00 Sec : 4864
     77 :    12304.29 MFlops :       0.00 Sec : 4928
     78 :    12923.34 MFlops :       0.00 Sec : 4992
     79 :    12960.72 MFlops :       0.00 Sec : 5056
     80 :    13070.53 MFlops :       0.00 Sec : 5120
     81 :    13568.35 MFlops :       0.00 Sec : 5184
     82 :    13307.21 MFlops :       0.00 Sec : 5248
     83 :    14257.21 MFlops :       0.00 Sec : 5312
     84 :    13988.50 MFlops :       0.00 Sec : 5376
     85 :    14367.26 MFlops :       0.00 Sec : 5440
     86 :    15149.95 MFlops :       0.00 Sec : 5504
     87 :    15010.00 MFlops :       0.00 Sec : 5568
     88 :    15468.36 MFlops :       0.00 Sec : 5632
     89 :    15408.03 MFlops :       0.00 Sec : 5696
     90 :    15869.14 MFlops :       0.00 Sec : 5760
     91 :    16010.15 MFlops :       0.00 Sec : 5824
     92 :    16283.64 MFlops :       0.00 Sec : 5888
     93 :    16306.24 MFlops :       0.00 Sec : 5952
     94 :    12485.98 MFlops :       0.00 Sec : 6016
     95 :    13037.93 MFlops :       0.00 Sec : 6080
     96 :    11705.92 MFlops :       0.00 Sec : 6144
     97 :    12881.60 MFlops :       0.00 Sec : 6208
     98 :    11861.73 MFlops :       0.00 Sec : 6272
     99 :    14802.26 MFlops :       0.00 Sec : 6336
    100 :    13858.64 MFlops :       0.00 Sec : 6400
    101 :    15629.82 MFlops :       0.00 Sec : 6464
    102 :    14556.58 MFlops :       0.00 Sec : 6528
    103 :    15307.22 MFlops :       0.00 Sec : 6592
    104 :    13756.82 MFlops :       0.00 Sec : 6656
    105 :    13473.85 MFlops :       0.00 Sec : 6720
    106 :    13955.42 MFlops :       0.00 Sec : 6784
    107 :    13834.71 MFlops :       0.00 Sec : 6848
    108 :    13371.80 MFlops :       0.00 Sec : 6912
    109 :    14262.00 MFlops :       0.00 Sec : 6976
    110 :    13744.64 MFlops :       0.00 Sec : 7040
    111 :    15581.69 MFlops :       0.00 Sec : 7104
    112 :    15973.22 MFlops :       0.00 Sec : 7168
    113 :    15199.06 MFlops :       0.00 Sec : 7232
    114 :    14839.97 MFlops :       0.00 Sec : 7296
    115 :    17558.17 MFlops :       0.00 Sec : 7360
    116 :    15785.74 MFlops :       0.00 Sec : 7424
    117 :    16774.62 MFlops :       0.00 Sec : 7488
    118 :    17450.76 MFlops :       0.00 Sec : 7552
    119 :    16479.08 MFlops :       0.00 Sec : 7616
    120 :    18281.84 MFlops :       0.00 Sec : 7680
    121 :    17651.44 MFlops :       0.00 Sec : 7744
    122 :    16287.31 MFlops :       0.00 Sec : 7808
    123 :    19267.44 MFlops :       0.00 Sec : 7872
    124 :    16931.30 MFlops :       0.00 Sec : 7936
    125 :    17853.45 MFlops :       0.00 Sec : 8000
    126 :    16342.08 MFlops :       0.00 Sec : 8064
    127 :    17212.42 MFlops :       0.00 Sec : 8128
    128 :    19612.22 MFlops :       0.00 Sec : 8192
    129 :    17299.85 MFlops :       0.00 Sec : 8256
    130 :    19005.87 MFlops :       0.00 Sec : 8320
    131 :    17353.78 MFlops :       0.00 Sec : 8384
    132 :    18397.71 MFlops :       0.00 Sec : 8448
    133 :    18242.00 MFlops :       0.00 Sec : 8512
    134 :    20033.95 MFlops :       0.00 Sec : 8576
    135 :    18885.67 MFlops :       0.00 Sec : 8640
    136 :    20246.87 MFlops :       0.00 Sec : 8704
    137 :    17806.42 MFlops :       0.00 Sec : 8768
    138 :    18993.36 MFlops :       0.00 Sec : 8832
    139 :    17808.68 MFlops :       0.00 Sec : 8896
    140 :    19129.04 MFlops :       0.00 Sec : 8960
    141 :    17516.99 MFlops :       0.00 Sec : 9024
    142 :    18777.70 MFlops :       0.00 Sec : 9088
    143 :    18943.75 MFlops :       0.00 Sec : 9152
    144 :    19415.76 MFlops :       0.00 Sec : 9216
    145 :    18278.19 MFlops :       0.00 Sec : 9280
    146 :    19246.82 MFlops :       0.00 Sec : 9344
    147 :    19111.11 MFlops :       0.00 Sec : 9408
    148 :    18842.20 MFlops :       0.00 Sec : 9472
    149 :    18977.93 MFlops :       0.00 Sec : 9536
    150 :    19321.47 MFlops :       0.00 Sec : 9600
    151 :    19153.26 MFlops :       0.00 Sec : 9664
    152 :    19619.20 MFlops :       0.00 Sec : 9728
    153 :    19904.85 MFlops :       0.00 Sec : 9792
    154 :    19307.67 MFlops :       0.00 Sec : 9856
    155 :    20066.60 MFlops :       0.00 Sec : 9920
    156 :    19583.33 MFlops :       0.00 Sec : 9984
    157 :    19713.90 MFlops :       0.00 Sec : 10048
    158 :    21474.39 MFlops :       0.00 Sec : 10112
    159 :    19666.57 MFlops :       0.00 Sec : 10176
    160 :    19589.19 MFlops :       0.00 Sec : 10240
    161 :    21343.82 MFlops :       0.00 Sec : 10304
    162 :    21133.82 MFlops :       0.00 Sec : 10368
    163 :    22214.62 MFlops :       0.00 Sec : 10432
    164 :    21603.82 MFlops :       0.00 Sec : 10496
    165 :    21525.45 MFlops :       0.00 Sec : 10560
    166 :    21821.32 MFlops :       0.00 Sec : 10624
    167 :    22238.63 MFlops :       0.00 Sec : 10688
    168 :    20841.83 MFlops :       0.00 Sec : 10752
    169 :    19639.74 MFlops :       0.00 Sec : 10816
    170 :    22146.18 MFlops :       0.00 Sec : 10880
    171 :    22350.14 MFlops :       0.00 Sec : 10944
    172 :    22331.57 MFlops :       0.00 Sec : 11008
    173 :    21481.19 MFlops :       0.00 Sec : 11072
    174 :    23568.82 MFlops :       0.00 Sec : 11136
    175 :    22535.23 MFlops :       0.00 Sec : 11200
    176 :    23751.77 MFlops :       0.00 Sec : 11264
    177 :    23693.03 MFlops :       0.00 Sec : 11328
    178 :    23255.53 MFlops :       0.00 Sec : 11392
    179 :    23129.46 MFlops :       0.00 Sec : 11456
    180 :    23430.86 MFlops :       0.00 Sec : 11520
    181 :    24042.33 MFlops :       0.00 Sec : 11584
    182 :    23985.83 MFlops :       0.00 Sec : 11648
    183 :    23185.56 MFlops :       0.00 Sec : 11712
    184 :    24954.62 MFlops :       0.00 Sec : 11776
    185 :    24040.74 MFlops :       0.00 Sec : 11840
    186 :    23509.00 MFlops :       0.00 Sec : 11904
    187 :    24325.71 MFlops :       0.00 Sec : 11968
    188 :    24632.33 MFlops :       0.00 Sec : 12032
    189 :    24565.17 MFlops :       0.00 Sec : 12096
    190 :    24227.53 MFlops :       0.00 Sec : 12160
    191 :    25199.00 MFlops :       0.00 Sec : 12224
    192 :    24820.17 MFlops :       0.00 Sec : 12288
    193 :    24265.52 MFlops :       0.00 Sec : 12352
    194 :    24154.09 MFlops :       0.00 Sec : 12416
    195 :    24902.15 MFlops :       0.00 Sec : 12480
    196 :    25050.20 MFlops :       0.00 Sec : 12544
    197 :    24754.05 MFlops :       0.00 Sec : 12608
    198 :    24034.92 MFlops :       0.00 Sec : 12672
    199 :    24330.50 MFlops :       0.00 Sec : 12736
    200 :    26126.61 MFlops :       0.00 Sec : 12800
