From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        0.73 MFlops
      2 :         inf MFlops
      3 :      216.00 MFlops
      4 :      512.00 MFlops
      5 :       52.63 MFlops
      6 :      144.00 MFlops
      7 :      548.80 MFlops
      8 :      819.20 MFlops
      9 :      265.09 MFlops
     10 :      470.59 MFlops
     11 :      887.33 MFlops
     12 :      921.60 MFlops
     13 :      836.95 MFlops
     14 :     1463.47 MFlops
     15 :     1687.50 MFlops
     16 :     2978.91 MFlops
     17 :     1637.67 MFlops
     18 :     3332.57 MFlops
     19 :     2612.95 MFlops
     20 :     3764.71 MFlops
     21 :     3087.00 MFlops
     22 :     5324.00 MFlops
     23 :     5725.65 MFlops
     24 :     3813.52 MFlops
     25 :     4310.34 MFlops
     26 :     6391.27 MFlops
     27 :     7157.45 MFlops
     28 :     6754.46 MFlops
     29 :     7504.31 MFlops
     30 :     8000.00 MFlops
     31 :    10833.09 MFlops
     32 :     9362.29 MFlops
     33 :     9583.20 MFlops
     34 :     9248.00 MFlops
     35 :    11827.59 MFlops
     36 :    12040.26 MFlops
     37 :    11577.83 MFlops
     38 :    11864.22 MFlops
     39 :    12488.21 MFlops
     40 :    13128.21 MFlops
     41 :    15753.37 MFlops
     42 :    14456.20 MFlops
     43 :    14134.58 MFlops
     44 :    11357.87 MFlops
     45 :    13500.00 MFlops
     46 :    17697.45 MFlops
     47 :    15671.40 MFlops
     48 :    14995.53 MFlops
     49 :    18454.75 MFlops
     50 :    15625.00 MFlops
     51 :    16844.57 MFlops
     52 :    18747.73 MFlops
     53 :    19524.85 MFlops
     54 :    19683.00 MFlops
     55 :    20166.67 MFlops
     56 :    17561.60 MFlops
     57 :    18290.67 MFlops
     58 :    22954.35 MFlops
     59 :    18461.03 MFlops
     60 :    18382.98 MFlops
     61 :    18720.08 MFlops
     62 :    22697.90 MFlops
     63 :    20837.25 MFlops
     64 :    18724.57 MFlops
     65 :    23126.32 MFlops
     66 :    22115.08 MFlops
     67 :    21106.18 MFlops
     68 :    23730.72 MFlops
     69 :    17289.95 MFlops
     70 :    21606.30 MFlops
     71 :    25338.83 MFlops
     72 :    14151.58 MFlops
     73 :    18093.81 MFlops
     74 :    17618.43 MFlops
     75 :    18442.62 MFlops
     76 :    18580.99 MFlops
     77 :    18445.78 MFlops
     78 :    20301.69 MFlops
     79 :    20869.38 MFlops
     80 :    18962.96 MFlops
     81 :    19774.55 MFlops
     82 :    19346.25 MFlops
     83 :    21475.57 MFlops
     84 :    20888.25 MFlops
     85 :    19890.69 MFlops
     86 :    20769.18 MFlops
     87 :    21414.73 MFlops
     88 :    20117.25 MFlops
     89 :    22203.75 MFlops
     90 :    23328.00 MFlops
     91 :    24018.20 MFlops
     92 :    23158.01 MFlops
     93 :    22499.50 MFlops
     94 :    20961.11 MFlops
     95 :    24941.82 MFlops
     96 :    20878.73 MFlops
     97 :    21349.08 MFlops
