From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        0.40 MFlops
      2 :       64.00 MFlops
      3 :      216.00 MFlops
      4 :         inf MFlops
      5 :     1000.00 MFlops
      6 :      172.80 MFlops
      7 :     1372.00 MFlops
      8 :     4096.00 MFlops
      9 :     5832.00 MFlops
     10 :     8000.00 MFlops
     11 :    10648.00 MFlops
     12 :     6912.00 MFlops
     13 :     8788.00 MFlops
     14 :    10976.00 MFlops
     15 :    13500.00 MFlops
     16 :    10922.67 MFlops
     17 :     9826.00 MFlops
     18 :    11664.00 MFlops
     19 :    13718.00 MFlops
     20 :    16000.00 MFlops
     21 :    14817.60 MFlops
     22 :    14197.33 MFlops
     23 :    12167.00 MFlops
     24 :    15798.86 MFlops
     25 :    13888.89 MFlops
     26 :    15623.11 MFlops
     27 :    15746.40 MFlops
     28 :    14634.67 MFlops
     29 :    16259.33 MFlops
     30 :    16615.38 MFlops
     31 :    15888.53 MFlops
     32 :    16384.00 MFlops
     33 :     3194.40 MFlops
     34 :     6550.67 MFlops
     35 :    16333.33 MFlops
     36 :    16965.82 MFlops
     37 :    18419.27 MFlops
     38 :    18290.67 MFlops
     39 :    18982.08 MFlops
     40 :    18962.96 MFlops
     41 :    20421.04 MFlops
     42 :    19756.80 MFlops
     43 :    17668.22 MFlops
     44 :    22715.73 MFlops
     45 :    22781.25 MFlops
     46 :    19467.20 MFlops
     47 :    23730.97 MFlops
     48 :    20575.26 MFlops
     49 :    20460.70 MFlops
     50 :    21276.60 MFlops
     51 :    19294.69 MFlops
     52 :    17854.98 MFlops
     53 :    22472.00 MFlops
     54 :    23328.00 MFlops
     55 :    23350.88 MFlops
     56 :    23812.34 MFlops
     57 :    25543.86 MFlops
     58 :    25588.46 MFlops
     59 :    25672.37 MFlops
     60 :    26181.82 MFlops
     61 :    27102.21 MFlops
     62 :    28038.59 MFlops
     63 :    29417.29 MFlops
     64 :    30393.51 MFlops
     65 :    24965.91 MFlops
     66 :    21296.00 MFlops
     67 :    29342.73 MFlops
     68 :    33098.11 MFlops
     69 :    32445.33 MFlops
     70 :    31906.98 MFlops
     71 :    32171.78 MFlops
     72 :    33550.38 MFlops
     73 :    32759.33 MFlops
     74 :    33420.54 MFlops
     75 :    35526.32 MFlops
     76 :    34095.22 MFlops
     77 :    35458.87 MFlops
     78 :    31118.16 MFlops
     79 :    27202.15 MFlops
     80 :    32000.00 MFlops
     81 :    34286.52 MFlops
     82 :    33671.33 MFlops
     83 :    34653.76 MFlops
     84 :    34359.65 MFlops
     85 :    35861.31 MFlops
     86 :    36607.54 MFlops
     87 :    35355.87 MFlops
     88 :    35172.75 MFlops
     89 :    37103.63 MFlops
     90 :    34305.88 MFlops
     91 :    36985.08 MFlops
     92 :    40451.32 MFlops
     93 :    38302.71 MFlops
     94 :    33390.31 MFlops
     95 :    40827.38 MFlops
     96 :    37648.34 MFlops
     97 :    34278.80 MFlops
     98 :    39838.81 MFlops
     99 :    38618.87 MFlops
    100 :    40609.14 MFlops
    101 :    42486.64 MFlops
    102 :    38589.38 MFlops
    103 :    42643.00 MFlops
    104 :    43057.00 MFlops
    105 :    43891.00 MFlops
    106 :    43707.01 MFlops
    107 :    44547.02 MFlops
    108 :    42883.81 MFlops
    109 :    41944.26 MFlops
    110 :    47535.71 MFlops
    111 :    44475.80 MFlops
    112 :    45503.74 MFlops
    113 :    45267.36 MFlops
    114 :    45237.98 MFlops
    115 :    45230.48 MFlops
    116 :    46944.24 MFlops
    117 :    48350.58 MFlops
    118 :    47281.50 MFlops
    119 :    49381.95 MFlops
    120 :    48505.26 MFlops
    121 :    48042.33 MFlops
    122 :    49579.47 MFlops
    123 :    48022.37 MFlops
    124 :    47222.89 MFlops
    125 :    51738.41 MFlops
    126 :    50323.92 MFlops
    127 :    51209.57 MFlops
    128 :    51781.53 MFlops
    129 :    50068.55 MFlops
    130 :    46252.63 MFlops
    131 :    51092.98 MFlops
    132 :    51395.93 MFlops
    133 :    52280.82 MFlops
    134 :    52449.13 MFlops
    135 :    52071.43 MFlops
    136 :    53096.70 MFlops
    137 :    54133.75 MFlops
    138 :    54187.05 MFlops
    139 :    56096.48 MFlops
    140 :    54068.97 MFlops
    141 :    53267.86 MFlops
    142 :    54799.77 MFlops
    143 :    55699.18 MFlops
    144 :    57011.63 MFlops
    145 :    54930.18 MFlops
    146 :    56972.74 MFlops
    147 :    55973.97 MFlops
    148 :    57124.09 MFlops
    149 :    59070.52 MFlops
    150 :    58189.66 MFlops
    151 :    62884.95 MFlops
    152 :    57807.54 MFlops
    153 :    57305.23 MFlops
    154 :    61253.90 MFlops
    155 :    59226.64 MFlops
    156 :    47087.33 MFlops
    157 :    45461.30 MFlops
    158 :    60103.80 MFlops
    159 :    60446.30 MFlops
    160 :    59795.62 MFlops
    161 :    62992.92 MFlops
    162 :    62637.61 MFlops
    163 :    66498.99 MFlops
    164 :    63013.49 MFlops
    165 :    63718.09 MFlops
    166 :    63093.74 MFlops
    167 :    62832.55 MFlops
    168 :    62185.34 MFlops
    169 :    62081.14 MFlops
    170 :    64117.46 MFlops
    171 :    65469.21 MFlops
    172 :    63407.45 MFlops
    173 :    64721.46 MFlops
    174 :    64440.66 MFlops
    175 :    64376.88 MFlops
    176 :    62844.68 MFlops
    177 :    64761.85 MFlops
    178 :    65578.51 MFlops
    179 :    63725.99 MFlops
    180 :    64087.91 MFlops
    181 :    67002.72 MFlops
    182 :    67452.51 MFlops
    183 :    65721.04 MFlops
    184 :    66359.56 MFlops
    185 :    68081.99 MFlops
    186 :    64834.82 MFlops
    187 :    68833.72 MFlops
    188 :    65707.51 MFlops
    189 :    68367.28 MFlops
    190 :    66430.99 MFlops
    191 :    67485.43 MFlops
    192 :    69306.12 MFlops
    193 :    69375.70 MFlops
    194 :    64685.57 MFlops
    195 :    67715.75 MFlops
    196 :    68684.48 MFlops
    197 :    70545.54 MFlops
    198 :    67134.20 MFlops
    199 :    68976.80 MFlops
    200 :    70953.44 MFlops
