From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.80 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :      144.00 MFlops
      7 :         inf MFlops
      8 :      256.00 MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :      484.00 MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :     1024.00 MFlops
     17 :      165.14 MFlops
     18 :      259.20 MFlops
     19 :      481.33 MFlops
     20 :      228.57 MFlops
     21 :      352.80 MFlops
     22 :      484.00 MFlops
     23 :      423.20 MFlops
     24 :      768.00 MFlops
     25 :      625.00 MFlops
     26 :      676.00 MFlops
     27 :      194.40 MFlops
     28 :      224.00 MFlops
     29 :     1121.33 MFlops
     30 :      180.00 MFlops
     31 :     1922.00 MFlops
     32 :      682.67 MFlops
     33 :      484.00 MFlops
     34 :      462.40 MFlops
     35 :      490.00 MFlops
     36 :      864.00 MFlops
     37 :      684.50 MFlops
     38 :      962.67 MFlops
     39 :     1216.80 MFlops
     40 :      914.29 MFlops
     41 :      840.50 MFlops
     42 :     1176.00 MFlops
     43 :     1849.00 MFlops
     44 :     1548.80 MFlops
     45 :     1350.00 MFlops
     46 :      846.40 MFlops
     47 :     1472.67 MFlops
     48 :      837.82 MFlops
     49 :     1067.11 MFlops
     50 :     2000.00 MFlops
     51 :     1486.29 MFlops
     52 :      772.57 MFlops
     53 :     2247.20 MFlops
     54 :     1458.00 MFlops
     55 :     1210.00 MFlops
     56 :     1254.40 MFlops
     57 :     1181.45 MFlops
     58 :     1345.60 MFlops
     59 :     1547.11 MFlops
     60 :     1600.00 MFlops
     61 :     1353.09 MFlops
     62 :     1708.44 MFlops
     63 :     1443.27 MFlops
     64 :     2340.57 MFlops
     65 :     1690.00 MFlops
     66 :     1742.40 MFlops
     67 :     1795.60 MFlops
     68 :     2642.29 MFlops
     69 :     1904.40 MFlops
     70 :     4900.00 MFlops
     71 :     2016.40 MFlops
     72 :     5184.00 MFlops
     73 :     3045.14 MFlops
     74 :     4380.80 MFlops
     75 :     2045.45 MFlops
     76 :     5776.00 MFlops
     77 :     2964.50 MFlops
     78 :     2028.00 MFlops
     79 :     2496.40 MFlops
     80 :     4266.67 MFlops
     81 :     2624.40 MFlops
     82 :     3362.00 MFlops
     83 :     2296.33 MFlops
     84 :     3136.00 MFlops
     85 :     7225.00 MFlops
     86 :     2958.40 MFlops
     87 :     3784.50 MFlops
     88 :     4425.14 MFlops
     89 :     4526.29 MFlops
     90 :     2945.45 MFlops
     91 :     5520.67 MFlops
     92 :     5642.67 MFlops
     93 :     4942.29 MFlops
     94 :     3927.11 MFlops
     95 :     4011.11 MFlops
     96 :     3072.00 MFlops
     97 :     7527.20 MFlops
     98 :     6402.67 MFlops
     99 :     3564.00 MFlops
    100 :     4000.00 MFlops
    101 :     4533.78 MFlops
    102 :     4161.60 MFlops
    103 :     4243.60 MFlops
    104 :     4807.11 MFlops
    105 :     7350.00 MFlops
    106 :     8988.80 MFlops
    107 :     4579.60 MFlops
    108 :     7776.00 MFlops
    109 :     7920.67 MFlops
    110 :     4400.00 MFlops
    111 :     4107.00 MFlops
    112 :     4561.45 MFlops
    113 :     7296.57 MFlops
    114 :     8664.00 MFlops
    115 :     5290.00 MFlops
    116 :     6728.00 MFlops
    117 :     4563.00 MFlops
    118 :     7956.57 MFlops
    119 :     4720.33 MFlops
    120 :     4800.00 MFlops
    121 :     5324.00 MFlops
    122 :     8505.14 MFlops
    123 :     8645.14 MFlops
    124 :     7688.00 MFlops
    125 :     5681.82 MFlops
    126 :     5773.09 MFlops
    127 :     8064.50 MFlops
    128 :     5041.23 MFlops
    129 :     5120.31 MFlops
    130 :     5200.00 MFlops
    131 :     6864.40 MFlops
    132 :     5361.23 MFlops
    133 :     6432.36 MFlops
    134 :     7980.44 MFlops
    135 :     5607.69 MFlops
    136 :     6725.82 MFlops
    137 :     5775.08 MFlops
    138 :     7617.60 MFlops
    139 :     6440.33 MFlops
    140 :    11200.00 MFlops
    141 :     7952.40 MFlops
    142 :     8065.60 MFlops
    143 :     5842.57 MFlops
    144 :     6380.31 MFlops
    145 :     3504.17 MFlops
    146 :     7751.27 MFlops
    147 :    10804.50 MFlops
    148 :     8761.60 MFlops
    149 :     7400.33 MFlops
    150 :     8181.82 MFlops
    151 :     8291.27 MFlops
    152 :     8401.45 MFlops
    153 :     8512.36 MFlops
    154 :    13552.00 MFlops
    155 :    12012.50 MFlops
    156 :    10816.00 MFlops
    157 :     9859.60 MFlops
    158 :    14265.14 MFlops
    159 :     7778.77 MFlops
    160 :    14628.57 MFlops
    161 :    11520.44 MFlops
    162 :    10497.60 MFlops
    163 :    11808.44 MFlops
    164 :    11953.78 MFlops
    165 :    12100.00 MFlops
    166 :     9185.33 MFlops
    167 :    11155.60 MFlops
    168 :    11289.60 MFlops
    169 :     8788.00 MFlops
    170 :     9633.33 MFlops
    171 :    10633.09 MFlops
    172 :     9861.33 MFlops
    173 :     9976.33 MFlops
    174 :    11009.45 MFlops
    175 :    10208.33 MFlops
    176 :     9531.08 MFlops
    177 :    12531.60 MFlops
    178 :    10561.33 MFlops
    179 :     9154.57 MFlops
    180 :    11781.82 MFlops
    181 :    10920.33 MFlops
    182 :    12045.09 MFlops
    183 :     8930.40 MFlops
    184 :     9673.14 MFlops
    185 :     9778.57 MFlops
    186 :     8140.24 MFlops
    187 :     9325.07 MFlops
    188 :     8836.00 MFlops
    189 :     8930.25 MFlops
    190 :     8022.22 MFlops
    191 :     8583.76 MFlops
    192 :     9830.40 MFlops
    193 :     9312.25 MFlops
    194 :    10036.27 MFlops
    195 :    10864.29 MFlops
    196 :    10976.00 MFlops
    197 :     8624.22 MFlops
    198 :     8253.47 MFlops
    199 :     8337.05 MFlops
    200 :     8421.05 MFlops
