From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        1.33 MFlops
      2 :         inf MFlops
      3 :       36.00 MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :     1156.00 MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :         inf MFlops
     24 :     2304.00 MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :         inf MFlops
     28 :         inf MFlops
     29 :         inf MFlops
     30 :         inf MFlops
     31 :         inf MFlops
     32 :         inf MFlops
     33 :         inf MFlops
     34 :         inf MFlops
     35 :         inf MFlops
     36 :     5184.00 MFlops
     37 :         inf MFlops
     38 :         inf MFlops
     39 :     6084.00 MFlops
     40 :         inf MFlops
     41 :         inf MFlops
     42 :         inf MFlops
     43 :         inf MFlops
     44 :     7744.00 MFlops
     45 :     8100.00 MFlops
     46 :     8464.00 MFlops
     47 :         inf MFlops
     48 :     9216.00 MFlops
     49 :     9604.00 MFlops
     50 :         inf MFlops
     51 :    10404.00 MFlops
     52 :    10816.00 MFlops
     53 :    11236.00 MFlops
     54 :         inf MFlops
     55 :    12100.00 MFlops
     56 :    12544.00 MFlops
     57 :    12996.00 MFlops
     58 :    13456.00 MFlops
     59 :         inf MFlops
     60 :    14400.00 MFlops
     61 :    14884.00 MFlops
     62 :    15376.00 MFlops
     63 :    15876.00 MFlops
     64 :    16384.00 MFlops
     65 :    16900.00 MFlops
     66 :    17424.00 MFlops
     67 :    17956.00 MFlops
     68 :    18496.00 MFlops
     69 :    19044.00 MFlops
     70 :    19600.00 MFlops
     71 :    10082.00 MFlops
     72 :    20736.00 MFlops
     73 :    21316.00 MFlops
     74 :    21904.00 MFlops
     75 :    11250.00 MFlops
     76 :    11552.00 MFlops
     77 :    23716.00 MFlops
     78 :    24336.00 MFlops
     79 :    24964.00 MFlops
     80 :    12800.00 MFlops
     81 :    13122.00 MFlops
     82 :    13448.00 MFlops
     83 :    27556.00 MFlops
     84 :    14112.00 MFlops
     85 :    14450.00 MFlops
     86 :    29584.00 MFlops
     87 :    15138.00 MFlops
     88 :    15488.00 MFlops
     89 :    15842.00 MFlops
     90 :    16200.00 MFlops
     91 :    16562.00 MFlops
     92 :    16928.00 MFlops
     93 :    17298.00 MFlops
     94 :    17672.00 MFlops
     95 :    18050.00 MFlops
     96 :    18432.00 MFlops
     97 :    12545.33 MFlops
     98 :    19208.00 MFlops
     99 :    13068.00 MFlops
    100 :    20000.00 MFlops
    101 :    13601.33 MFlops
    102 :    20808.00 MFlops
    103 :    21218.00 MFlops
    104 :    14421.33 MFlops
    105 :    22050.00 MFlops
    106 :    14981.33 MFlops
    107 :    15265.33 MFlops
    108 :    15552.00 MFlops
    109 :    15841.33 MFlops
    110 :    16133.33 MFlops
    111 :    16428.00 MFlops
    112 :    16725.33 MFlops
    113 :    17025.33 MFlops
    114 :    17328.00 MFlops
    115 :    13225.00 MFlops
    116 :    17941.33 MFlops
    117 :    13689.00 MFlops
    118 :    18565.33 MFlops
    119 :    18881.33 MFlops
    120 :    14400.00 MFlops
    121 :    19521.33 MFlops
    122 :    14884.00 MFlops
    123 :    15129.00 MFlops
    124 :    15376.00 MFlops
    125 :    20833.33 MFlops
    126 :    15876.00 MFlops
    127 :    16129.00 MFlops
    128 :    16384.00 MFlops
    129 :    16641.00 MFlops
    130 :    16900.00 MFlops
    131 :    17161.00 MFlops
    132 :    17424.00 MFlops
    133 :    17689.00 MFlops
    134 :    14364.80 MFlops
    135 :    14580.00 MFlops
    136 :    14796.80 MFlops
    137 :    15015.20 MFlops
    138 :    15235.20 MFlops
    139 :    15456.80 MFlops
    140 :    15680.00 MFlops
    141 :    15904.80 MFlops
    142 :    16131.20 MFlops
    143 :    16359.20 MFlops
    144 :    20736.00 MFlops
    145 :    16820.00 MFlops
    146 :    17052.80 MFlops
    147 :    17287.20 MFlops
    148 :    17523.20 MFlops
    149 :    17760.80 MFlops
    150 :    15000.00 MFlops
    151 :    18240.80 MFlops
    152 :    18483.20 MFlops
    153 :    15606.00 MFlops
