From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        2.67 MFlops
      2 :       32.00 MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :      648.00 MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :     2048.00 MFlops
     17 :         inf MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :         inf MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :     5408.00 MFlops
     27 :     5832.00 MFlops
     28 :         inf MFlops
     29 :     6728.00 MFlops
     30 :         inf MFlops
     31 :     7688.00 MFlops
     32 :     8192.00 MFlops
     33 :     8712.00 MFlops
     34 :     9248.00 MFlops
     35 :         inf MFlops
     36 :    10368.00 MFlops
     37 :    10952.00 MFlops
     38 :    11552.00 MFlops
     39 :    12168.00 MFlops
     40 :    12800.00 MFlops
     41 :    13448.00 MFlops
     42 :    14112.00 MFlops
     43 :    14792.00 MFlops
     44 :    15488.00 MFlops
     45 :    16200.00 MFlops
     46 :     8464.00 MFlops
     47 :    17672.00 MFlops
     48 :    18432.00 MFlops
     49 :    19208.00 MFlops
     50 :    20000.00 MFlops
     51 :    10404.00 MFlops
     52 :    10816.00 MFlops
     53 :    11236.00 MFlops
     54 :    23328.00 MFlops
     55 :    24200.00 MFlops
     56 :    25088.00 MFlops
     57 :    25992.00 MFlops
     58 :    13456.00 MFlops
     59 :    13924.00 MFlops
     60 :    14400.00 MFlops
     61 :    14884.00 MFlops
     62 :    15376.00 MFlops
     63 :    15876.00 MFlops
     64 :    16384.00 MFlops
     65 :    16900.00 MFlops
     66 :    17424.00 MFlops
     67 :    11970.67 MFlops
     68 :    18496.00 MFlops
     69 :    19044.00 MFlops
     70 :    19600.00 MFlops
     71 :    20164.00 MFlops
     72 :    13824.00 MFlops
     73 :    14210.67 MFlops
     74 :    14602.67 MFlops
     75 :    22500.00 MFlops
     76 :    23104.00 MFlops
     77 :    23716.00 MFlops
     78 :    16224.00 MFlops
     79 :    16642.67 MFlops
     80 :    17066.67 MFlops
     81 :    17496.00 MFlops
     82 :    13448.00 MFlops
     83 :    18370.67 MFlops
     84 :    18816.00 MFlops
     85 :    19266.67 MFlops
     86 :    19722.67 MFlops
     87 :    20184.00 MFlops
     88 :    15488.00 MFlops
     89 :    21122.67 MFlops
     90 :    16200.00 MFlops
     91 :    16562.00 MFlops
     92 :    16928.00 MFlops
     93 :    13838.40 MFlops
     94 :    17672.00 MFlops
     95 :    18050.00 MFlops
     96 :    18432.00 MFlops
     97 :    15054.40 MFlops
     98 :    19208.00 MFlops
     99 :    15681.60 MFlops
    100 :    20000.00 MFlops
    101 :    16321.60 MFlops
    102 :    16646.40 MFlops
    103 :    16974.40 MFlops
    104 :    17305.60 MFlops
    105 :    17640.00 MFlops
    106 :    14981.33 MFlops
    107 :    15265.33 MFlops
    108 :    15552.00 MFlops
    109 :    19009.60 MFlops
    110 :    19360.00 MFlops
    111 :    19713.60 MFlops
    112 :    16725.33 MFlops
    113 :    17025.33 MFlops
    114 :    17328.00 MFlops
    115 :    17633.33 MFlops
    116 :    17941.33 MFlops
    117 :    18252.00 MFlops
    118 :    15913.14 MFlops
    119 :    16184.00 MFlops
    120 :    19200.00 MFlops
    121 :    16732.57 MFlops
    122 :    17010.29 MFlops
    123 :    17290.29 MFlops
    124 :    17572.57 MFlops
    125 :    17857.14 MFlops
    126 :    18144.00 MFlops
    127 :    18433.14 MFlops
    128 :    18724.57 MFlops
    129 :    16641.00 MFlops
    130 :    19314.29 MFlops
    131 :    17161.00 MFlops
    132 :    17424.00 MFlops
    133 :    17689.00 MFlops
    134 :    17956.00 MFlops
    135 :    18225.00 MFlops
    136 :    18496.00 MFlops
    137 :    18769.00 MFlops
    138 :    19044.00 MFlops
    139 :    17174.22 MFlops
    140 :    17422.22 MFlops
    141 :    17672.00 MFlops
    142 :    17923.56 MFlops
    143 :    18176.89 MFlops
    144 :    18432.00 MFlops
    145 :    18688.89 MFlops
    146 :    18947.56 MFlops
    147 :    17287.20 MFlops
    148 :    17523.20 MFlops
    149 :    19734.22 MFlops
    150 :    18000.00 MFlops
    151 :    18240.80 MFlops
    152 :    18483.20 MFlops
    153 :    18727.20 MFlops
    154 :    18972.80 MFlops
    155 :    17472.73 MFlops
    156 :    19468.80 MFlops
    157 :    17926.55 MFlops
    158 :    18155.64 MFlops
    159 :    18386.18 MFlops
    160 :    18618.18 MFlops
    161 :    18851.64 MFlops
    162 :    19086.55 MFlops
    163 :    17712.67 MFlops
    164 :    19560.73 MFlops
    165 :    19800.00 MFlops
    166 :    18370.67 MFlops
    167 :    18592.67 MFlops
    168 :    18816.00 MFlops
    169 :    17576.00 MFlops
    170 :    19266.67 MFlops
    171 :    17994.46 MFlops
    172 :    19722.67 MFlops
    173 :    18417.85 MFlops
    174 :    18631.38 MFlops
    175 :    20416.67 MFlops
    176 :    19062.15 MFlops
    177 :    19279.38 MFlops
    178 :    18105.14 MFlops
    179 :    18309.14 MFlops
    180 :    19938.46 MFlops
    181 :    18720.57 MFlops
    182 :    18928.00 MFlops
    183 :    19136.57 MFlops
    184 :    19346.29 MFlops
    185 :    18253.33 MFlops
    186 :    18451.20 MFlops
    187 :    18650.13 MFlops
    188 :    18850.13 MFlops
    189 :    19051.20 MFlops
    190 :    18050.00 MFlops
    191 :    19456.53 MFlops
    192 :    18432.00 MFlops
    193 :    18624.50 MFlops
    194 :    18818.00 MFlops
    195 :    19012.50 MFlops
    196 :    19208.00 MFlops
    197 :    19404.50 MFlops
    198 :    19602.00 MFlops
    199 :    19800.50 MFlops
    200 :    20000.00 MFlops
