From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.73 MFlops
      2 :       64.00 MFlops
      3 :      216.00 MFlops
      4 :      512.00 MFlops
      5 :       62.50 MFlops
      6 :      345.60 MFlops
      7 :      686.00 MFlops
      8 :      819.20 MFlops
      9 :      833.14 MFlops
     10 :     1000.00 MFlops
     11 :     2129.60 MFlops
     12 :     2764.80 MFlops
     13 :     1033.88 MFlops
     14 :     1688.62 MFlops
     15 :     3000.00 MFlops
     16 :     5461.33 MFlops
     17 :     4367.11 MFlops
     18 :     3888.00 MFlops
     19 :     6096.89 MFlops
     20 :     8000.00 MFlops
     21 :     5292.00 MFlops
     22 :     5678.93 MFlops
     23 :     7487.38 MFlops
     24 :     7899.43 MFlops
     25 :     8333.33 MFlops
     26 :     6391.27 MFlops
     27 :     8287.58 MFlops
     28 :     9242.95 MFlops
     29 :    13936.57 MFlops
     30 :    15428.57 MFlops
     31 :    14019.29 MFlops
     32 :    11915.64 MFlops
     33 :    12499.83 MFlops
     34 :    17468.44 MFlops
     35 :    14913.04 MFlops
     36 :    16228.17 MFlops
     37 :    19296.38 MFlops
     38 :    23104.00 MFlops
     39 :    15308.13 MFlops
     40 :    17655.17 MFlops
     41 :    19691.71 MFlops
     42 :    21168.00 MFlops
     43 :    18707.53 MFlops
     44 :    21982.97 MFlops
     45 :    13754.72 MFlops
     46 :    13198.10 MFlops
     47 :    18876.91 MFlops
     48 :    16086.11 MFlops
     49 :    22955.90 MFlops
     50 :    20000.00 MFlops
     51 :    22108.50 MFlops
     52 :    22956.41 MFlops
     53 :    23820.32 MFlops
     54 :    23768.15 MFlops
     55 :    31690.48 MFlops
     56 :    20361.28 MFlops
     57 :    22792.98 MFlops
     58 :    24389.00 MFlops
     59 :    23471.89 MFlops
     60 :    21873.42 MFlops
     61 :    23892.74 MFlops
     62 :    25087.16 MFlops
     63 :    24100.92 MFlops
     64 :    23563.51 MFlops
     65 :    24685.39 MFlops
     66 :    26136.00 MFlops
     67 :    27034.88 MFlops
     68 :    31443.20 MFlops
     69 :    27375.75 MFlops
     70 :    28884.21 MFlops
     71 :    27798.91 MFlops
     72 :    28169.66 MFlops
     73 :    22389.47 MFlops
     74 :    23836.71 MFlops
     75 :    23936.17 MFlops
     76 :    25264.81 MFlops
     77 :    26275.28 MFlops
     78 :    26364.00 MFlops
     79 :    26832.05 MFlops
     80 :    27863.95 MFlops
     81 :    26572.05 MFlops
     82 :    27568.40 MFlops
     83 :    28589.35 MFlops
     84 :    26489.56 MFlops
     85 :    28398.84 MFlops
     86 :    29243.95 MFlops
     87 :    29931.95 MFlops
     88 :    30456.85 MFlops
     89 :    31506.99 MFlops
     90 :    29755.10 MFlops
     91 :    31236.10 MFlops
     92 :    31621.85 MFlops
     93 :    32830.90 MFlops
