From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.38 MFlops
      2 :       32.00 MFlops
      3 :      216.00 MFlops
      4 :      512.00 MFlops
      5 :     1000.00 MFlops
      6 :     1728.00 MFlops
      7 :     2744.00 MFlops
      8 :         inf MFlops
      9 :     5832.00 MFlops
     10 :     8000.00 MFlops
     11 :     5324.00 MFlops
     12 :     6912.00 MFlops
     13 :     8788.00 MFlops
     14 :    10976.00 MFlops
     15 :     9000.00 MFlops
     16 :    10922.67 MFlops
     17 :     6550.67 MFlops
     18 :    11664.00 MFlops
     19 :    10974.40 MFlops
     20 :    10666.67 MFlops
     21 :    12348.00 MFlops
     22 :    14197.33 MFlops
     23 :    10815.11 MFlops
     24 :    13824.00 MFlops
     25 :    13888.89 MFlops
     26 :    14060.80 MFlops
     27 :    14314.91 MFlops
     28 :    13508.92 MFlops
     29 :    15008.62 MFlops
     30 :    14400.00 MFlops
     31 :    14895.50 MFlops
     32 :    15420.24 MFlops
     33 :     9583.20 MFlops
     34 :    14972.95 MFlops
     35 :    14913.04 MFlops
     36 :    13824.00 MFlops
     37 :    15585.54 MFlops
     38 :    15677.71 MFlops
     39 :    13558.63 MFlops
     40 :    15058.82 MFlops
     41 :    15753.37 MFlops
     42 :    15597.47 MFlops
     43 :    15144.19 MFlops
     44 :    15848.19 MFlops
     45 :    15847.83 MFlops
     46 :    15268.39 MFlops
     47 :    16285.96 MFlops
     48 :    16086.11 MFlops
     49 :     2768.21 MFlops
     50 :    14285.71 MFlops
     51 :    15606.00 MFlops
     52 :    16789.01 MFlops
     53 :    18323.32 MFlops
     54 :    19086.55 MFlops
     55 :    18486.11 MFlops
     56 :    18985.51 MFlops
     57 :    21164.91 MFlops
     58 :    18805.98 MFlops
     59 :    20036.98 MFlops
     60 :    20819.28 MFlops
     61 :    21877.69 MFlops
     62 :    21184.71 MFlops
     63 :    24100.92 MFlops
     64 :    22075.28 MFlops
     65 :    17299.21 MFlops
     66 :    23469.06 MFlops
     67 :    22074.35 MFlops
     68 :    23291.26 MFlops
     69 :    24793.13 MFlops
     70 :    24945.45 MFlops
     71 :    23278.76 MFlops
     72 :    25521.23 MFlops
     73 :    27541.03 MFlops
     74 :    27707.62 MFlops
     75 :    25000.00 MFlops
     76 :    24906.44 MFlops
     77 :    24845.33 MFlops
     78 :    26002.85 MFlops
     79 :    29002.29 MFlops
     80 :    25128.83 MFlops
     81 :    26572.05 MFlops
     82 :    27568.40 MFlops
     83 :    27723.01 MFlops
     84 :    25769.74 MFlops
     85 :    26994.51 MFlops
     86 :    26923.01 MFlops
     87 :    30988.38 MFlops
     88 :    28101.94 MFlops
     89 :    28628.18 MFlops
     90 :    28310.68 MFlops
     91 :    28707.47 MFlops
     92 :    28575.71 MFlops
     93 :    32664.24 MFlops
     94 :    32099.86 MFlops
     95 :    30349.56 MFlops
     96 :    30247.38 MFlops
     97 :    32741.63 MFlops
     98 :    30985.74 MFlops
     99 :    29292.05 MFlops
    100 :    29411.76 MFlops
    101 :    28719.19 MFlops
    102 :    31097.67 MFlops
    103 :    30353.53 MFlops
    104 :    30924.10 MFlops
    105 :    31824.74 MFlops
    106 :    30835.37 MFlops
    107 :    30154.90 MFlops
    108 :    31891.44 MFlops
    109 :    33205.87 MFlops
    110 :    31134.50 MFlops
    111 :    31530.40 MFlops
    112 :    33154.64 MFlops
    113 :    33265.64 MFlops
    114 :    33863.86 MFlops
    115 :    36647.59 MFlops
    116 :    33749.10 MFlops
    117 :    35591.40 MFlops
    118 :    35239.29 MFlops
    119 :    36633.89 MFlops
    120 :    36668.44 MFlops
    121 :    37692.79 MFlops
    122 :    38945.80 MFlops
    123 :    37498.58 MFlops
    124 :    38811.68 MFlops
    125 :    38017.03 MFlops
    126 :    40208.56 MFlops
    127 :    40562.04 MFlops
    128 :    38391.80 MFlops
    129 :    39570.30 MFlops
    130 :    38459.52 MFlops
    131 :    42317.01 MFlops
    132 :    40707.40 MFlops
    133 :    43266.89 MFlops
    134 :    43255.80 MFlops
    135 :    41613.11 MFlops
    136 :    44130.81 MFlops
    137 :    43674.79 MFlops
    138 :    44449.42 MFlops
    139 :    44207.72 MFlops
    140 :    45449.28 MFlops
    141 :    46048.80 MFlops
    142 :    46369.04 MFlops
    143 :    46975.21 MFlops
    144 :    46294.33 MFlops
    145 :    45081.33 MFlops
    146 :    47971.27 MFlops
    147 :    45953.32 MFlops
    148 :    46560.75 MFlops
    149 :    47596.39 MFlops
    150 :    46153.85 MFlops
    151 :    48237.49 MFlops
    152 :    48272.27 MFlops
    153 :    49401.06 MFlops
    154 :    48056.11 MFlops
    155 :    49569.05 MFlops
    156 :    48907.13 MFlops
    157 :    49219.62 MFlops
    158 :    51898.84 MFlops
    159 :    50089.46 MFlops
    160 :    40806.97 MFlops
    161 :    42207.65 MFlops
    162 :    49725.47 MFlops
    163 :    50430.82 MFlops
    164 :    50267.17 MFlops
    165 :    50615.49 MFlops
    166 :    52729.64 MFlops
    167 :    53999.57 MFlops
    168 :    53577.76 MFlops
    169 :    54386.58 MFlops
    170 :    52475.30 MFlops
    171 :    52772.68 MFlops
    172 :    52390.71 MFlops
    173 :    52968.97 MFlops
    174 :    55018.53 MFlops
    175 :    54340.94 MFlops
    176 :    54722.97 MFlops
    177 :    55871.37 MFlops
    178 :    58066.94 MFlops
    179 :    56022.85 MFlops
    180 :    54441.07 MFlops
    181 :    56948.29 MFlops
    182 :    55691.16 MFlops
    183 :    56614.20 MFlops
    184 :    57348.71 MFlops
    185 :    57429.71 MFlops
    186 :    56882.70 MFlops
    187 :    58190.91 MFlops
    188 :    58350.58 MFlops
    189 :    58898.75 MFlops
    190 :    60431.72 MFlops
    191 :    59554.45 MFlops
    192 :    57427.08 MFlops
    193 :    57570.03 MFlops
    194 :    59421.23 MFlops
    195 :    59200.60 MFlops
    196 :    59639.89 MFlops
    197 :    61162.98 MFlops
    198 :    59481.93 MFlops
    199 :    60736.79 MFlops
    200 :    60952.38 MFlops
