From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.36 MFlops
      2 :         inf MFlops
      3 :      108.00 MFlops
      4 :         inf MFlops
      5 :      500.00 MFlops
      6 :      864.00 MFlops
      7 :     1372.00 MFlops
      8 :         inf MFlops
      9 :     2916.00 MFlops
     10 :     4000.00 MFlops
     11 :     5324.00 MFlops
     12 :     3456.00 MFlops
     13 :     4394.00 MFlops
     14 :     5488.00 MFlops
     15 :     6750.00 MFlops
     16 :     4096.00 MFlops
     17 :     6550.67 MFlops
     18 :     7776.00 MFlops
     19 :     6859.00 MFlops
     20 :    10666.67 MFlops
     21 :    12348.00 MFlops
     22 :    10648.00 MFlops
     23 :     6952.57 MFlops
     24 :    11059.20 MFlops
     25 :    12500.00 MFlops
     26 :    11717.33 MFlops
     27 :    11247.43 MFlops
     28 :     9756.44 MFlops
     29 :    12194.50 MFlops
     30 :    12000.00 MFlops
     31 :    11916.40 MFlops
     32 :     1101.45 MFlops
     33 :     2053.54 MFlops
     34 :     2153.64 MFlops
     35 :     2227.27 MFlops
     36 :     1985.36 MFlops
     37 :     2132.76 MFlops
     38 :     2411.96 MFlops
     39 :     2446.14 MFlops
     40 :     2666.67 MFlops
     41 :     2784.69 MFlops
     42 :     3024.00 MFlops
     43 :     3057.96 MFlops
     44 :     3069.69 MFlops
     45 :     2761.36 MFlops
     46 :     3638.73 MFlops
     47 :     3741.37 MFlops
     48 :     3846.68 MFlops
     49 :     4398.09 MFlops
     50 :     4629.63 MFlops
     51 :     4113.21 MFlops
     52 :     4166.16 MFlops
     53 :     4253.63 MFlops
     54 :     4467.06 MFlops
     55 :     3869.19 MFlops
     56 :     4206.37 MFlops
     57 :     4544.61 MFlops
     58 :     4360.04 MFlops
     59 :     4489.16 MFlops
     60 :     4773.48 MFlops
     61 :     5072.20 MFlops
     62 :     5385.94 MFlops
     63 :     4902.88 MFlops
     64 :     4297.44 MFlops
     65 :     5109.30 MFlops
     66 :     5373.76 MFlops
     67 :     5299.79 MFlops
     68 :     5240.53 MFlops
     69 :     5173.37 MFlops
     70 :     5401.57 MFlops
     71 :     5681.13 MFlops
     72 :     5370.47 MFlops
     73 :     5479.11 MFlops
     74 :     5589.30 MFlops
     75 :     3590.43 MFlops
     76 :    13611.66 MFlops
     77 :     6713.72 MFlops
     78 :    11165.93 MFlops
     79 :    10490.19 MFlops
     80 :    11770.11 MFlops
     81 :     4723.92 MFlops
     82 :    15422.88 MFlops
     83 :    15047.03 MFlops
     84 :    13625.38 MFlops
     85 :    11115.38 MFlops
     86 :    17668.22 MFlops
     87 :    16670.96 MFlops
     88 :    17252.46 MFlops
     89 :    16784.98 MFlops
     90 :    16855.49 MFlops
     91 :    15699.40 MFlops
     92 :    17208.57 MFlops
     93 :    19038.04 MFlops
     94 :    19093.89 MFlops
     95 :    19266.85 MFlops
     96 :    21448.15 MFlops
     97 :    20861.10 MFlops
     98 :    16297.70 MFlops
     99 :    20109.82 MFlops
    100 :    20202.02 MFlops
    101 :    20814.16 MFlops
    102 :    21224.16 MFlops
    103 :    21115.50 MFlops
    104 :    18592.79 MFlops
    105 :    21437.50 MFlops
    106 :    20987.07 MFlops
    107 :    19216.36 MFlops
    108 :    21813.19 MFlops
    109 :    18836.79 MFlops
    110 :    21819.67 MFlops
    111 :    20643.49 MFlops
    112 :    19049.87 MFlops
    113 :    21697.70 MFlops
    114 :    21628.38 MFlops
    115 :    21572.70 MFlops
    116 :    22298.51 MFlops
    117 :    20533.50 MFlops
    118 :    19329.79 MFlops
    119 :    21064.49 MFlops
    120 :    20269.79 MFlops
    121 :    21408.59 MFlops
    122 :    19420.83 MFlops
    123 :    22352.76 MFlops
    124 :    23758.55 MFlops
    125 :    21945.22 MFlops
    126 :    23673.09 MFlops
    127 :    22386.70 MFlops
    128 :    32017.59 MFlops
    129 :    24745.69 MFlops
    130 :    24895.18 MFlops
    131 :    25619.27 MFlops
    132 :    25205.13 MFlops
    133 :    34470.87 MFlops
    134 :    37891.40 MFlops
    135 :    25763.09 MFlops
    136 :    28913.29 MFlops
    137 :    42153.33 MFlops
    138 :    36885.22 MFlops
    139 :    35337.09 MFlops
    140 :    34515.72 MFlops
    141 :    34714.81 MFlops
    142 :    25171.76 MFlops
    143 :    24267.28 MFlops
    144 :    39032.47 MFlops
    145 :    38960.06 MFlops
    146 :    38901.70 MFlops
    147 :    39216.33 MFlops
    148 :    37369.36 MFlops
    149 :    54007.33 MFlops
    150 :    24770.64 MFlops
    151 :    30201.32 MFlops
    152 :    37359.66 MFlops
    153 :    41767.66 MFlops
    154 :    37652.21 MFlops
    155 :    36961.54 MFlops
    156 :    27020.75 MFlops
    157 :    27592.82 MFlops
    158 :    36186.35 MFlops
    159 :    36459.67 MFlops
    160 :    34859.57 MFlops
    161 :    47558.76 MFlops
    162 :    27079.80 MFlops
    163 :    24502.10 MFlops
    164 :    36454.08 MFlops
    165 :    36373.48 MFlops
    166 :    35322.75 MFlops
