From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.15 MFlops
      2 :       32.00 MFlops
      3 :         inf MFlops
      4 :      256.00 MFlops
      5 :      500.00 MFlops
      6 :      864.00 MFlops
      7 :     1372.00 MFlops
      8 :         inf MFlops
      9 :     2916.00 MFlops
     10 :     4000.00 MFlops
     11 :     5324.00 MFlops
     12 :     6912.00 MFlops
     13 :     8788.00 MFlops
     14 :    10976.00 MFlops
     15 :     6750.00 MFlops
     16 :     8192.00 MFlops
     17 :     4913.00 MFlops
     18 :    11664.00 MFlops
     19 :     9145.33 MFlops
     20 :    10666.67 MFlops
     21 :    12348.00 MFlops
     22 :    10648.00 MFlops
     23 :     8111.33 MFlops
     24 :    13824.00 MFlops
     25 :    12500.00 MFlops
     26 :    14060.80 MFlops
     27 :    15746.40 MFlops
     28 :    10976.00 MFlops
     29 :    13936.57 MFlops
     30 :    13500.00 MFlops
     31 :    14895.50 MFlops
     32 :    14563.56 MFlops
     33 :     7565.68 MFlops
     34 :    15721.60 MFlops
     35 :    14291.67 MFlops
     36 :    14355.69 MFlops
     37 :    15585.54 MFlops
     38 :    14632.53 MFlops
     39 :    15818.40 MFlops
     40 :    14222.22 MFlops
     41 :    16216.71 MFlops
     42 :    16464.00 MFlops
     43 :    15144.19 MFlops
     44 :    16225.52 MFlops
     45 :    16568.18 MFlops
     46 :    13425.66 MFlops
     47 :    16611.68 MFlops
     48 :    16384.00 MFlops
     49 :     1498.71 MFlops
     50 :    15151.52 MFlops
     51 :    10828.65 MFlops
     52 :    16069.49 MFlops
     53 :    11236.00 MFlops
     54 :    17496.00 MFlops
     55 :    17986.49 MFlops
     56 :    18985.51 MFlops
     57 :    18067.61 MFlops
     58 :    19511.20 MFlops
     59 :    20537.90 MFlops
     60 :    18382.98 MFlops
     61 :    18915.08 MFlops
     62 :    19455.35 MFlops
     63 :    21280.60 MFlops
     64 :    22795.13 MFlops
     65 :    15920.29 MFlops
     66 :    17968.50 MFlops
     67 :    20742.28 MFlops
     68 :    22867.78 MFlops
     69 :    23891.56 MFlops
     70 :    24070.18 MFlops
     71 :    25565.07 MFlops
     72 :    25304.95 MFlops
     73 :    24699.49 MFlops
     74 :    27014.93 MFlops
     75 :    26367.19 MFlops
     76 :    27013.91 MFlops
     77 :    26854.88 MFlops
     78 :    27117.26 MFlops
     79 :    29002.29 MFlops
     80 :    28444.44 MFlops
     81 :    29940.34 MFlops
     82 :    29019.37 MFlops
     83 :    30094.05 MFlops
     84 :    31194.95 MFlops
     85 :    30327.16 MFlops
     86 :    31027.12 MFlops
     87 :    30988.38 MFlops
     88 :    31696.37 MFlops
     89 :    30321.25 MFlops
     90 :    33136.36 MFlops
     91 :    32411.66 MFlops
     92 :    33491.96 MFlops
     93 :    33169.36 MFlops
     94 :    34250.89 MFlops
     95 :    34994.90 MFlops
     96 :    33074.24 MFlops
     97 :    34440.49 MFlops
     98 :    34225.16 MFlops
     99 :    34045.58 MFlops
    100 :    28368.79 MFlops
    101 :    33780.36 MFlops
    102 :    35973.15 MFlops
    103 :    37041.59 MFlops
    104 :    37185.59 MFlops
    105 :    34815.79 MFlops
    106 :    33083.78 MFlops
    107 :    34508.25 MFlops
    108 :    34277.88 MFlops
    109 :    34534.11 MFlops
    110 :    30250.00 MFlops
    111 :    35522.88 MFlops
    112 :    34689.58 MFlops
    113 :    34768.60 MFlops
    114 :    35699.86 MFlops
    115 :    33425.82 MFlops
    116 :    34686.58 MFlops
    117 :    38593.08 MFlops
    118 :    33192.57 MFlops
    119 :    37868.74 MFlops
    120 :    38614.53 MFlops
    121 :    33905.47 MFlops
    122 :    40577.61 MFlops
    123 :    40898.18 MFlops
    124 :    40139.45 MFlops
    125 :    41118.42 MFlops
    126 :    41244.87 MFlops
    127 :    42234.70 MFlops
    128 :    38657.18 MFlops
    129 :    39938.40 MFlops
    130 :    38375.55 MFlops
    131 :    42416.81 MFlops
    132 :    44018.53 MFlops
    133 :    40562.71 MFlops
    134 :    43158.82 MFlops
    135 :    43740.00 MFlops
    136 :    44719.22 MFlops
    137 :    43216.02 MFlops
    138 :    44169.28 MFlops
    139 :    45518.97 MFlops
    140 :    44437.25 MFlops
    141 :    47311.75 MFlops
    142 :    46557.53 MFlops
    143 :    47937.82 MFlops
    144 :    46838.96 MFlops
    145 :    46543.89 MFlops
    146 :    48063.88 MFlops
    147 :    47059.60 MFlops
    148 :    49493.01 MFlops
    149 :    48115.62 MFlops
    150 :    49090.91 MFlops
    151 :    50262.06 MFlops
    152 :    51834.80 MFlops
    153 :    49572.00 MFlops
    154 :    46377.96 MFlops
    155 :    45832.31 MFlops
    156 :    51651.92 MFlops
    157 :    49298.00 MFlops
    158 :    53122.05 MFlops
    159 :    53955.42 MFlops
    160 :    48907.46 MFlops
    161 :    52659.70 MFlops
    162 :    51377.98 MFlops
    163 :    53301.50 MFlops
    164 :    53465.99 MFlops
    165 :    53004.42 MFlops
    166 :    54946.50 MFlops
    167 :    55611.50 MFlops
    168 :    54658.58 MFlops
    169 :    57633.54 MFlops
    170 :    53547.68 MFlops
    171 :    54056.34 MFlops
    172 :    55611.45 MFlops
    173 :    54646.09 MFlops
    174 :    54875.25 MFlops
    175 :    57473.19 MFlops
    176 :    58152.28 MFlops
    177 :    54632.84 MFlops
    178 :    60157.35 MFlops
    179 :    55682.90 MFlops
    180 :    57316.95 MFlops
    181 :    58710.31 MFlops
    182 :    59248.83 MFlops
    183 :    58227.90 MFlops
    184 :    55496.69 MFlops
    185 :    60735.01 MFlops
    186 :    59035.38 MFlops
    187 :    59044.72 MFlops
    188 :    60820.80 MFlops
    189 :    60011.28 MFlops
    190 :    42339.51 MFlops
    191 :    47080.21 MFlops
    192 :    61280.42 MFlops
    193 :    62649.73 MFlops
    194 :    60844.87 MFlops
    195 :    62837.92 MFlops
    196 :    64217.79 MFlops
    197 :    65766.65 MFlops
    198 :    58806.00 MFlops
    199 :    63297.98 MFlops
    200 :    61302.68 MFlops
