From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        0.80 MFlops
      2x2 :         inf MFlops
      3x3 :       72.00 MFlops
      4x4 :         inf MFlops
      5x5 :      200.00 MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :      968.00 MFlops
     12x12 :     1152.00 MFlops
     13x13 :     1352.00 MFlops
     14x14 :     1568.00 MFlops
     15x15 :     1800.00 MFlops
     16x16 :         inf MFlops
     17x17 :      330.29 MFlops
     18x18 :     1296.00 MFlops
     19x19 :      962.67 MFlops
     20x20 :      320.00 MFlops
     21x21 :     1764.00 MFlops
     22x22 :     1936.00 MFlops
     23x23 :      705.33 MFlops
     24x24 :      658.29 MFlops
     25x25 :      555.56 MFlops
     26x26 :      772.57 MFlops
     27x27 :      729.00 MFlops
     28x28 :      696.89 MFlops
     29x29 :     1682.00 MFlops
     30x30 :      720.00 MFlops
     31x31 :     1281.33 MFlops
     32x32 :     2048.00 MFlops
     33x33 :     1089.00 MFlops
     34x34 :     1027.56 MFlops
     35x35 :     1960.00 MFlops
     36x36 :      942.55 MFlops
     37x37 :     1216.89 MFlops
     38x38 :     2888.00 MFlops
     39x39 :     2433.60 MFlops
     40x40 :     1828.57 MFlops
     41x41 :     1681.00 MFlops
     42x42 :     3528.00 MFlops
     43x43 :     2958.40 MFlops
     44x44 :     1548.80 MFlops
     45x45 :     2700.00 MFlops
     46x46 :     1692.80 MFlops
     47x47 :     3534.40 MFlops
     48x48 :     4608.00 MFlops
     49x49 :     3841.60 MFlops
     50x50 :     1818.18 MFlops
     51x51 :     2601.00 MFlops
     52x52 :     1966.55 MFlops
     53x53 :     1728.62 MFlops
     54x54 :     2332.80 MFlops
     55x55 :     2200.00 MFlops
     56x56 :     2090.67 MFlops
     57x57 :     2599.20 MFlops
     58x58 :     2242.67 MFlops
     59x59 :     3978.29 MFlops
     60x60 :     3200.00 MFlops
     61x61 :     4252.57 MFlops
     62x62 :     3075.20 MFlops
     63x63 :     3175.20 MFlops
     64x64 :     2730.67 MFlops
     65x65 :     3380.00 MFlops
     66x66 :     4978.29 MFlops
     67x67 :     3264.73 MFlops
     68x68 :     3362.91 MFlops
     69x69 :     4232.00 MFlops
     70x70 :     4900.00 MFlops
     71x71 :     6721.33 MFlops
     72x72 :     8294.40 MFlops
     73x73 :     4736.89 MFlops
     74x74 :     3650.67 MFlops
     75x75 :     4090.91 MFlops
     76x76 :     6601.14 MFlops
     77x77 :     4312.00 MFlops
     78x78 :     5408.00 MFlops
     79x79 :     3840.62 MFlops
     80x80 :     4266.67 MFlops
     81x81 :     7498.29 MFlops
     82x82 :     5976.89 MFlops
     83x83 :     4239.38 MFlops
     84x84 :     7056.00 MFlops
     85x85 :     5780.00 MFlops
     86x86 :     4551.38 MFlops
     87x87 :     6728.00 MFlops
     88x88 :     7744.00 MFlops
     89x89 :     5280.67 MFlops
     90x90 :     5400.00 MFlops
     91x91 :     9464.00 MFlops
     92x92 :     5642.67 MFlops
     93x93 :     4942.29 MFlops
     94x94 :     4712.53 MFlops
     95x95 :     8022.22 MFlops
     96x96 :     5671.38 MFlops
     97x97 :     6272.67 MFlops
     98x98 :     5910.15 MFlops
     99x99 :     5600.57 MFlops
    100x100 :     6666.67 MFlops
    101x101 :     8160.80 MFlops
    102x102 :     6936.00 MFlops
    103x103 :     7072.67 MFlops
    104x104 :     7210.67 MFlops
    105x105 :     5880.00 MFlops
    106x106 :     7490.67 MFlops
    107x107 :     9159.20 MFlops
    108x108 :     7177.85 MFlops
    109x109 :     6789.14 MFlops
    110x110 :     8066.67 MFlops
    111x111 :     7582.15 MFlops
    112x112 :     8362.67 MFlops
    113x113 :     7296.57 MFlops
    114x114 :    11552.00 MFlops
    115x115 :     6223.53 MFlops
    116x116 :     8280.62 MFlops
    117x117 :     9126.00 MFlops
    118x118 :     8568.62 MFlops
    119x119 :     2059.78 MFlops
    120x120 :     7200.00 MFlops
    121x121 :    11712.80 MFlops
    122x122 :     7938.13 MFlops
    123x123 :    10086.00 MFlops
    124x124 :     9462.15 MFlops
    125x125 :     8928.57 MFlops
    126x126 :     7056.00 MFlops
    127x127 :     8064.50 MFlops
    128x128 :    10922.67 MFlops
    129x129 :     8320.50 MFlops
    130x130 :    12290.91 MFlops
    131x131 :    12480.73 MFlops
    132x132 :     9956.57 MFlops
    133x133 :    10885.54 MFlops
    134x134 :     9576.53 MFlops
    135x135 :    13254.55 MFlops
    136x136 :    10569.14 MFlops
    137x137 :    10725.14 MFlops
    138x138 :    12696.00 MFlops
    139x139 :    17174.22 MFlops
    140x140 :    15680.00 MFlops
    141x141 :    17672.00 MFlops
    142x142 :    17923.56 MFlops
    143x143 :    16359.20 MFlops
    144x144 :    18432.00 MFlops
    145x145 :    18688.89 MFlops
    146x146 :    17052.80 MFlops
    147x147 :    17287.20 MFlops
    148x148 :    21904.00 MFlops
    149x149 :    22201.00 MFlops
    150x150 :    16363.64 MFlops
    151x151 :    16582.55 MFlops
    152x152 :    18483.20 MFlops
    153x153 :    18727.20 MFlops
    154x154 :    17248.00 MFlops
    155x155 :    16016.67 MFlops
    156x156 :    19468.80 MFlops
    157x157 :    19719.20 MFlops
    158x158 :    19971.20 MFlops
    159x159 :    20224.80 MFlops
    160x160 :    20480.00 MFlops
    161x161 :    20736.80 MFlops
    162x162 :    19086.55 MFlops
    163x163 :    21255.20 MFlops
    164x164 :    11953.78 MFlops
    165x165 :    15557.14 MFlops
    166x166 :    20040.73 MFlops
    167x167 :    20282.91 MFlops
    168x168 :    22579.20 MFlops
    169x169 :    19040.67 MFlops
    170x170 :    17784.62 MFlops
    171x171 :    23392.80 MFlops
    172x172 :    23667.20 MFlops
    173x173 :    23943.20 MFlops
    174x174 :    20184.00 MFlops
    175x175 :    17500.00 MFlops
    176x176 :    19062.15 MFlops
    177x177 :    20886.00 MFlops
    178x178 :    19497.85 MFlops
    179x179 :    17088.53 MFlops
    180x180 :    19938.46 MFlops
    181x181 :    21840.67 MFlops
    182x182 :    22082.67 MFlops
    183x183 :    16744.50 MFlops
    184x184 :    19346.29 MFlops
    185x185 :    21061.54 MFlops
    186x186 :    19769.14 MFlops
    187x187 :    21519.38 MFlops
    188x188 :    20196.57 MFlops
    189x189 :    21982.15 MFlops
    190x190 :    20628.57 MFlops
    191x191 :    19456.53 MFlops
    192x192 :    22685.54 MFlops
    193x193 :    21285.14 MFlops
    194x194 :    21506.29 MFlops
    195x195 :    23400.00 MFlops
    196x196 :    25610.67 MFlops
    197x197 :    23882.46 MFlops
    198x198 :    22402.29 MFlops
    199x199 :    21120.53 MFlops
    200x200 :    22857.14 MFlops
