From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
      1 :   5.551115e-17        0.38 MFlops       4.00 MFlops       1.19 MFlops
      2 :   3.885781e-16        7.11 MFlops      16.00 MFlops      10.67 MFlops
      3 :   5.551115e-17       72.00 MFlops        inf MFlops     144.00 MFlops
      4 :   2.220446e-16      170.67 MFlops        inf MFlops     298.67 MFlops
      5 :   6.661338e-16      111.11 MFlops        inf MFlops     177.78 MFlops
      6 :   1.804112e-16      576.00 MFlops        inf MFlops     864.00 MFlops
      7 :   7.216450e-16      914.67 MFlops        inf MFlops    1306.67 MFlops
      8 :   4.996004e-16     1365.33 MFlops     512.00 MFlops     938.67 MFlops
      9 :   6.869505e-16      972.00 MFlops        inf MFlops    1296.00 MFlops
     10 :   6.106227e-16       27.21 MFlops     800.00 MFlops      35.02 MFlops
     11 :   4.857226e-16      186.81 MFlops     968.00 MFlops     225.87 MFlops
     12 :   5.273559e-16      230.40 MFlops    1152.00 MFlops     274.29 MFlops
     13 :   6.106227e-16      154.18 MFlops        inf MFlops     189.75 MFlops
     14 :   0.000000e+00      228.67 MFlops    1568.00 MFlops     269.25 MFlops
     15 :   8.104628e-15      310.34 MFlops    1800.00 MFlops     360.00 MFlops
     16 :   5.551115e-17      280.07 MFlops        inf MFlops     332.58 MFlops
     17 :   6.383782e-16      267.37 MFlops    2312.00 MFlops     308.27 MFlops
     18 :   5.551115e-16      330.89 MFlops    2592.00 MFlops     378.00 MFlops
     19 :   1.422473e-16      389.16 MFlops    2888.00 MFlops     441.22 MFlops
     20 :   2.198242e-14      453.90 MFlops    3200.00 MFlops     511.11 MFlops
     21 :   4.274359e-15      404.85 MFlops    3528.00 MFlops     455.23 MFlops
     22 :   2.498002e-15      443.67 MFlops    3872.00 MFlops     496.41 MFlops
     23 :   1.665335e-16      499.16 MFlops    4232.00 MFlops     555.72 MFlops
     24 :   4.940492e-15      635.59 MFlops    4608.00 MFlops     702.92 MFlops
     25 :   9.714451e-16      578.70 MFlops    5000.00 MFlops     639.27 MFlops
     26 :   3.386180e-15      538.73 MFlops    5408.00 MFlops     594.06 MFlops
     27 :   3.386180e-15      624.86 MFlops    5832.00 MFlops     686.12 MFlops
     28 :   1.387779e-15      643.28 MFlops    6272.00 MFlops     704.46 MFlops
     29 :   1.115774e-14      890.92 MFlops    6728.00 MFlops     969.80 MFlops
     30 :   1.110223e-15      857.14 MFlops    7200.00 MFlops     931.76 MFlops
     31 :   1.237725e-15      139.62 MFlops    1537.60 MFlops     151.80 MFlops
     32 :   1.693090e-15      970.90 MFlops    2048.00 MFlops    1016.74 MFlops
     33 :   3.108624e-15     1312.77 MFlops    1742.40 MFlops    1340.31 MFlops
     34 :   3.560520e-15     1151.77 MFlops    1849.60 MFlops    1188.11 MFlops
     35 :   1.221245e-15     1411.52 MFlops    1960.00 MFlops    1443.41 MFlops
     36 :   3.219647e-15     1481.14 MFlops    1728.00 MFlops    1497.60 MFlops
     37 :   6.217249e-15     1452.42 MFlops    1825.33 MFlops    1475.02 MFlops
     38 :   8.326673e-16     1662.79 MFlops    2310.40 MFlops    1697.61 MFlops
     39 :   7.049916e-15      988.65 MFlops    2028.00 MFlops    1026.22 MFlops
     40 :   1.554312e-15     1108.23 MFlops    4266.67 MFlops    1168.58 MFlops
     41 :   1.942890e-16     2241.33 MFlops    4482.67 MFlops    2320.44 MFlops
     42 :   1.318390e-15     2469.60 MFlops    4704.00 MFlops    2550.36 MFlops
     43 :   9.436896e-16     2382.23 MFlops    4930.67 MFlops    2465.33 MFlops
     44 :   1.998401e-15     1707.95 MFlops    5162.67 MFlops    1784.16 MFlops
     45 :   6.272760e-15     2454.55 MFlops    5400.00 MFlops    2541.18 MFlops
     46 :   8.160139e-15     2648.60 MFlops    5642.67 MFlops    2737.53 MFlops
     47 :   5.709322e-14     2687.97 MFlops    5890.67 MFlops    2778.62 MFlops
     48 :   7.771561e-16     3313.62 MFlops    6144.00 MFlops    3405.91 MFlops
     49 :   1.033895e-14     3201.33 MFlops    4802.00 MFlops    3264.10 MFlops
     50 :   6.661338e-16     3367.00 MFlops    5000.00 MFlops    3430.42 MFlops
     51 :   1.570966e-14     3468.00 MFlops    6936.00 MFlops    3567.09 MFlops
     52 :   7.271961e-15     3408.68 MFlops    5408.00 MFlops    3478.83 MFlops
     53 :   2.275957e-15     1748.92 MFlops    1872.67 MFlops    1755.14 MFlops
     54 :   2.220446e-16     2762.53 MFlops    1944.00 MFlops    2702.63 MFlops
     55 :   2.331468e-15     2755.69 MFlops    2016.67 MFlops    2704.43 MFlops
     56 :   4.385381e-15     2963.98 MFlops    1929.85 MFlops    2885.36 MFlops
     57 :   1.183081e-15     3067.38 MFlops    1999.38 MFlops    2987.59 MFlops
     58 :   3.358425e-15     3097.02 MFlops    1922.29 MFlops    3006.65 MFlops
     59 :   5.884182e-15     3042.65 MFlops    1989.14 MFlops    2966.63 MFlops
     60 :   7.216450e-16     2380.17 MFlops    1800.00 MFlops    2344.19 MFlops
     61 :   7.854828e-15     3602.87 MFlops    1984.53 MFlops    3470.22 MFlops
     62 :   7.355228e-15     2139.87 MFlops    5125.33 MFlops    2198.99 MFlops
     63 :   7.160939e-15     4247.08 MFlops    5292.00 MFlops    4285.55 MFlops
     64 :   4.274359e-15     4888.47 MFlops    6553.60 MFlops    4944.72 MFlops
     65 :   4.440892e-16     4849.89 MFlops    5633.33 MFlops    4879.83 MFlops
     66 :   5.712097e-14     4703.41 MFlops    5808.00 MFlops    4742.63 MFlops
     67 :   3.330669e-16     4890.46 MFlops    5985.33 MFlops    4929.10 MFlops
     68 :   9.103829e-15     5175.84 MFlops    6165.33 MFlops    5211.17 MFlops
     69 :   3.724798e-14     3605.04 MFlops    2004.63 MFlops    3488.98 MFlops
     70 :   5.162537e-15     3908.83 MFlops    2063.16 MFlops    3770.22 MFlops
     71 :   3.691492e-14     4318.68 MFlops    2122.53 MFlops    4144.82 MFlops
     72 :   1.215694e-14     4308.78 MFlops    2073.60 MFlops    4130.68 MFlops
     73 :   1.304512e-15     4358.73 MFlops    2030.10 MFlops    4169.93 MFlops
     74 :   1.286471e-14     4077.73 MFlops    1904.70 MFlops    3904.19 MFlops
     75 :   3.744227e-14     4197.76 MFlops    2142.86 MFlops    4048.44 MFlops
     76 :   3.202993e-14     4701.22 MFlops    2100.36 MFlops    4490.08 MFlops
     77 :   3.885781e-16     4718.69 MFlops    1976.33 MFlops    4485.30 MFlops
     78 :   1.553757e-13     4652.47 MFlops    1521.00 MFlops    4322.84 MFlops
     79 :   1.741315e-14     6115.21 MFlops    6241.00 MFlops    6119.72 MFlops
     80 :   5.474787e-15     6150.15 MFlops    5688.89 MFlops    6132.18 MFlops
     81 :   1.487699e-14     6161.63 MFlops    5832.00 MFlops    6149.22 MFlops
     82 :   3.386180e-15     7388.52 MFlops    5976.89 MFlops    7327.44 MFlops
     83 :   6.383782e-16     7474.34 MFlops    6123.56 MFlops    7417.26 MFlops
     84 :   1.759703e-14     7598.77 MFlops    5644.80 MFlops    7509.14 MFlops
     85 :   3.164136e-14     7617.05 MFlops    6422.22 MFlops    7569.05 MFlops
     86 :   3.941292e-15     8273.90 MFlops    5916.80 MFlops    8164.27 MFlops
     87 :   2.170486e-14     7804.48 MFlops    6055.20 MFlops    7730.04 MFlops
     88 :   1.326717e-14     8374.46 MFlops    5632.00 MFlops    8242.15 MFlops
     89 :   7.494005e-15     7832.99 MFlops    6336.80 MFlops    7773.14 MFlops
     90 :   1.226796e-14     7934.69 MFlops    5890.91 MFlops    7846.88 MFlops
     91 :   0.000000e+00     8479.00 MFlops    6022.55 MFlops    8370.04 MFlops
     92 :   2.289835e-14     8688.29 MFlops    6155.64 MFlops    8576.85 MFlops
     93 :   6.106227e-15     8411.58 MFlops    6290.18 MFlops    8323.85 MFlops
     94 :   1.376677e-14     8584.85 MFlops    5890.67 MFlops    8465.11 MFlops
     95 :   3.164136e-15     8136.42 MFlops    6563.64 MFlops    8077.17 MFlops
     96 :   5.218048e-15     8936.73 MFlops    5671.38 MFlops    8783.48 MFlops
     97 :   2.359224e-14     9184.13 MFlops    6272.67 MFlops    9058.00 MFlops
     98 :   1.737499e-14     8775.68 MFlops    5910.15 MFlops    8651.09 MFlops
     99 :   3.330669e-15     9374.87 MFlops    6534.00 MFlops    9256.50 MFlops
    100 :   1.609823e-14     8412.20 MFlops    6153.85 MFlops    8323.23 MFlops
    101 :   8.631984e-14     9127.81 MFlops    6277.54 MFlops    9009.80 MFlops
    102 :   1.107447e-14     9792.00 MFlops    6402.46 MFlops    9646.09 MFlops
    103 :   2.470246e-15     9745.61 MFlops    6062.29 MFlops    9580.86 MFlops
    104 :   8.437695e-15     8745.30 MFlops    2060.19 MFlops    8016.01 MFlops
    105 :   2.498002e-15     6624.46 MFlops    2051.16 MFlops    6238.11 MFlops
    106 :   4.551914e-15     5364.94 MFlops    1954.09 MFlops    5119.01 MFlops
    107 :   3.552714e-15     4568.92 MFlops    6106.13 MFlops    4600.51 MFlops
    108 :   3.108624e-15    10596.95 MFlops    5832.00 MFlops   10368.00 MFlops
    109 :   7.438494e-15    10560.89 MFlops    6336.53 MFlops   10375.61 MFlops
    110 :   1.998401e-15    10563.49 MFlops    6050.00 MFlops   10358.33 MFlops
    111 :   5.284662e-14    10919.21 MFlops    6160.50 MFlops   10701.67 MFlops
    112 :   5.884182e-15    10643.39 MFlops    5575.11 MFlops   10396.83 MFlops
    113 :   5.423439e-14    10541.71 MFlops    6008.94 MFlops   10339.99 MFlops
    114 :   1.543210e-14    11004.97 MFlops    6115.76 MFlops   10783.91 MFlops
    115 :   3.441691e-15    11789.73 MFlops    6223.53 MFlops   11527.61 MFlops
    116 :   2.411266e-15    10700.23 MFlops    5980.44 MFlops   10491.49 MFlops
    117 :   4.385381e-15    11180.54 MFlops    6084.00 MFlops   10951.20 MFlops
    118 :   1.881828e-14    11469.68 MFlops    6188.44 MFlops   11232.03 MFlops
    119 :   1.080386e-13    12015.39 MFlops    5962.53 MFlops   11722.76 MFlops
    120 :   1.304096e-13    12031.33 MFlops    6063.16 MFlops   11749.25 MFlops
    121 :   3.219647e-15    12366.92 MFlops    6164.63 MFlops   12073.04 MFlops
    122 :   8.382184e-15    12610.06 MFlops    5953.60 MFlops   12280.53 MFlops
    123 :   2.109424e-15    12222.44 MFlops    6370.11 MFlops   11960.81 MFlops
    124 :   2.331468e-15    12904.39 MFlops    6150.40 MFlops   12578.11 MFlops
    125 :   8.662515e-14    12956.05 MFlops    6250.00 MFlops   12638.23 MFlops
    126 :   2.081668e-16    12376.65 MFlops    6350.40 MFlops   12109.41 MFlops
    127 :   4.629630e-14    13226.04 MFlops    6791.16 MFlops   12943.02 MFlops
    128 :   5.534462e-14    13189.64 MFlops    6241.52 MFlops   12861.75 MFlops
    129 :   2.192690e-14    13129.60 MFlops    6051.27 MFlops   12789.59 MFlops
    130 :   5.134781e-14     2193.44 MFlops    6145.45 MFlops    2225.72 MFlops
    131 :   9.658940e-15    12489.39 MFlops    1737.82 MFlops   10969.94 MFlops
    132 :   2.181588e-14     1761.92 MFlops    6060.52 MFlops    1790.14 MFlops
    133 :   2.498002e-15     6090.97 MFlops    2144.12 MFlops    5853.29 MFlops
    134 :   6.883383e-15    12338.99 MFlops    5745.92 MFlops   12036.56 MFlops
    135 :   9.464651e-15    13174.70 MFlops    6075.00 MFlops   12848.28 MFlops
    136 :   5.109801e-14    14519.23 MFlops    5691.08 MFlops   14048.87 MFlops
    137 :   6.772360e-15    13965.26 MFlops    6256.33 MFlops   13606.01 MFlops
    138 :   8.598677e-14    14044.47 MFlops    6094.08 MFlops   13665.16 MFlops
    139 :   6.106227e-14    10500.95 MFlops    2117.37 MFlops    9690.36 MFlops
    140 :   1.249001e-15     9429.55 MFlops    2090.67 MFlops    8782.77 MFlops
    141 :   6.855627e-14    14265.76 MFlops    5890.67 MFlops   13855.36 MFlops
    142 :   8.715251e-15    14826.09 MFlops    5974.52 MFlops   14385.14 MFlops
    143 :   1.075529e-14    13039.94 MFlops    6058.96 MFlops   12738.36 MFlops
    144 :   3.125278e-14    15195.85 MFlops    5720.28 MFlops   14698.94 MFlops
    145 :   2.942091e-14    11306.91 MFlops    2026.51 MFlops   10346.47 MFlops
    146 :   4.996004e-15    15311.86 MFlops    5880.28 MFlops   14832.85 MFlops
    147 :   2.714495e-14    14001.20 MFlops    5961.10 MFlops   13633.44 MFlops
    148 :   2.010891e-13    15409.59 MFlops    5841.07 MFlops   14923.88 MFlops
    149 :   9.159340e-15    15502.98 MFlops    5920.27 MFlops   15023.05 MFlops
    150 :   4.329870e-15    15817.22 MFlops    5806.45 MFlops   15300.00 MFlops
    151 :   2.720046e-15    15353.18 MFlops    2171.52 MFlops   13729.63 MFlops
    152 :   1.079692e-14    10826.38 MFlops    2226.89 MFlops   10073.47 MFlops
    153 :   1.917910e-14    10816.39 MFlops    2203.20 MFlops   10060.07 MFlops
    154 :   4.929390e-14    10405.31 MFlops    2156.00 MFlops    9696.39 MFlops
    155 :   4.718448e-15    10997.05 MFlops    2209.20 MFlops   10224.78 MFlops
    156 :   1.693090e-15    16146.37 MFlops    5899.64 MFlops   15634.04 MFlops
    157 :   1.554312e-15    16099.40 MFlops    5975.52 MFlops   15603.72 MFlops
    158 :   2.109424e-15    11420.37 MFlops    1957.96 MFlops   10476.91 MFlops
    159 :   6.827872e-15    13795.55 MFlops    6128.73 MFlops   13483.20 MFlops
    160 :   1.518230e-14    17310.09 MFlops    6023.53 MFlops   16733.03 MFlops
    161 :   3.747003e-14     4249.24 MFlops    2160.08 MFlops    4175.37 MFlops
    162 :   6.411538e-14    10922.36 MFlops    2210.02 MFlops   10191.84 MFlops
    163 :   1.271205e-14    17739.88 MFlops    6251.53 MFlops   17169.65 MFlops
    164 :   3.036460e-14    18465.49 MFlops    5976.89 MFlops   17797.45 MFlops
    165 :   0.000000e+00    18572.09 MFlops    6222.86 MFlops   17936.47 MFlops
    166 :   4.746203e-15    15421.14 MFlops    2204.48 MFlops   13937.79 MFlops
    167 :   8.198997e-14    12058.16 MFlops    2231.12 MFlops   11188.51 MFlops
    168 :   5.456746e-14    11052.76 MFlops    5789.54 MFlops   10879.24 MFlops
    169 :   1.632028e-14    16109.50 MFlops    6346.89 MFlops   15688.60 MFlops
    170 :   2.386980e-14    16710.88 MFlops    6248.65 MFlops   16239.38 MFlops
    171 :   4.429790e-14    18622.76 MFlops    2126.62 MFlops   16425.94 MFlops
    172 :   3.219647e-14    11195.71 MFlops    5772.49 MFlops   11018.25 MFlops
