From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
      1 :   0.000000e+00        0.30 MFlops       0.67 MFlops       0.51 MFlops
      2 :   2.291505e-16        7.11 MFlops        inf MFlops      17.78 MFlops
      3 :   0.000000e+00         inf MFlops        inf MFlops        inf MFlops
      4 :   2.887871e-16         inf MFlops        inf MFlops        inf MFlops
      5 :   2.623638e-16         inf MFlops     200.00 MFlops     533.33 MFlops
      6 :   3.222992e-16      576.00 MFlops        inf MFlops     864.00 MFlops
      7 :   5.935126e-16      914.67 MFlops        inf MFlops    1306.67 MFlops
      8 :   1.169935e-16     1365.33 MFlops        inf MFlops    1877.33 MFlops
      9 :   1.469268e-15     1944.00 MFlops        inf MFlops    2592.00 MFlops
     10 :   6.223987e-17         inf MFlops     800.00 MFlops    3466.67 MFlops
     11 :   7.259858e-16     3549.33 MFlops        inf MFlops    4517.33 MFlops
     12 :   3.817098e-16     2304.00 MFlops        inf MFlops    2880.00 MFlops
     13 :   5.653872e-16     5858.67 MFlops        inf MFlops    7210.67 MFlops
     14 :   3.684927e-16     3658.67 MFlops        inf MFlops    4442.67 MFlops
     15 :   3.435446e-15     4500.00 MFlops    1800.00 MFlops    3600.00 MFlops
     16 :   2.130065e-16     5461.33 MFlops      23.81 MFlops     147.39 MFlops
     17 :   6.899390e-16     4367.11 MFlops     289.00 MFlops    1401.21 MFlops
     18 :   1.689101e-15     7776.00 MFlops    1296.00 MFlops    4536.00 MFlops
     19 :   3.813749e-16     6096.89 MFlops    2888.00 MFlops    5294.67 MFlops
     20 :   1.657831e-15     7111.11 MFlops    3200.00 MFlops    6133.33 MFlops
     21 :   2.992597e-15     8232.00 MFlops    1764.00 MFlops    5644.80 MFlops
     22 :   5.197432e-16     7098.67 MFlops    1936.00 MFlops    5377.78 MFlops
     23 :   6.889927e-16     8111.33 MFlops    2116.00 MFlops    6112.89 MFlops
     24 :   3.602512e-16     7372.80 MFlops    4608.00 MFlops    6912.00 MFlops
     25 :   3.591474e-15     8333.33 MFlops    2500.00 MFlops    6666.67 MFlops
     26 :   1.743234e-15    11717.33 MFlops    2704.00 MFlops    8712.89 MFlops
     27 :   5.601851e-16    10497.60 MFlops    2916.00 MFlops    8331.43 MFlops
     28 :   0.000000e+00     9756.44 MFlops    3136.00 MFlops    8101.33 MFlops
     29 :   6.912123e-16    10839.56 MFlops    3364.00 MFlops    8970.67 MFlops
     30 :   4.680250e-16    10285.71 MFlops    3600.00 MFlops    8800.00 MFlops
     31 :   2.885220e-14    11348.95 MFlops    3844.00 MFlops    9681.19 MFlops
     32 :   6.097573e-16    10922.67 MFlops    4096.00 MFlops    9557.33 MFlops
     33 :   2.137269e-15    11979.00 MFlops    2904.00 MFlops    9504.00 MFlops
