From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        0.11 MFlops
      2 :       64.00 MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :       66.67 MFlops
      6 :      192.00 MFlops
      7 :      548.80 MFlops
      8 :      292.57 MFlops
      9 :      243.00 MFlops
     10 :      444.44 MFlops
     11 :      709.87 MFlops
     12 :      658.29 MFlops
     13 :      193.14 MFlops
     14 :      784.00 MFlops
     15 :      870.97 MFlops
     16 :      963.76 MFlops
     17 :     1310.13 MFlops
     18 :     1728.00 MFlops
     19 :     2110.46 MFlops
     20 :     1142.86 MFlops
     21 :     1683.82 MFlops
     22 :     2433.83 MFlops
     23 :     3139.87 MFlops
     24 :     3351.27 MFlops
     25 :     1923.08 MFlops
     26 :     2929.33 MFlops
     27 :     3840.59 MFlops
     28 :     4621.47 MFlops
     29 :     3097.02 MFlops
     30 :     4408.16 MFlops
     31 :     7222.06 MFlops
     32 :     7489.83 MFlops
     33 :     7565.68 MFlops
     34 :     6987.38 MFlops
     35 :     6596.15 MFlops
     36 :    10977.88 MFlops
     37 :    19296.38 MFlops
     38 :    19953.45 MFlops
     39 :    18982.08 MFlops
     40 :    21333.33 MFlops
     41 :    19691.71 MFlops
     42 :    21952.00 MFlops
     43 :    14455.82 MFlops
     44 :    20650.67 MFlops
     45 :    22781.25 MFlops
     46 :    21630.22 MFlops
     47 :    24428.94 MFlops
     48 :    25278.17 MFlops
     49 :    26891.20 MFlops
     50 :    28571.43 MFlops
     51 :    19652.00 MFlops
     52 :    26782.48 MFlops
     53 :    27698.05 MFlops
     54 :    28629.82 MFlops
     55 :    29577.78 MFlops
     56 :    29269.33 MFlops
     57 :    23149.12 MFlops
     58 :    31217.92 MFlops
     59 :    19559.90 MFlops
     60 :    20819.28 MFlops
     61 :    25220.11 MFlops
     62 :    31777.07 MFlops
     63 :    32264.13 MFlops
     64 :    28339.89 MFlops
     65 :    30513.89 MFlops
     66 :    33823.06 MFlops
     67 :    35912.00 MFlops
     68 :    31443.20 MFlops
     69 :    35040.96 MFlops
     70 :    32666.67 MFlops
     71 :    34086.76 MFlops
     72 :    33550.38 MFlops
     73 :    36187.63 MFlops
     74 :    35624.09 MFlops
     75 :    37500.00 MFlops
     76 :    27652.03 MFlops
     77 :    32320.92 MFlops
     78 :    35480.52 MFlops
     79 :    35857.38 MFlops
     80 :    37577.98 MFlops
     81 :    37624.14 MFlops
     82 :    38356.03 MFlops
     83 :    36018.08 MFlops
     84 :    36195.66 MFlops
     85 :    36939.85 MFlops
     86 :    36872.81 MFlops
     87 :    37098.76 MFlops
     88 :    38124.31 MFlops
     89 :    38894.84 MFlops
     90 :    39673.47 MFlops
     91 :    35672.00 MFlops
     92 :    38453.73 MFlops
     93 :    37195.70 MFlops
     94 :    38408.51 MFlops
     95 :    39194.29 MFlops
     96 :    40215.27 MFlops
     97 :    38631.66 MFlops
     98 :    37836.86 MFlops
     99 :    39807.14 MFlops
    100 :    37558.69 MFlops
    101 :    33102.04 MFlops
    102 :    40045.58 MFlops
    103 :    39555.73 MFlops
    104 :    40173.71 MFlops
    105 :    40265.22 MFlops
    106 :    41247.31 MFlops
    107 :    41881.81 MFlops
    108 :    39675.97 MFlops
    109 :    39847.05 MFlops
    110 :    39147.06 MFlops
    111 :    43416.86 MFlops
    112 :    39436.58 MFlops
    113 :    33170.05 MFlops
    114 :    24899.90 MFlops
    115 :    27970.11 MFlops
    116 :    39022.40 MFlops
    117 :    40292.15 MFlops
    118 :    41334.14 MFlops
    119 :    40484.30 MFlops
    120 :    42404.91 MFlops
    121 :    23310.01 MFlops
    122 :    24705.41 MFlops
    123 :    46961.94 MFlops
    124 :    35064.35 MFlops
    125 :    40903.14 MFlops
    126 :    41674.50 MFlops
    127 :    41803.73 MFlops
    128 :    41838.44 MFlops
    129 :    36003.17 MFlops
    130 :    43397.53 MFlops
    131 :    40506.14 MFlops
    132 :    41817.60 MFlops
    133 :    43266.89 MFlops
    134 :    33651.80 MFlops
    135 :    42238.20 MFlops
    136 :    42634.85 MFlops
    137 :    43125.42 MFlops
    138 :    43439.21 MFlops
    139 :    41237.91 MFlops
    140 :    27101.23 MFlops
    141 :    35427.75 MFlops
    142 :    42184.72 MFlops
    143 :    41924.11 MFlops
    144 :    41400.12 MFlops
    145 :    33593.66 MFlops
    146 :    29051.44 MFlops
    147 :    48682.34 MFlops
    148 :    41362.58 MFlops
    149 :    41872.77 MFlops
    150 :    42319.75 MFlops
    151 :    32480.67 MFlops
    152 :    43288.85 MFlops
    153 :    43878.43 MFlops
    154 :    50031.01 MFlops
    155 :    27181.57 MFlops
    156 :    43699.75 MFlops
    157 :    42702.27 MFlops
    158 :    42641.21 MFlops
    159 :    43455.99 MFlops
    160 :    43807.49 MFlops
    161 :    44045.18 MFlops
    162 :    48868.14 MFlops
    163 :    44532.10 MFlops
    164 :    42669.35 MFlops
    165 :    42884.25 MFlops
    166 :    43461.24 MFlops
    167 :    43732.05 MFlops
    168 :    44108.20 MFlops
    169 :    44130.83 MFlops
    170 :    44511.89 MFlops
    171 :    44495.76 MFlops
    172 :    28308.47 MFlops
    173 :    43192.63 MFlops
    174 :    43492.46 MFlops
    175 :    43483.77 MFlops
    176 :    42927.37 MFlops
    177 :    44273.32 MFlops
    178 :    47392.87 MFlops
    179 :    42523.37 MFlops
    180 :    43563.03 MFlops
    181 :    44752.76 MFlops
    182 :    33515.32 MFlops
    183 :    44129.52 MFlops
    184 :    50390.33 MFlops
    185 :    44510.54 MFlops
    186 :    56322.59 MFlops
    187 :    44789.06 MFlops
    188 :    45511.45 MFlops
    189 :    43982.21 MFlops
    190 :    51766.04 MFlops
    191 :    44275.59 MFlops
    192 :    57661.00 MFlops
    193 :    44861.51 MFlops
    194 :    63215.45 MFlops
    195 :    43047.17 MFlops
    196 :    45053.32 MFlops
    197 :    44065.55 MFlops
    198 :    44324.87 MFlops
    199 :    72884.15 MFlops
    200 :    44599.30 MFlops
