From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        0.42 MFlops
      2 :       32.00 MFlops
      3 :      216.00 MFlops
      4 :      512.00 MFlops
      5 :     1000.00 MFlops
      6 :      172.80 MFlops
      7 :     1372.00 MFlops
      8 :     4096.00 MFlops
      9 :     5832.00 MFlops
     10 :     8000.00 MFlops
     11 :     5324.00 MFlops
     12 :     6912.00 MFlops
     13 :     8788.00 MFlops
     14 :     7317.33 MFlops
     15 :     9000.00 MFlops
     16 :    10922.67 MFlops
     17 :     9826.00 MFlops
     18 :    11664.00 MFlops
     19 :    10974.40 MFlops
     20 :    12800.00 MFlops
     21 :    12348.00 MFlops
     22 :    14197.33 MFlops
     23 :    10815.11 MFlops
     24 :    13824.00 MFlops
     25 :    15625.00 MFlops
     26 :    14060.80 MFlops
     27 :    14314.91 MFlops
     28 :    13508.92 MFlops
     29 :    15008.62 MFlops
     30 :    14400.00 MFlops
     31 :    14895.50 MFlops
     32 :    15420.24 MFlops
     33 :     3058.47 MFlops
     34 :     6987.38 MFlops
     35 :    10718.75 MFlops
     36 :    16228.17 MFlops
     37 :    16884.33 MFlops
     38 :    18290.67 MFlops
     39 :    18252.00 MFlops
     40 :    15515.15 MFlops
     41 :    18378.93 MFlops
     42 :    21168.00 MFlops
     43 :    21201.87 MFlops
     44 :    21982.97 MFlops
     45 :    21441.18 MFlops
     46 :    16222.67 MFlops
     47 :    19315.91 MFlops
     48 :    19233.39 MFlops
     49 :    20915.38 MFlops
     50 :    21276.60 MFlops
     51 :    20407.85 MFlops
     52 :    22056.16 MFlops
     53 :    21654.84 MFlops
     54 :    21351.05 MFlops
     55 :    23350.88 MFlops
     56 :    23812.34 MFlops
     57 :    24287.61 MFlops
     58 :    25588.46 MFlops
     59 :    25672.37 MFlops
     60 :    26584.62 MFlops
     61 :    27102.21 MFlops
     62 :    25765.19 MFlops
     63 :    29417.29 MFlops
     64 :    30393.51 MFlops
     65 :    19442.48 MFlops
     66 :    30666.24 MFlops
     67 :    33418.11 MFlops
     68 :    33992.65 MFlops
     69 :    32850.90 MFlops
     70 :    34300.00 MFlops
     71 :    34086.76 MFlops
     72 :    35547.43 MFlops
     73 :    34199.30 MFlops
     74 :    32745.37 MFlops
     75 :    22804.05 MFlops
     76 :    34770.38 MFlops
     77 :    38444.88 MFlops
     78 :    33012.31 MFlops
     79 :    37210.49 MFlops
     80 :    36900.90 MFlops
     81 :    35136.60 MFlops
     82 :    35287.55 MFlops
     83 :    34653.76 MFlops
     84 :    35921.45 MFlops
     85 :    36664.18 MFlops
     86 :    35583.55 MFlops
     87 :    37098.76 MFlops
     88 :    37859.56 MFlops
     89 :    36861.12 MFlops
     90 :    33325.71 MFlops
     91 :    38893.99 MFlops
     92 :    33672.99 MFlops
     93 :    38302.71 MFlops
     94 :    42054.89 MFlops
     95 :    40111.11 MFlops
     96 :    39321.60 MFlops
     97 :    41019.01 MFlops
     98 :    39838.81 MFlops
     99 :    39807.14 MFlops
    100 :    41884.82 MFlops
    101 :    43381.09 MFlops
    102 :    41211.96 MFlops
    103 :    39916.97 MFlops
    104 :    42248.41 MFlops
    105 :    42095.45 MFlops
    106 :    43707.01 MFlops
    107 :    45583.00 MFlops
    108 :    44200.42 MFlops
    109 :    45439.61 MFlops
    110 :    46295.65 MFlops
    111 :    46360.37 MFlops
    112 :    45503.74 MFlops
    113 :    43559.15 MFlops
    114 :    44557.71 MFlops
    115 :    46438.93 MFlops
    116 :    46944.24 MFlops
    117 :    46089.58 MFlops
    118 :    46120.20 MFlops
    119 :    47805.93 MFlops
    120 :    47833.91 MFlops
    121 :    45424.64 MFlops
    122 :    51696.74 MFlops
    123 :    51334.26 MFlops
    124 :    48268.96 MFlops
    125 :    49446.20 MFlops
    126 :    50166.17 MFlops
    127 :    47361.46 MFlops
    128 :    50840.05 MFlops
    129 :    47440.64 MFlops
    130 :    51694.12 MFlops
    131 :    52741.14 MFlops
    132 :    51252.77 MFlops
    133 :    50594.34 MFlops
    134 :    52023.87 MFlops
    135 :    52628.34 MFlops
