From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        1.33 MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :      800.00 MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :         inf MFlops
     14x14 :         inf MFlops
     15x15 :     1800.00 MFlops
     16x16 :         inf MFlops
     17x17 :         inf MFlops
     18x18 :         inf MFlops
     19x19 :     2888.00 MFlops
     20x20 :         inf MFlops
     21x21 :     3528.00 MFlops
     22x22 :     3872.00 MFlops
     23x23 :         inf MFlops
     24x24 :     4608.00 MFlops
     25x25 :     5000.00 MFlops
     26x26 :     5408.00 MFlops
     27x27 :         inf MFlops
     28x28 :         inf MFlops
     29x29 :     6728.00 MFlops
     30x30 :     7200.00 MFlops
     31x31 :     7688.00 MFlops
     32x32 :         inf MFlops
     33x33 :     8712.00 MFlops
     34x34 :     9248.00 MFlops
     35x35 :     9800.00 MFlops
     36x36 :    10368.00 MFlops
     37x37 :     5476.00 MFlops
     38x38 :    11552.00 MFlops
     39x39 :    12168.00 MFlops
     40x40 :    12800.00 MFlops
     41x41 :     6724.00 MFlops
     42x42 :     7056.00 MFlops
     43x43 :    14792.00 MFlops
     44x44 :     7744.00 MFlops
     45x45 :    16200.00 MFlops
     46x46 :     8464.00 MFlops
     47x47 :     8836.00 MFlops
     48x48 :     9216.00 MFlops
     49x49 :     9604.00 MFlops
     50x50 :    10000.00 MFlops
     51x51 :    10404.00 MFlops
     52x52 :    10816.00 MFlops
     53x53 :    11236.00 MFlops
     54x54 :    11664.00 MFlops
     55x55 :     8066.67 MFlops
     56x56 :     8362.67 MFlops
     57x57 :    12996.00 MFlops
     58x58 :     8970.67 MFlops
     59x59 :    13924.00 MFlops
     60x60 :    14400.00 MFlops
     61x61 :     9922.67 MFlops
     62x62 :    10250.67 MFlops
     63x63 :    10584.00 MFlops
     64x64 :    10922.67 MFlops
     65x65 :    11266.67 MFlops
     66x66 :     8712.00 MFlops
     67x67 :    11970.67 MFlops
     68x68 :     9248.00 MFlops
     69x69 :     9522.00 MFlops
     70x70 :    13066.67 MFlops
     71x71 :    10082.00 MFlops
     72x72 :    10368.00 MFlops
     73x73 :    14210.67 MFlops
     74x74 :    10952.00 MFlops
     75x75 :    11250.00 MFlops
     76x76 :     9241.60 MFlops
     77x77 :    11858.00 MFlops
     78x78 :     9734.40 MFlops
     79x79 :    12482.00 MFlops
     80x80 :    12800.00 MFlops
     81x81 :    13122.00 MFlops
     82x82 :    13448.00 MFlops
     83x83 :    11022.40 MFlops
     84x84 :    11289.60 MFlops
     85x85 :    11560.00 MFlops
     86x86 :    11833.60 MFlops
     87x87 :    12110.40 MFlops
     88x88 :    12390.40 MFlops
     89x89 :    10561.33 MFlops
     90x90 :    12960.00 MFlops
     91x91 :    11041.33 MFlops
     92x92 :    11285.33 MFlops
     93x93 :    11532.00 MFlops
     94x94 :    11781.33 MFlops
     95x95 :    12033.33 MFlops
     96x96 :    12288.00 MFlops
     97x97 :    10753.14 MFlops
     98x98 :    10976.00 MFlops
     99x99 :     9801.00 MFlops
    100x100 :    11428.57 MFlops
    101x101 :    11658.29 MFlops
    102x102 :    11890.29 MFlops
    103x103 :    10609.00 MFlops
    104x104 :    12361.14 MFlops
    105x105 :    12600.00 MFlops
    106x106 :    11236.00 MFlops
    107x107 :    11449.00 MFlops
    108x108 :    11664.00 MFlops
    109x109 :    10560.89 MFlops
    110x110 :    10755.56 MFlops
    111x111 :    10952.00 MFlops
    112x112 :    11150.22 MFlops
    113x113 :    11350.22 MFlops
    114x114 :    11552.00 MFlops
    115x115 :    10580.00 MFlops
    116x116 :    11960.89 MFlops
    117x117 :    10951.20 MFlops
    118x118 :    11139.20 MFlops
    119x119 :    11328.80 MFlops
    120x120 :    11520.00 MFlops
    121x121 :    11712.80 MFlops
    122x122 :    10824.73 MFlops
    123x123 :    12103.20 MFlops
    124x124 :    11182.55 MFlops
    125x125 :    11363.64 MFlops
    126x126 :    11546.18 MFlops
    127x127 :    11730.18 MFlops
    128x128 :    11915.64 MFlops
    129x129 :    12102.55 MFlops
    130x130 :    12290.91 MFlops
    131x131 :    11440.67 MFlops
    132x132 :    11616.00 MFlops
    133x133 :    11792.67 MFlops
    134x134 :    11970.67 MFlops
    135x135 :    11215.38 MFlops
    136x136 :    11382.15 MFlops
    137x137 :    11550.15 MFlops
    138x138 :    11719.38 MFlops
    139x139 :    11889.85 MFlops
    140x140 :    11200.00 MFlops
    141x141 :    11360.57 MFlops
    142x142 :    12408.62 MFlops
    143x143 :    11685.14 MFlops
    144x144 :    11059.20 MFlops
    145x145 :    11213.33 MFlops
    146x146 :    12180.57 MFlops
    147x147 :    12348.00 MFlops
    148x148 :    12516.57 MFlops
    149x149 :    11840.53 MFlops
    150x150 :    11250.00 MFlops
    151x151 :    11400.50 MFlops
    152x152 :    12322.13 MFlops
    153x153 :    11704.50 MFlops
    154x154 :    11858.00 MFlops
    155x155 :    11305.88 MFlops
    156x156 :    11452.24 MFlops
    157x157 :    11599.53 MFlops
    158x158 :    11747.76 MFlops
    159x159 :    11896.94 MFlops
    160x160 :    11377.78 MFlops
    161x161 :    11520.44 MFlops
    162x162 :    11664.00 MFlops
    163x163 :    11808.44 MFlops
    164x164 :    11953.78 MFlops
    165x165 :    12100.00 MFlops
    166x166 :    12247.11 MFlops
    167x167 :    12395.11 MFlops
    168x168 :    11883.79 MFlops
    169x169 :    12025.68 MFlops
    170x170 :    12168.42 MFlops
    171x171 :    12312.00 MFlops
    172x172 :    11833.60 MFlops
    173x173 :    11971.60 MFlops
    174x174 :    12110.40 MFlops
    175x175 :    12250.00 MFlops
    176x176 :    12390.40 MFlops
    177x177 :    11934.86 MFlops
    178x178 :    12070.10 MFlops
    179x179 :    12206.10 MFlops
    180x180 :    11781.82 MFlops
    181x181 :    11913.09 MFlops
    182x182 :    12045.09 MFlops
    183x183 :    12177.82 MFlops
    184x184 :    12311.27 MFlops
    185x185 :    12445.45 MFlops
    186x186 :    12033.39 MFlops
    187x187 :    12163.13 MFlops
    188x188 :    12293.57 MFlops
    189x189 :    12424.70 MFlops
    190x190 :    12033.33 MFlops
    191x191 :    12160.33 MFlops
    192x192 :    12288.00 MFlops
    193x193 :    12416.33 MFlops
    194x194 :    12043.52 MFlops
    195x195 :    12168.00 MFlops
    196x196 :    11820.31 MFlops
    197x197 :    11941.23 MFlops
    198x198 :    12062.77 MFlops
    199x199 :    12184.92 MFlops
    200x200 :    12307.69 MFlops
