From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.80 MFlops
      2 :       64.00 MFlops
      3 :      216.00 MFlops
      4 :      512.00 MFlops
      5 :       71.43 MFlops
      6 :      345.60 MFlops
      7 :      392.00 MFlops
      8 :      512.00 MFlops
      9 :      530.18 MFlops
     10 :     1600.00 MFlops
     11 :     1521.14 MFlops
     12 :     1974.86 MFlops
     13 :     2510.86 MFlops
     14 :     3136.00 MFlops
     15 :     4500.00 MFlops
     16 :     2730.67 MFlops
     17 :     4367.11 MFlops
     18 :     5184.00 MFlops
     19 :     7838.86 MFlops
     20 :     6400.00 MFlops
     21 :     4630.50 MFlops
     22 :     7744.00 MFlops
     23 :     7487.38 MFlops
     24 :     8507.08 MFlops
     25 :     6250.00 MFlops
     26 :    10816.00 MFlops
     27 :    10497.60 MFlops
     28 :     9242.95 MFlops
     29 :    12194.50 MFlops
     30 :    13500.00 MFlops
     31 :    14895.50 MFlops
     32 :    11915.64 MFlops
     33 :    13068.00 MFlops
     34 :    14972.95 MFlops
     35 :    14913.04 MFlops
     36 :    14929.92 MFlops
     37 :    16884.33 MFlops
     38 :    17559.04 MFlops
     39 :    16363.86 MFlops
     40 :    17655.17 MFlops
     41 :    19012.69 MFlops
     42 :    18522.00 MFlops
     43 :    19274.42 MFlops
     44 :    21296.00 MFlops
     45 :    22090.91 MFlops
     46 :    25956.27 MFlops
     47 :    19315.91 MFlops
     48 :    12461.07 MFlops
     49 :    24768.21 MFlops
     50 :    19230.77 MFlops
     51 :    20407.85 MFlops
     52 :    22056.16 MFlops
     53 :    22472.00 MFlops
     54 :    23768.15 MFlops
     55 :    25596.15 MFlops
     56 :    25544.15 MFlops
     57 :    26456.14 MFlops
     58 :    27384.14 MFlops
     59 :    28328.14 MFlops
     60 :    25791.04 MFlops
     61 :    27936.12 MFlops
     62 :    29332.68 MFlops
     63 :    29856.36 MFlops
     64 :    20560.31 MFlops
     65 :    28532.47 MFlops
     66 :    30666.24 MFlops
     67 :    22699.09 MFlops
     68 :    23291.26 MFlops
     69 :    23464.93 MFlops
     70 :    25407.41 MFlops
     71 :    24061.24 MFlops
     72 :    28711.38 MFlops
     73 :    25720.13 MFlops
     74 :    26143.48 MFlops
     75 :    26785.71 MFlops
     76 :    27652.03 MFlops
     77 :    28986.22 MFlops
     78 :    29429.58 MFlops
     79 :    26121.27 MFlops
     80 :    24526.95 MFlops
     81 :    27970.58 MFlops
     82 :    28829.70 MFlops
     83 :    28236.40 MFlops
     84 :    27095.04 MFlops
     85 :    28730.99 MFlops
     86 :    29243.95 MFlops
     87 :    29266.80 MFlops
     88 :    30456.85 MFlops
     89 :    30987.65 MFlops
     90 :    29604.06 MFlops
     91 :    31075.09 MFlops
     92 :    31147.52 MFlops
     93 :    32499.27 MFlops
     94 :    33223.36 MFlops
     95 :    31902.33 MFlops
     96 :    32467.38 MFlops
     97 :    24176.77 MFlops
     98 :    34225.16 MFlops
     99 :    34808.93 MFlops
    100 :    28880.87 MFlops
    101 :    30755.25 MFlops
    102 :    30759.65 MFlops
    103 :    31904.44 MFlops
    104 :    26545.46 MFlops
    105 :    30564.36 MFlops
    106 :    34029.03 MFlops
    107 :    35253.04 MFlops
    108 :    35863.69 MFlops
    109 :    36224.59 MFlops
    110 :    37492.96 MFlops
    111 :    36228.64 MFlops
    112 :    36139.63 MFlops
    113 :    37477.84 MFlops
    114 :    37746.34 MFlops
    115 :    30802.53 MFlops
    116 :    31773.96 MFlops
    117 :    32520.06 MFlops
    118 :    31147.53 MFlops
    119 :    32174.87 MFlops
    120 :    32603.77 MFlops
    121 :    33268.75 MFlops
    122 :    32067.96 MFlops
    123 :    34066.22 MFlops
    124 :    34276.39 MFlops
    125 :    39160.40 MFlops
    126 :    27262.36 MFlops
    127 :    34866.09 MFlops
    128 :    30897.27 MFlops
    129 :    40031.50 MFlops
    130 :    31554.76 MFlops
    131 :    32463.41 MFlops
    132 :    32739.76 MFlops
    133 :    37642.19 MFlops
    134 :    33360.19 MFlops
    135 :    34290.94 MFlops
    136 :    33992.65 MFlops
    137 :    29683.73 MFlops
    138 :    21697.19 MFlops
    139 :    39349.73 MFlops
    140 :    33412.48 MFlops
    141 :    31991.11 MFlops
    142 :    45002.56 MFlops
    143 :    36269.23 MFlops
    144 :    35180.96 MFlops
    145 :    34399.15 MFlops
    146 :    48063.88 MFlops
    147 :    60940.49 MFlops
    148 :    34079.29 MFlops
    149 :    35237.81 MFlops
    150 :    34307.50 MFlops
    151 :    37271.46 MFlops
    152 :    37710.69 MFlops
    153 :    35771.06 MFlops
    154 :    37603.75 MFlops
    155 :    38390.46 MFlops
    156 :    38444.72 MFlops
    157 :    36681.45 MFlops
    158 :    36776.80 MFlops
    159 :    37479.52 MFlops
    160 :    31507.69 MFlops
    161 :    37386.62 MFlops
    162 :    38302.05 MFlops
    163 :    34680.66 MFlops
    164 :    34293.05 MFlops
    165 :    35722.66 MFlops
    166 :    35806.62 MFlops
    167 :    39680.20 MFlops
    168 :    29156.85 MFlops
    169 :    37453.42 MFlops
    170 :    37503.82 MFlops
    171 :    40943.39 MFlops
    172 :    43584.14 MFlops
    173 :    38036.49 MFlops
    174 :    41358.38 MFlops
    175 :    37412.74 MFlops
    176 :    42426.27 MFlops
    177 :    38309.04 MFlops
    178 :    43424.46 MFlops
    179 :    34998.25 MFlops
    180 :    41731.66 MFlops
    181 :    35721.33 MFlops
    182 :    41150.63 MFlops
    183 :    47832.09 MFlops
    184 :    35801.75 MFlops
    185 :    39205.11 MFlops
    186 :    47315.12 MFlops
    187 :    40025.73 MFlops
    188 :    49128.81 MFlops
    189 :    40916.78 MFlops
    190 :    36100.00 MFlops
    191 :    37311.22 MFlops
    192 :    55786.31 MFlops
    193 :    37987.09 MFlops
    194 :    38914.77 MFlops
    195 :    50016.02 MFlops
    196 :    34638.46 MFlops
    197 :    39613.33 MFlops
    198 :    43762.60 MFlops
    199 :    43842.00 MFlops
    200 :    41051.96 MFlops
