From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.50 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :      512.00 MFlops
      5 :     1000.00 MFlops
      6 :       20.57 MFlops
      7 :     1372.00 MFlops
      8 :     1365.33 MFlops
      9 :     5832.00 MFlops
     10 :     8000.00 MFlops
     11 :     5324.00 MFlops
     12 :    13824.00 MFlops
     13 :     5858.67 MFlops
     14 :    10976.00 MFlops
     15 :     9000.00 MFlops
     16 :    10922.67 MFlops
     17 :     6550.67 MFlops
     18 :    11664.00 MFlops
     19 :    10974.40 MFlops
     20 :    10666.67 MFlops
     21 :    12348.00 MFlops
     22 :    14197.33 MFlops
     23 :     9733.60 MFlops
     24 :    13824.00 MFlops
     25 :    13888.89 MFlops
     26 :    11717.33 MFlops
     27 :    15746.40 MFlops
     28 :    13508.92 MFlops
     29 :    15008.62 MFlops
     30 :    15428.57 MFlops
     31 :    15888.53 MFlops
     32 :    13107.20 MFlops
     33 :     8214.17 MFlops
     34 :     7312.37 MFlops
     35 :     9270.27 MFlops
     36 :    15552.00 MFlops
     37 :    15585.54 MFlops
     38 :    16258.37 MFlops
     39 :    18252.00 MFlops
     40 :    16000.00 MFlops
     41 :    19012.69 MFlops
     42 :    19119.48 MFlops
     43 :    19876.75 MFlops
     44 :    11749.52 MFlops
     45 :    13500.00 MFlops
     46 :    16222.67 MFlops
     47 :    17303.83 MFlops
     48 :    20575.26 MFlops
     49 :    10230.35 MFlops
     50 :    13888.89 MFlops
     51 :    14739.00 MFlops
     52 :    14421.33 MFlops
     53 :    16094.81 MFlops
     54 :    15746.40 MFlops
     55 :    12922.33 MFlops
     56 :    16926.84 MFlops
     57 :    18290.67 MFlops
     58 :    18582.10 MFlops
     59 :    19559.90 MFlops
     60 :    16301.89 MFlops
     61 :    20176.09 MFlops
     62 :    17818.92 MFlops
     63 :    18021.41 MFlops
     64 :    18558.87 MFlops
     65 :    18157.02 MFlops
     66 :    19166.40 MFlops
     67 :    18797.69 MFlops
     68 :    19056.48 MFlops
     69 :    19612.48 MFlops
     70 :    20631.58 MFlops
     71 :    20748.46 MFlops
     72 :    21328.46 MFlops
     73 :    21316.00 MFlops
     74 :    22204.05 MFlops
     75 :    22651.01 MFlops
     76 :    22511.59 MFlops
     77 :    24028.05 MFlops
     78 :    24027.95 MFlops
     79 :    21436.48 MFlops
     80 :    24674.70 MFlops
     81 :    25306.71 MFlops
     82 :    25946.73 MFlops
     83 :    25272.35 MFlops
     84 :    25769.74 MFlops
     85 :    26846.99 MFlops
     86 :    27654.61 MFlops
     87 :    27726.44 MFlops
     88 :    28394.67 MFlops
     89 :    28058.47 MFlops
     90 :    28448.78 MFlops
     91 :    28571.41 MFlops
     92 :    28974.44 MFlops
     93 :    34046.86 MFlops
     94 :    29796.74 MFlops
     95 :    29187.23 MFlops
     96 :    27975.84 MFlops
     97 :    30296.20 MFlops
     98 :    29071.57 MFlops
     99 :    29855.35 MFlops
    100 :    30769.23 MFlops
    101 :    30302.97 MFlops
    102 :    31560.09 MFlops
    103 :    31332.67 MFlops
    104 :    31030.73 MFlops
    105 :    32044.98 MFlops
    106 :    31342.53 MFlops
    107 :    31013.75 MFlops
    108 :    31394.69 MFlops
    109 :    31877.64 MFlops
    110 :    34019.17 MFlops
    111 :    35293.70 MFlops
    112 :    34582.84 MFlops
    113 :    32424.65 MFlops
    114 :    35592.65 MFlops
    115 :    37207.95 MFlops
    116 :    36194.69 MFlops
    117 :    37031.51 MFlops
    118 :    37130.67 MFlops
    119 :    36934.99 MFlops
    120 :    36668.44 MFlops
    121 :    36154.31 MFlops
    122 :    37248.16 MFlops
    123 :    38768.06 MFlops
    124 :    39515.52 MFlops
    125 :    40479.27 MFlops
    126 :    36042.81 MFlops
    127 :    36991.12 MFlops
    128 :    39107.73 MFlops
    129 :    39208.93 MFlops
    130 :    39144.77 MFlops
