From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.44 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :      500.00 MFlops
      6 :      864.00 MFlops
      7 :         inf MFlops
      8 :     2048.00 MFlops
      9 :     2916.00 MFlops
     10 :     4000.00 MFlops
     11 :     5324.00 MFlops
     12 :     6912.00 MFlops
     13 :     8788.00 MFlops
     14 :     5488.00 MFlops
     15 :    13500.00 MFlops
     16 :     4096.00 MFlops
     17 :     6550.67 MFlops
     18 :    11664.00 MFlops
     19 :     9145.33 MFlops
     20 :    10666.67 MFlops
     21 :     9261.00 MFlops
     22 :     8518.40 MFlops
     23 :     8111.33 MFlops
     24 :    11059.20 MFlops
     25 :    10416.67 MFlops
     26 :    11717.33 MFlops
     27 :    11247.43 MFlops
     28 :    10976.00 MFlops
     29 :    10839.56 MFlops
     30 :    12000.00 MFlops
     31 :    11916.40 MFlops
     32 :       10.14 MFlops
     33 :     2178.00 MFlops
     34 :     3493.69 MFlops
     35 :     4287.50 MFlops
     36 :     5488.94 MFlops
     37 :     5065.30 MFlops
     38 :     4771.48 MFlops
     39 :     5787.22 MFlops
     40 :     6243.90 MFlops
     41 :     8615.12 MFlops
     42 :     7798.74 MFlops
     43 :     7950.70 MFlops
     44 :     7744.00 MFlops
     45 :     7009.62 MFlops
     46 :     6712.83 MFlops
     47 :     9438.45 MFlops
     48 :     6505.41 MFlops
     49 :     8556.29 MFlops
     50 :    10638.30 MFlops
     51 :     8843.40 MFlops
     52 :    10043.43 MFlops
     53 :     9925.13 MFlops
     54 :    12350.12 MFlops
     55 :    12556.60 MFlops
     56 :    11150.22 MFlops
     57 :    12996.00 MFlops
     58 :     8045.86 MFlops
     59 :    11570.65 MFlops
     60 :    11675.68 MFlops
     61 :     9170.95 MFlops
     62 :     7114.27 MFlops
     63 :     7354.32 MFlops
     64 :    12483.05 MFlops
     65 :    13731.25 MFlops
     66 :    12499.83 MFlops
     67 :    14852.49 MFlops
     68 :    11130.34 MFlops
     69 :    14129.42 MFlops
     70 :    15415.73 MFlops
     71 :    14608.61 MFlops
     72 :    23328.00 MFlops
     73 :    23224.90 MFlops
     74 :    24192.48 MFlops
     75 :    13946.28 MFlops
     76 :    26207.52 MFlops
     77 :    26087.60 MFlops
     78 :    28331.46 MFlops
     79 :    17608.54 MFlops
     80 :    21557.89 MFlops
     81 :    21915.09 MFlops
     82 :    21206.46 MFlops
     83 :    15994.04 MFlops
     84 :    20438.07 MFlops
     85 :    19191.41 MFlops
     86 :    19421.56 MFlops
     87 :    18814.37 MFlops
     88 :    22343.34 MFlops
     89 :    22203.75 MFlops
     90 :    21924.81 MFlops
     91 :    19701.20 MFlops
     92 :    29384.45 MFlops
     93 :    29517.69 MFlops
     94 :    30762.37 MFlops
     95 :    32051.40 MFlops
     96 :    29491.20 MFlops
     97 :    30678.08 MFlops
     98 :    30858.75 MFlops
     99 :    30560.60 MFlops
    100 :    31496.06 MFlops
    101 :    29022.56 MFlops
    102 :    29274.70 MFlops
    103 :    29734.07 MFlops
    104 :    31030.73 MFlops
    105 :    30463.82 MFlops
    106 :    30935.48 MFlops
    107 :    30247.98 MFlops
    108 :    32719.79 MFlops
    109 :    32579.35 MFlops
    110 :    22752.14 MFlops
    111 :    20038.55 MFlops
    112 :    31571.42 MFlops
    113 :    34560.41 MFlops
    114 :    34859.86 MFlops
    115 :    35576.02 MFlops
    116 :    35882.67 MFlops
    117 :    35991.30 MFlops
    118 :    35913.27 MFlops
    119 :    36834.08 MFlops
    120 :    40899.41 MFlops
    121 :    26052.37 MFlops
    122 :    25485.59 MFlops
    123 :    24565.90 MFlops
    124 :    26298.26 MFlops
    125 :    31887.76 MFlops
    126 :    24849.39 MFlops
    127 :    22696.76 MFlops
    128 :    22919.69 MFlops
    129 :    23786.03 MFlops
    130 :    23248.68 MFlops
    131 :    22939.70 MFlops
    132 :    33093.06 MFlops
    133 :    33489.49 MFlops
    134 :    37159.91 MFlops
    135 :    20375.78 MFlops
    136 :    32249.44 MFlops
    137 :    32141.91 MFlops
    138 :    32953.88 MFlops
    139 :    23978.74 MFlops
    140 :    27371.57 MFlops
    141 :    32690.62 MFlops
    142 :    33785.11 MFlops
    143 :    34402.44 MFlops
    144 :    29131.55 MFlops
    145 :    29103.82 MFlops
    146 :    28816.07 MFlops
    147 :    27621.94 MFlops
    148 :    31397.50 MFlops
    149 :    30843.35 MFlops
    150 :    26522.59 MFlops
    151 :    26535.27 MFlops
    152 :    27597.71 MFlops
    153 :    27656.97 MFlops
    154 :    27357.78 MFlops
    155 :    38489.66 MFlops
    156 :    29203.20 MFlops
    157 :    29541.17 MFlops
    158 :    28478.79 MFlops
    159 :    35337.84 MFlops
    160 :    34204.59 MFlops
    161 :    34849.95 MFlops
    162 :    36260.37 MFlops
    163 :    36240.56 MFlops
    164 :    35500.56 MFlops
    165 :    40197.99 MFlops
    166 :    39604.29 MFlops
    167 :    28057.01 MFlops
    168 :    29588.97 MFlops
    169 :    27040.95 MFlops
    170 :    39147.41 MFlops
    171 :    36631.58 MFlops
    172 :    37278.01 MFlops
    173 :    38071.45 MFlops
    174 :    43808.93 MFlops
    175 :    39995.34 MFlops
    176 :    35401.14 MFlops
    177 :    39327.89 MFlops
    178 :    52341.09 MFlops
    179 :    35958.24 MFlops
    180 :    30100.65 MFlops
    181 :    30215.24 MFlops
    182 :    40596.42 MFlops
    183 :    42485.18 MFlops
    184 :    38513.16 MFlops
    185 :    30007.70 MFlops
    186 :    36665.85 MFlops
    187 :    36788.77 MFlops
    188 :    37915.39 MFlops
    189 :    37875.28 MFlops
    190 :    41506.81 MFlops
    191 :    42038.44 MFlops
    192 :    39486.13 MFlops
    193 :    30755.32 MFlops
    194 :    28327.39 MFlops
    195 :    28767.70 MFlops
    196 :    28359.83 MFlops
    197 :    39409.14 MFlops
    198 :    36571.93 MFlops
    199 :    26781.98 MFlops
    200 :    48632.22 MFlops
