From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.27 MFlops
      2 :       16.00 MFlops
      3 :         inf MFlops
      4 :      256.00 MFlops
      5 :      500.00 MFlops
      6 :      864.00 MFlops
      7 :     1372.00 MFlops
      8 :     2048.00 MFlops
      9 :     2916.00 MFlops
     10 :     4000.00 MFlops
     11 :     5324.00 MFlops
     12 :     6912.00 MFlops
     13 :     8788.00 MFlops
     14 :    10976.00 MFlops
     15 :    13500.00 MFlops
     16 :     8192.00 MFlops
     17 :     4913.00 MFlops
     18 :    11664.00 MFlops
     19 :    13718.00 MFlops
     20 :    16000.00 MFlops
     21 :    12348.00 MFlops
     22 :    10648.00 MFlops
     23 :     9733.60 MFlops
     24 :    13824.00 MFlops
     25 :    12500.00 MFlops
     26 :    14060.80 MFlops
     27 :    13122.00 MFlops
     28 :    12544.00 MFlops
     29 :    13936.57 MFlops
     30 :    13500.00 MFlops
     31 :    13240.44 MFlops
     32 :    14563.56 MFlops
     33 :     7986.00 MFlops
     34 :    15721.60 MFlops
     35 :    15590.91 MFlops
     36 :    13330.29 MFlops
     37 :    14472.29 MFlops
     38 :    15677.71 MFlops
     39 :    14829.75 MFlops
     40 :    14222.22 MFlops
     41 :    15315.78 MFlops
     42 :    16464.00 MFlops
     43 :    14455.82 MFlops
     44 :    15488.00 MFlops
     45 :    15847.83 MFlops
     46 :    14420.15 MFlops
     47 :    16611.68 MFlops
     48 :    16384.00 MFlops
     49 :     1532.89 MFlops
     50 :    13513.51 MFlops
     51 :    10404.00 MFlops
     52 :    10611.92 MFlops
     53 :    17014.51 MFlops
     54 :    17995.89 MFlops
     55 :    17064.10 MFlops
     56 :    21286.79 MFlops
     57 :    19494.00 MFlops
     58 :    20011.49 MFlops
     59 :    20036.98 MFlops
     60 :    14163.93 MFlops
     61 :    20176.09 MFlops
     62 :    21184.71 MFlops
     63 :    21743.22 MFlops
     64 :    22310.13 MFlops
     65 :    15692.86 MFlops
     66 :    23958.00 MFlops
     67 :    20742.28 MFlops
     68 :    20285.94 MFlops
     69 :    23891.56 MFlops
     70 :    24070.18 MFlops
     71 :    25116.56 MFlops
     72 :    24475.28 MFlops
     73 :    20208.68 MFlops
     74 :    26143.48 MFlops
     75 :    27663.93 MFlops
     76 :    26604.61 MFlops
     77 :    28094.34 MFlops
     78 :    27914.82 MFlops
     79 :    29002.29 MFlops
     80 :    28444.44 MFlops
     81 :    27970.58 MFlops
     82 :    28642.49 MFlops
     83 :    29703.22 MFlops
     84 :    29635.20 MFlops
     85 :    29957.32 MFlops
     86 :    29584.00 MFlops
     87 :    30628.05 MFlops
     88 :    32069.27 MFlops
     89 :    31684.00 MFlops
     90 :    32764.04 MFlops
     91 :    32763.96 MFlops
     92 :    33856.00 MFlops
     93 :    33867.66 MFlops
     94 :    32571.92 MFlops
     95 :    35355.67 MFlops
     96 :    35389.44 MFlops
     97 :    35102.81 MFlops
     98 :    25963.92 MFlops
     99 :    35607.30 MFlops
    100 :    37037.04 MFlops
    101 :    28619.47 MFlops
    102 :    35670.86 MFlops
    103 :    36123.21 MFlops
    104 :    34346.99 MFlops
    105 :    37646.34 MFlops
    106 :    34522.20 MFlops
    107 :    35767.68 MFlops
    108 :    33592.32 MFlops
    109 :    32579.35 MFlops
    110 :    33696.20 MFlops
    111 :    31991.37 MFlops
    112 :    36971.79 MFlops
    113 :    35848.37 MFlops
    114 :    36356.91 MFlops
    115 :    35785.29 MFlops
    116 :    36090.08 MFlops
    117 :    37685.01 MFlops
    118 :    37989.18 MFlops
    119 :    39650.80 MFlops
    120 :    34909.09 MFlops
    121 :    38512.20 MFlops
    122 :    39474.96 MFlops
    123 :    39592.91 MFlops
    124 :    41224.30 MFlops
    125 :    35350.68 MFlops
    126 :    41244.87 MFlops
    127 :    41381.47 MFlops
    128 :    38304.15 MFlops
    129 :    38505.63 MFlops
    130 :    36314.05 MFlops
    131 :    40506.14 MFlops
    132 :    44230.15 MFlops
    133 :    42775.22 MFlops
    134 :    44148.70 MFlops
    135 :    43354.63 MFlops
    136 :    45120.29 MFlops
    137 :    44719.18 MFlops
    138 :    45507.74 MFlops
    139 :    45712.66 MFlops
    140 :    45543.57 MFlops
    141 :    47112.96 MFlops
    142 :    47327.07 MFlops
    143 :    48334.00 MFlops
    144 :    47967.61 MFlops
    145 :    47449.42 MFlops
    146 :    45766.71 MFlops
    147 :    48682.34 MFlops
    148 :    50066.29 MFlops
    149 :    47768.22 MFlops
    150 :    49270.07 MFlops
    151 :    47818.76 MFlops
    152 :    51644.24 MFlops
    153 :    50623.00 MFlops
    154 :    51989.52 MFlops
    155 :    48050.00 MFlops
    156 :    49789.06 MFlops
    157 :    53748.51 MFlops
    158 :    49928.00 MFlops
    159 :    51369.70 MFlops
    160 :    53718.03 MFlops
    161 :    52166.01 MFlops
    162 :    52650.50 MFlops
    163 :    47330.57 MFlops
    164 :    54624.69 MFlops
    165 :    53959.46 MFlops
    166 :    54455.90 MFlops
    167 :    53999.57 MFlops
    168 :    54816.55 MFlops
    169 :    54386.58 MFlops
    170 :    56962.32 MFlops
    171 :    56182.15 MFlops
    172 :    55763.81 MFlops
    173 :    57530.19 MFlops
    174 :    56645.42 MFlops
    175 :    56712.96 MFlops
    176 :    58152.28 MFlops
    177 :    58217.67 MFlops
    178 :    56116.94 MFlops
    179 :    57068.05 MFlops
    180 :    58909.09 MFlops
    181 :    57570.30 MFlops
    182 :    59836.90 MFlops
    183 :    58505.84 MFlops
    184 :    59612.48 MFlops
    185 :    59591.76 MFlops
    186 :    60706.19 MFlops
    187 :    61400.97 MFlops
    188 :    59997.04 MFlops
    189 :    60822.24 MFlops
    190 :    59773.42 MFlops
    191 :    44594.37 MFlops
    192 :    48645.28 MFlops
    193 :    56495.54 MFlops
    194 :    62672.82 MFlops
    195 :    62309.87 MFlops
    196 :    61091.57 MFlops
    197 :    62666.99 MFlops
    198 :    61484.29 MFlops
    199 :    61930.05 MFlops
    200 :    66390.04 MFlops
