From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :        0.50 MFlops  0.000008000 sec
      2 :       16.00 MFlops  0.000001000 sec
      3 :       36.00 MFlops  0.000001000 sec
      4 :       64.00 MFlops  0.000001000 sec
      5 :         inf MFlops  0.000000000 sec
      6 :         inf MFlops  0.000000000 sec
      7 :         inf MFlops  0.000000000 sec
      8 :      256.00 MFlops  0.000001000 sec
      9 :         inf MFlops  0.000000000 sec
     10 :         inf MFlops  0.000000000 sec
     11 :         inf MFlops  0.000000000 sec
     12 :         inf MFlops  0.000000000 sec
     13 :         inf MFlops  0.000000000 sec
     14 :         inf MFlops  0.000000000 sec
     15 :         inf MFlops  0.000000000 sec
     16 :         inf MFlops  0.000000000 sec
     17 :      289.00 MFlops  0.000004000 sec
     18 :      144.00 MFlops  0.000009000 sec
     19 :      361.00 MFlops  0.000004000 sec
     20 :      800.00 MFlops  0.000002000 sec
     21 :      252.00 MFlops  0.000007000 sec
     22 :      387.20 MFlops  0.000005000 sec
     23 :     1058.00 MFlops  0.000002000 sec
     24 :      576.00 MFlops  0.000004000 sec
     25 :      500.00 MFlops  0.000005000 sec
     26 :      676.00 MFlops  0.000004000 sec
     27 :     1458.00 MFlops  0.000002000 sec
     28 :      348.44 MFlops  0.000009000 sec
     29 :     1682.00 MFlops  0.000002000 sec
     30 :     1200.00 MFlops  0.000003000 sec
     31 :     1922.00 MFlops  0.000002000 sec
     32 :      409.60 MFlops  0.000010000 sec
     33 :     1089.00 MFlops  0.000004000 sec
     34 :      770.67 MFlops  0.000006000 sec
     35 :     1225.00 MFlops  0.000004000 sec
     36 :      576.00 MFlops  0.000009000 sec
     37 :     1369.00 MFlops  0.000004000 sec
     38 :     1925.33 MFlops  0.000003000 sec
     39 :     1521.00 MFlops  0.000004000 sec
     40 :      711.11 MFlops  0.000009000 sec
     41 :     1120.67 MFlops  0.000006000 sec
     42 :     1764.00 MFlops  0.000004000 sec
     43 :     1479.20 MFlops  0.000005000 sec
     44 :     1936.00 MFlops  0.000004000 sec
     45 :     1157.14 MFlops  0.000007000 sec
     46 :     2116.00 MFlops  0.000004000 sec
     47 :     1472.67 MFlops  0.000006000 sec
     48 :     1843.20 MFlops  0.000005000 sec
     49 :      873.09 MFlops  0.000011000 sec
     50 :     2000.00 MFlops  0.000005000 sec
     51 :     1486.29 MFlops  0.000007000 sec
     52 :     2163.20 MFlops  0.000005000 sec
     53 :     1404.50 MFlops  0.000008000 sec
     54 :     2332.80 MFlops  0.000005000 sec
     55 :     1728.57 MFlops  0.000007000 sec
     56 :     1254.40 MFlops  0.000010000 sec
     57 :     1856.57 MFlops  0.000007000 sec
     58 :     1345.60 MFlops  0.000010000 sec
     59 :     1392.40 MFlops  0.000010000 sec
     60 :     3600.00 MFlops  0.000004000 sec
     61 :     3721.00 MFlops  0.000004000 sec
     62 :     1537.60 MFlops  0.000010000 sec
     63 :     1764.00 MFlops  0.000009000 sec
     64 :     1820.44 MFlops  0.000009000 sec
     65 :     1877.78 MFlops  0.000009000 sec
     66 :     1452.00 MFlops  0.000012000 sec
     67 :     2992.67 MFlops  0.000006000 sec
     68 :     3699.20 MFlops  0.000005000 sec
     69 :     2116.00 MFlops  0.000009000 sec
     70 :     2177.78 MFlops  0.000009000 sec
     71 :     1833.09 MFlops  0.000011000 sec
     72 :     2304.00 MFlops  0.000009000 sec
     73 :     2368.44 MFlops  0.000009000 sec
     74 :     3650.67 MFlops  0.000006000 sec
     75 :     2045.45 MFlops  0.000011000 sec
     76 :     1777.23 MFlops  0.000013000 sec
     77 :     2156.00 MFlops  0.000011000 sec
