From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        0.05 MFlops    0.000073 sec
      2 :         inf MFlops    0.000000 sec
      3 :         inf MFlops    0.000000 sec
      4 :         inf MFlops    0.000000 sec
      5 :         inf MFlops    0.000000 sec
      6 :      864.00 MFlops    0.000001 sec
      7 :     1372.00 MFlops    0.000001 sec
      8 :     2048.00 MFlops    0.000001 sec
      9 :     2916.00 MFlops    0.000001 sec
     10 :     4000.00 MFlops    0.000001 sec
     11 :     5324.00 MFlops    0.000001 sec
     12 :     3456.00 MFlops    0.000002 sec
     13 :     4394.00 MFlops    0.000002 sec
     14 :     5488.00 MFlops    0.000002 sec
     15 :     6750.00 MFlops    0.000002 sec
     16 :     3276.80 MFlops    0.000005 sec
     17 :     6550.67 MFlops    0.000003 sec
     18 :    11664.00 MFlops    0.000002 sec
     19 :     9145.33 MFlops    0.000003 sec
     20 :     8000.00 MFlops    0.000004 sec
     21 :     9261.00 MFlops    0.000004 sec
     22 :    10648.00 MFlops    0.000004 sec
     23 :     1035.49 MFlops    0.000047 sec
     24 :     3686.40 MFlops    0.000015 sec
     25 :     3906.25 MFlops    0.000016 sec
     26 :     4686.93 MFlops    0.000015 sec
     27 :     4920.75 MFlops    0.000016 sec
     28 :     3817.74 MFlops    0.000023 sec
     29 :     5738.59 MFlops    0.000017 sec
     30 :     5400.00 MFlops    0.000020 sec
     31 :     6271.79 MFlops    0.000019 sec
     32 :     5041.23 MFlops    0.000026 sec
     33 :     6845.14 MFlops    0.000021 sec
     34 :     6835.48 MFlops    0.000023 sec
     35 :     6596.15 MFlops    0.000026 sec
     36 :     6912.00 MFlops    0.000027 sec
     37 :     8442.17 MFlops    0.000024 sec
     38 :     8129.19 MFlops    0.000027 sec
     39 :     8181.93 MFlops    0.000029 sec
     40 :     6918.92 MFlops    0.000037 sec
     41 :     8893.03 MFlops    0.000031 sec
     42 :     8980.36 MFlops    0.000033 sec
     43 :     8369.16 MFlops    0.000038 sec
     44 :    10021.65 MFlops    0.000034 sec
     45 :     9851.35 MFlops    0.000037 sec
     46 :     8652.09 MFlops    0.000045 sec
     47 :     9887.90 MFlops    0.000042 sec
     48 :     9412.09 MFlops    0.000047 sec
     49 :    10457.69 MFlops    0.000045 sec
     50 :     9615.38 MFlops    0.000052 sec
     51 :     8843.40 MFlops    0.000060 sec
     52 :    10415.41 MFlops    0.000054 sec
     53 :    11910.16 MFlops    0.000050 sec
     54 :    10497.60 MFlops    0.000060 sec
     55 :    11883.93 MFlops    0.000056 sec
     56 :    10807.14 MFlops    0.000065 sec
     57 :    12771.93 MFlops    0.000058 sec
     58 :    11477.18 MFlops    0.000068 sec
     59 :    12081.12 MFlops    0.000068 sec
     60 :    12521.74 MFlops    0.000069 sec
     61 :    13351.82 MFlops    0.000068 sec
     62 :    11916.40 MFlops    0.000080 sec
     63 :    13335.84 MFlops    0.000075 sec
     64 :    11650.84 MFlops    0.000090 sec
     65 :    14646.67 MFlops    0.000075 sec
     66 :    13855.23 MFlops    0.000083 sec
     67 :    14671.37 MFlops    0.000082 sec
     68 :    13974.76 MFlops    0.000090 sec
     69 :    17289.95 MFlops    0.000076 sec
     70 :    15415.73 MFlops    0.000089 sec
     71 :    26029.89 MFlops    0.000055 sec
     72 :    25741.24 MFlops    0.000058 sec
     73 :    13531.03 MFlops    0.000115 sec
     74 :    26572.07 MFlops    0.000061 sec
     75 :    13719.51 MFlops    0.000123 sec
     76 :    14632.53 MFlops    0.000120 sec
     77 :    13834.33 MFlops    0.000132 sec
     78 :    14380.36 MFlops    0.000132 sec
     79 :    16713.19 MFlops    0.000118 sec
     80 :    14733.81 MFlops    0.000139 sec
     81 :    14865.48 MFlops    0.000143 sec
     82 :    14509.68 MFlops    0.000152 sec
     83 :    14567.82 MFlops    0.000157 sec
     84 :    18097.83 MFlops    0.000131 sec
     85 :    19342.52 MFlops    0.000127 sec
     86 :    14538.42 MFlops    0.000175 sec
     87 :    18814.37 MFlops    0.000140 sec
     88 :    15060.15 MFlops    0.000181 sec
     89 :    29998.68 MFlops    0.000094 sec
     90 :    28588.24 MFlops    0.000102 sec
     91 :    20095.23 MFlops    0.000150 sec
     92 :    31462.14 MFlops    0.000099 sec
     93 :    29249.35 MFlops    0.000110 sec
     94 :    30480.15 MFlops    0.000109 sec
     95 :    29564.66 MFlops    0.000116 sec
     96 :    31882.38 MFlops    0.000111 sec
     97 :    30422.43 MFlops    0.000120 sec
     98 :    29412.25 MFlops    0.000128 sec
     99 :    29181.92 MFlops    0.000133 sec
    100 :    30303.03 MFlops    0.000132 sec
    101 :    30527.44 MFlops    0.000135 sec
    102 :    30538.36 MFlops    0.000139 sec
    103 :    30144.19 MFlops    0.000145 sec
    104 :    32138.97 MFlops    0.000140 sec
    105 :    31715.75 MFlops    0.000146 sec
    106 :    31137.67 MFlops    0.000153 sec
    107 :    30435.85 MFlops    0.000161 sec
    108 :    31492.80 MFlops    0.000160 sec
    109 :    31779.85 MFlops    0.000163 sec
    110 :    32266.67 MFlops    0.000165 sec
    111 :    31991.37 MFlops    0.000171 sec
    112 :    33057.13 MFlops    0.000170 sec
    113 :    33751.98 MFlops    0.000171 sec
    114 :    33293.12 MFlops    0.000178 sec
    115 :    33425.82 MFlops    0.000182 sec
    116 :    20205.77 MFlops    0.000309 sec
    117 :    16683.47 MFlops    0.000384 sec
    118 :    17070.46 MFlops    0.000385 sec
    119 :    17108.21 MFlops    0.000394 sec
    120 :    29412.77 MFlops    0.000235 sec
    121 :    17894.56 MFlops    0.000396 sec
    122 :    26802.18 MFlops    0.000271 sec
    123 :    32790.61 MFlops    0.000227 sec
    124 :    34046.86 MFlops    0.000224 sec
    125 :    38675.74 MFlops    0.000202 sec
    126 :    32659.20 MFlops    0.000245 sec
    127 :    36907.80 MFlops    0.000222 sec
    128 :    33554.43 MFlops    0.000250 sec
    129 :    33282.00 MFlops    0.000258 sec
    130 :    34328.12 MFlops    0.000256 sec
    131 :    19983.03 MFlops    0.000450 sec
    132 :    34327.88 MFlops    0.000268 sec
    133 :    35511.50 MFlops    0.000265 sec
    134 :    34620.20 MFlops    0.000278 sec
    135 :    33136.36 MFlops    0.000297 sec
    136 :    34340.70 MFlops    0.000293 sec
    137 :    35962.98 MFlops    0.000286 sec
    138 :    35158.15 MFlops    0.000299 sec
    139 :    33155.79 MFlops    0.000324 sec
    140 :    34734.18 MFlops    0.000316 sec
    141 :    33875.78 MFlops    0.000331 sec
    142 :    34601.67 MFlops    0.000331 sec
    143 :    47937.82 MFlops    0.000244 sec
    144 :    35547.43 MFlops    0.000336 sec
    145 :    35041.67 MFlops    0.000348 sec
    146 :    34869.87 MFlops    0.000357 sec
    147 :    33882.91 MFlops    0.000375 sec
    148 :    36221.14 MFlops    0.000358 sec
    149 :    33754.58 MFlops    0.000392 sec
    150 :    35620.05 MFlops    0.000379 sec
    151 :    34777.28 MFlops    0.000396 sec
