From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        1.00 MFlops    0.000004 sec
      2 :         inf MFlops    0.000000 sec
      3 :         inf MFlops    0.000000 sec
      4 :         inf MFlops    0.000000 sec
      5 :         inf MFlops    0.000000 sec
      6 :         inf MFlops    0.000000 sec
      7 :     1372.00 MFlops    0.000001 sec
      8 :         inf MFlops    0.000000 sec
      9 :     2916.00 MFlops    0.000001 sec
     10 :         inf MFlops    0.000000 sec
     11 :     5324.00 MFlops    0.000001 sec
     12 :     6912.00 MFlops    0.000001 sec
     13 :     8788.00 MFlops    0.000001 sec
     14 :    10976.00 MFlops    0.000001 sec
     15 :     6750.00 MFlops    0.000002 sec
     16 :    16384.00 MFlops    0.000001 sec
     17 :     9826.00 MFlops    0.000002 sec
     18 :    11664.00 MFlops    0.000002 sec
     19 :     9145.33 MFlops    0.000003 sec
     20 :    10666.67 MFlops    0.000003 sec
     21 :     9261.00 MFlops    0.000004 sec
     22 :     8518.40 MFlops    0.000005 sec
     23 :    12167.00 MFlops    0.000004 sec
     24 :    11059.20 MFlops    0.000005 sec
     25 :      600.96 MFlops    0.000104 sec
     26 :     7811.56 MFlops    0.000009 sec
     27 :     9841.50 MFlops    0.000008 sec
     28 :    10976.00 MFlops    0.000008 sec
     29 :    10839.56 MFlops    0.000009 sec
     30 :    12000.00 MFlops    0.000009 sec
     31 :    11916.40 MFlops    0.000010 sec
     32 :    11915.64 MFlops    0.000011 sec
     33 :     5749.92 MFlops    0.000025 sec
     34 :     5822.81 MFlops    0.000027 sec
     35 :    10088.24 MFlops    0.000017 sec
     36 :    11664.00 MFlops    0.000016 sec
     37 :    12663.25 MFlops    0.000016 sec
     38 :    12911.06 MFlops    0.000017 sec
     39 :    13957.41 MFlops    0.000017 sec
     40 :    14222.22 MFlops    0.000018 sec
     41 :    12531.09 MFlops    0.000022 sec
     42 :    15597.47 MFlops    0.000019 sec
     43 :    15901.40 MFlops    0.000020 sec
     44 :    17036.80 MFlops    0.000020 sec
     45 :    15847.83 MFlops    0.000023 sec
     46 :    17697.45 MFlops    0.000022 sec
     47 :    16611.68 MFlops    0.000025 sec
     48 :    16384.00 MFlops    0.000027 sec
     49 :    15180.52 MFlops    0.000031 sec
     50 :    16666.67 MFlops    0.000030 sec
     51 :    16581.37 MFlops    0.000032 sec
     52 :    17576.00 MFlops    0.000032 sec
     53 :    17514.94 MFlops    0.000034 sec
     54 :    17995.89 MFlops    0.000035 sec
     55 :    17986.49 MFlops    0.000037 sec
     56 :    18985.51 MFlops    0.000037 sec
     57 :    18994.15 MFlops    0.000039 sec
     58 :    18582.10 MFlops    0.000042 sec
     59 :    18670.82 MFlops    0.000044 sec
     60 :    19636.36 MFlops    0.000044 sec
     61 :    19317.53 MFlops    0.000047 sec
     62 :    19860.67 MFlops    0.000048 sec
     63 :    20003.76 MFlops    0.000050 sec
     64 :    20164.92 MFlops    0.000052 sec
     65 :    18008.20 MFlops    0.000061 sec
     66 :    20175.16 MFlops    0.000057 sec
     67 :    20742.28 MFlops    0.000058 sec
     68 :    21317.42 MFlops    0.000059 sec
     69 :    21541.57 MFlops    0.000061 sec
     70 :    22129.03 MFlops    0.000062 sec
     71 :    23091.03 MFlops    0.000062 sec
     72 :    23698.29 MFlops    0.000063 sec
     73 :    23224.90 MFlops    0.000067 sec
     74 :    24936.86 MFlops    0.000065 sec
     75 :    25961.54 MFlops    0.000065 sec
     76 :    25822.12 MFlops    0.000068 sec
     77 :    26465.68 MFlops    0.000069 sec
     78 :    27510.26 MFlops    0.000069 sec
     79 :    28173.66 MFlops    0.000070 sec
     80 :    28845.07 MFlops    0.000071 sec
     81 :    27970.58 MFlops    0.000076 sec
     82 :    29803.68 MFlops    0.000074 sec
     83 :    30094.05 MFlops    0.000076 sec
     84 :    30789.82 MFlops    0.000077 sec
     85 :    30706.25 MFlops    0.000080 sec
     86 :    31802.80 MFlops    0.000080 sec
     87 :    31357.29 MFlops    0.000084 sec
     88 :    31332.05 MFlops    0.000087 sec
     89 :    31684.00 MFlops    0.000089 sec
     90 :    32764.04 MFlops    0.000089 sec
     91 :    32066.85 MFlops    0.000094 sec
     92 :    32445.33 MFlops    0.000096 sec
     93 :    31543.41 MFlops    0.000102 sec
     94 :    29401.20 MFlops    0.000113 sec
     95 :    31177.27 MFlops    0.000110 sec
     96 :    31597.71 MFlops    0.000112 sec
     97 :    30938.07 MFlops    0.000118 sec
     98 :    28520.97 MFlops    0.000132 sec
     99 :    31299.97 MFlops    0.000124 sec
    100 :    30534.35 MFlops    0.000131 sec
    101 :    33780.36 MFlops    0.000122 sec
    102 :    34510.83 MFlops    0.000123 sec
    103 :    35249.26 MFlops    0.000124 sec
    104 :    34346.99 MFlops    0.000131 sec
    105 :    33075.00 MFlops    0.000140 sec
    106 :    35029.88 MFlops    0.000136 sec
