From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :        4.00 MFlops  0.000001000 sec
      2 :       16.00 MFlops  0.000001000 sec
      3 :         inf MFlops  0.000000000 sec
      4 :         inf MFlops  0.000000000 sec
      5 :      100.00 MFlops  0.000001000 sec
      6 :         inf MFlops  0.000000000 sec
      7 :         inf MFlops  0.000000000 sec
      8 :         inf MFlops  0.000000000 sec
      9 :         inf MFlops  0.000000000 sec
     10 :         inf MFlops  0.000000000 sec
     11 :         inf MFlops  0.000000000 sec
     12 :      576.00 MFlops  0.000001000 sec
     13 :         inf MFlops  0.000000000 sec
     14 :      784.00 MFlops  0.000001000 sec
     15 :         inf MFlops  0.000000000 sec
     16 :         inf MFlops  0.000000000 sec
     17 :     1156.00 MFlops  0.000001000 sec
     18 :         inf MFlops  0.000000000 sec
     19 :         inf MFlops  0.000000000 sec
     20 :     1600.00 MFlops  0.000001000 sec
     21 :         inf MFlops  0.000000000 sec
     22 :         inf MFlops  0.000000000 sec
     23 :         inf MFlops  0.000000000 sec
     24 :         inf MFlops  0.000000000 sec
     25 :         inf MFlops  0.000000000 sec
     26 :     2704.00 MFlops  0.000001000 sec
     27 :         inf MFlops  0.000000000 sec
     28 :         inf MFlops  0.000000000 sec
     29 :     3364.00 MFlops  0.000001000 sec
     30 :         inf MFlops  0.000000000 sec
     31 :     3844.00 MFlops  0.000001000 sec
     32 :         inf MFlops  0.000000000 sec
     33 :      871.20 MFlops  0.000005000 sec
     34 :     4624.00 MFlops  0.000001000 sec
     35 :     4900.00 MFlops  0.000001000 sec
     36 :     2592.00 MFlops  0.000002000 sec
     37 :         inf MFlops  0.000000000 sec
     38 :         inf MFlops  0.000000000 sec
     39 :         inf MFlops  0.000000000 sec
     40 :     6400.00 MFlops  0.000001000 sec
     41 :     6724.00 MFlops  0.000001000 sec
     42 :     7056.00 MFlops  0.000001000 sec
     43 :     7396.00 MFlops  0.000001000 sec
     44 :         inf MFlops  0.000000000 sec
     45 :     8100.00 MFlops  0.000001000 sec
     46 :         inf MFlops  0.000000000 sec
     47 :     8836.00 MFlops  0.000001000 sec
     48 :     9216.00 MFlops  0.000001000 sec
     49 :     9604.00 MFlops  0.000001000 sec
     50 :    10000.00 MFlops  0.000001000 sec
     51 :    10404.00 MFlops  0.000001000 sec
     52 :    10816.00 MFlops  0.000001000 sec
     53 :    11236.00 MFlops  0.000001000 sec
     54 :    11664.00 MFlops  0.000001000 sec
     55 :    12100.00 MFlops  0.000001000 sec
     56 :     6272.00 MFlops  0.000002000 sec
     57 :    12996.00 MFlops  0.000001000 sec
     58 :     6728.00 MFlops  0.000002000 sec
     59 :     6962.00 MFlops  0.000002000 sec
     60 :     7200.00 MFlops  0.000002000 sec
     61 :     7442.00 MFlops  0.000002000 sec
     62 :     7688.00 MFlops  0.000002000 sec
     63 :     7938.00 MFlops  0.000002000 sec
     64 :     8192.00 MFlops  0.000002000 sec
     65 :     8450.00 MFlops  0.000002000 sec
     66 :     8712.00 MFlops  0.000002000 sec
     67 :     8978.00 MFlops  0.000002000 sec
     68 :     9248.00 MFlops  0.000002000 sec
     69 :     6348.00 MFlops  0.000003000 sec
     70 :     9800.00 MFlops  0.000002000 sec
     71 :    10082.00 MFlops  0.000002000 sec
     72 :     6912.00 MFlops  0.000003000 sec
     73 :    10658.00 MFlops  0.000002000 sec
     74 :     7301.33 MFlops  0.000003000 sec
     75 :     7500.00 MFlops  0.000003000 sec
     76 :     7701.33 MFlops  0.000003000 sec
     77 :     7905.33 MFlops  0.000003000 sec
     78 :     8112.00 MFlops  0.000003000 sec
     79 :     8321.33 MFlops  0.000003000 sec
     80 :     8533.33 MFlops  0.000003000 sec
     81 :     8748.00 MFlops  0.000003000 sec
     82 :     8965.33 MFlops  0.000003000 sec
     83 :     9185.33 MFlops  0.000003000 sec
     84 :     9408.00 MFlops  0.000003000 sec
     85 :     7225.00 MFlops  0.000004000 sec
     86 :     9861.33 MFlops  0.000003000 sec
     87 :     7569.00 MFlops  0.000004000 sec
     88 :    10325.33 MFlops  0.000003000 sec
     89 :     7921.00 MFlops  0.000004000 sec
     90 :     8100.00 MFlops  0.000004000 sec
     91 :     8281.00 MFlops  0.000004000 sec
     92 :    11285.33 MFlops  0.000003000 sec
     93 :     8649.00 MFlops  0.000004000 sec
     94 :     8836.00 MFlops  0.000004000 sec
     95 :     9025.00 MFlops  0.000004000 sec
     96 :     9216.00 MFlops  0.000004000 sec
     97 :      990.42 MFlops  0.000038000 sec
     98 :     1829.33 MFlops  0.000021000 sec
     99 :     1866.86 MFlops  0.000021000 sec
    100 :     2105.26 MFlops  0.000019000 sec
    101 :     1632.16 MFlops  0.000025000 sec
    102 :     2312.00 MFlops  0.000018000 sec
    103 :     2829.07 MFlops  0.000015000 sec
    104 :     2704.00 MFlops  0.000016000 sec
    105 :     3150.00 MFlops  0.000014000 sec
    106 :     2996.27 MFlops  0.000015000 sec
    107 :     2081.64 MFlops  0.000022000 sec
    108 :     1794.46 MFlops  0.000026000 sec
    109 :     2795.53 MFlops  0.000017000 sec
    110 :     3226.67 MFlops  0.000015000 sec
    111 :     2346.86 MFlops  0.000021000 sec
    112 :     2787.56 MFlops  0.000018000 sec
    113 :     3648.29 MFlops  0.000014000 sec
    114 :     3465.60 MFlops  0.000015000 sec
    115 :     3306.25 MFlops  0.000016000 sec
    116 :     2691.20 MFlops  0.000020000 sec
    117 :     2281.50 MFlops  0.000024000 sec
    118 :     3276.24 MFlops  0.000017000 sec
    119 :     3146.89 MFlops  0.000018000 sec
    120 :     3600.00 MFlops  0.000016000 sec
    121 :     2928.20 MFlops  0.000020000 sec
    122 :     2976.80 MFlops  0.000020000 sec
    123 :     3185.05 MFlops  0.000019000 sec
    124 :     3075.20 MFlops  0.000020000 sec
    125 :     3472.22 MFlops  0.000018000 sec
    126 :     3528.00 MFlops  0.000018000 sec
    127 :     2224.69 MFlops  0.000029000 sec
    128 :     3276.80 MFlops  0.000020000 sec
    129 :     3025.64 MFlops  0.000022000 sec
    130 :     5633.33 MFlops  0.000012000 sec
    131 :     5720.33 MFlops  0.000012000 sec
    132 :     4978.29 MFlops  0.000014000 sec
    133 :     4422.25 MFlops  0.000016000 sec
    134 :     1995.11 MFlops  0.000036000 sec
    135 :     3471.43 MFlops  0.000021000 sec
    136 :     3893.89 MFlops  0.000019000 sec
    137 :     9384.50 MFlops  0.000008000 sec
    138 :     7617.60 MFlops  0.000010000 sec
    139 :     7728.40 MFlops  0.000010000 sec
    140 :     6030.77 MFlops  0.000013000 sec
    141 :     6627.00 MFlops  0.000012000 sec
    142 :     3666.18 MFlops  0.000022000 sec
    143 :     6816.33 MFlops  0.000012000 sec
    144 :     7540.36 MFlops  0.000011000 sec
    145 :     7008.33 MFlops  0.000012000 sec
    146 :     7751.27 MFlops  0.000011000 sec
    147 :     9604.00 MFlops  0.000009000 sec
    148 :     8761.60 MFlops  0.000010000 sec
    149 :     4933.56 MFlops  0.000018000 sec
    150 :     7500.00 MFlops  0.000012000 sec
    151 :     8291.27 MFlops  0.000011000 sec
    152 :    10268.44 MFlops  0.000009000 sec
    153 :     5852.25 MFlops  0.000016000 sec
    154 :     6776.00 MFlops  0.000014000 sec
    155 :     4805.00 MFlops  0.000020000 sec
    156 :     8112.00 MFlops  0.000012000 sec
    157 :     8963.27 MFlops  0.000011000 sec
    158 :     7681.23 MFlops  0.000013000 sec
    159 :     7778.77 MFlops  0.000013000 sec
    160 :     7876.92 MFlops  0.000013000 sec
    161 :     9425.82 MFlops  0.000011000 sec
    162 :     8748.00 MFlops  0.000012000 sec
    163 :     9661.45 MFlops  0.000011000 sec
    164 :     8275.69 MFlops  0.000013000 sec
    165 :     8376.92 MFlops  0.000013000 sec
    166 :     9185.33 MFlops  0.000012000 sec
    167 :     8581.23 MFlops  0.000013000 sec
    168 :     8684.31 MFlops  0.000013000 sec
    169 :     9520.33 MFlops  0.000012000 sec
    170 :     9633.33 MFlops  0.000012000 sec
    171 :     8997.23 MFlops  0.000013000 sec
    172 :     9861.33 MFlops  0.000012000 sec
    173 :     8551.14 MFlops  0.000014000 sec
    174 :     7569.00 MFlops  0.000016000 sec
    175 :     8166.67 MFlops  0.000015000 sec
    176 :     9531.08 MFlops  0.000013000 sec
    177 :     8951.14 MFlops  0.000014000 sec
    178 :     7040.89 MFlops  0.000018000 sec
    179 :     7539.06 MFlops  0.000017000 sec
    180 :     8100.00 MFlops  0.000016000 sec
    181 :     7708.47 MFlops  0.000017000 sec
    182 :     7360.89 MFlops  0.000018000 sec
    183 :    10304.31 MFlops  0.000013000 sec
    184 :     9673.14 MFlops  0.000014000 sec
    185 :    10530.77 MFlops  0.000013000 sec
    186 :     9884.57 MFlops  0.000014000 sec
    187 :     9325.07 MFlops  0.000015000 sec
    188 :     9425.07 MFlops  0.000015000 sec
    189 :    10206.00 MFlops  0.000014000 sec
    190 :     9025.00 MFlops  0.000016000 sec
    191 :    10423.14 MFlops  0.000014000 sec
    192 :     9216.00 MFlops  0.000016000 sec
    193 :     9312.25 MFlops  0.000016000 sec
    194 :     7923.37 MFlops  0.000019000 sec
    195 :    10140.00 MFlops  0.000015000 sec
    196 :    10244.27 MFlops  0.000015000 sec
    197 :    11088.29 MFlops  0.000014000 sec
    198 :    10454.40 MFlops  0.000015000 sec
    199 :    11314.57 MFlops  0.000014000 sec
    200 :    12307.69 MFlops  0.000013000 sec
