From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U Loops = 1
   SIZE       Flops
      1 :        0.31 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :      864.00 MFlops
      7 :         inf MFlops
      8 :     2048.00 MFlops
      9 :         inf MFlops
     10 :     4000.00 MFlops
     11 :     5324.00 MFlops
     12 :     6912.00 MFlops
     13 :     8788.00 MFlops
     14 :    10976.00 MFlops
     15 :     6750.00 MFlops
     16 :      197.40 MFlops
     17 :     1310.13 MFlops
     18 :     4665.60 MFlops
     19 :     6859.00 MFlops
     20 :     8000.00 MFlops
     21 :     9261.00 MFlops
     22 :    10648.00 MFlops
     23 :     8111.33 MFlops
     24 :     9216.00 MFlops
     25 :    10416.67 MFlops
     26 :    10043.43 MFlops
     27 :    11247.43 MFlops
     28 :    10976.00 MFlops
     29 :    10839.56 MFlops
     30 :    12000.00 MFlops
     31 :    10833.09 MFlops
     32 :    10922.67 MFlops
     33 :     4637.03 MFlops
     34 :     5614.86 MFlops
     35 :     6351.85 MFlops
     36 :    11664.00 MFlops
     37 :    12663.25 MFlops
     38 :    12911.06 MFlops
     39 :    13957.41 MFlops
     40 :    14222.22 MFlops
     41 :    13127.81 MFlops
     42 :    15597.47 MFlops
     43 :    15901.40 MFlops
     44 :    14814.61 MFlops
     45 :    16568.18 MFlops
     46 :    13905.14 MFlops
     47 :    16611.68 MFlops
     48 :    17014.15 MFlops
     49 :    16227.45 MFlops
     50 :    16666.67 MFlops
     51 :    17686.80 MFlops
     52 :    18142.97 MFlops
     53 :    17514.94 MFlops
     54 :    17995.89 MFlops
     55 :    17986.49 MFlops
     56 :    18985.51 MFlops
     57 :    18519.30 MFlops
     58 :    19035.32 MFlops
     59 :    17114.92 MFlops
     60 :    19200.00 MFlops
     61 :    19317.53 MFlops
     62 :    19860.67 MFlops
     63 :    19611.53 MFlops
     64 :    19784.45 MFlops
     65 :    19271.93 MFlops
     66 :    20175.16 MFlops
     67 :    21483.07 MFlops
     68 :    21684.97 MFlops
     69 :    21900.60 MFlops
     70 :    23254.24 MFlops
     71 :    23860.73 MFlops
     72 :    24475.28 MFlops
     73 :    24313.56 MFlops
     74 :    25728.51 MFlops
     75 :    25961.54 MFlops
     76 :    26207.52 MFlops
     77 :    25720.17 MFlops
     78 :    27914.82 MFlops
     79 :    28173.66 MFlops
     80 :    27306.67 MFlops
     81 :    26572.05 MFlops
     82 :    30211.95 MFlops
     83 :    30495.31 MFlops
     84 :    30789.82 MFlops
     85 :    30706.25 MFlops
     86 :    31802.80 MFlops
     87 :    32925.15 MFlops
     88 :    32451.05 MFlops
     89 :    31684.00 MFlops
     90 :    32400.00 MFlops
     91 :    32066.85 MFlops
     92 :    32445.33 MFlops
     93 :    31855.72 MFlops
     94 :    31945.54 MFlops
     95 :    31463.30 MFlops
     96 :    31882.38 MFlops
     97 :    31471.48 MFlops
     98 :    32454.90 MFlops
     99 :    33172.62 MFlops
    100 :    33613.45 MFlops
    101 :    33780.36 MFlops
    102 :    34510.83 MFlops
    103 :    33112.94 MFlops
    104 :    34879.50 MFlops
    105 :    34815.79 MFlops
    106 :    35820.03 MFlops
    107 :    36297.57 MFlops
    108 :    37050.35 MFlops
    109 :    37267.02 MFlops
    110 :    38028.57 MFlops
    111 :    38524.82 MFlops
    112 :    39298.69 MFlops
    113 :    38735.49 MFlops
    114 :    40041.73 MFlops
    115 :    40828.86 MFlops
    116 :    39516.35 MFlops
    117 :    41331.95 MFlops
    118 :    42676.16 MFlops
    119 :    42933.99 MFlops
    120 :    41638.55 MFlops
    121 :    40262.75 MFlops
    122 :    41984.92 MFlops
    123 :    42534.10 MFlops
    124 :    42606.12 MFlops
    125 :    43402.78 MFlops
    126 :    43724.07 MFlops
    127 :    44289.36 MFlops
    128 :    44384.17 MFlops
    129 :    33939.75 MFlops
    130 :    37879.31 MFlops
    131 :    37005.61 MFlops
    132 :    37096.26 MFlops
    133 :    38726.53 MFlops
    134 :    37449.09 MFlops
    135 :    37998.07 MFlops
    136 :    32457.50 MFlops
    137 :    37814.01 MFlops
    138 :    38790.73 MFlops
    139 :    38229.45 MFlops
    140 :    35869.28 MFlops
    141 :    45580.83 MFlops
    142 :    35679.60 MFlops
    143 :    39119.83 MFlops
    144 :    37324.80 MFlops
    145 :    38347.48 MFlops
    146 :    39771.71 MFlops
    147 :    37370.86 MFlops
    148 :    34951.94 MFlops
    149 :    37590.33 MFlops
    150 :    37396.12 MFlops
    151 :    34689.68 MFlops
    152 :    35562.61 MFlops
    153 :    35815.77 MFlops
    154 :    39271.66 MFlops
    155 :    39198.68 MFlops
    156 :    39753.05 MFlops
    157 :    39895.80 MFlops
    158 :    39541.97 MFlops
    159 :    41017.13 MFlops
    160 :    42226.80 MFlops
    161 :    37938.92 MFlops
    162 :    39275.09 MFlops
    163 :    40856.10 MFlops
    164 :    39738.23 MFlops
    165 :    42884.25 MFlops
    166 :    44089.60 MFlops
    167 :    43224.71 MFlops
    168 :    40183.32 MFlops
    169 :    42155.54 MFlops
    170 :    41547.57 MFlops
